,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1678115029,0.0,100,1,0,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-06 15:03:49,2023-03-06
1,99,3,0,1678117887,0.0,97,1,0,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-06 15:51:27,2023-03-06
2,97,3,0,1678117903,0.0,97,3,0,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-06 15:51:43,2023-03-06
3,97,4,0,1678136975,0.0,96,3,0,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-06 21:09:35,2023-03-06
4,96,4,0,1678136989,0.0,96,4,0,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-06 21:09:49,2023-03-06
5,95,4,0,1678157451,0.0,96,5,0,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-07 02:50:51,2023-03-07
6,94,4,0,1678207414,0.0,96,6,0,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-07 16:43:34,2023-03-07
7,93,4,0,1678207880,0.0,96,7,0,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-07 16:51:20,2023-03-07
8,92,4,0,1678217780,0.0,96,8,0,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-07 19:36:20,2023-03-07
9,91,4,0,1678316612,0.0,96,9,0,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-08 23:03:32,2023-03-08
10,90,4,0,1678709092,0.0,96,10,0,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-13 12:04:52,2023-03-13
11,89,4,0,1678881742,0.0,96,11,0,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-15 12:02:22,2023-03-15
12,88,4,0,1678883586,0.0,96,12,0,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-15 12:33:06,2023-03-15
13,88,50,0,1678885936,0.0,50,12,0,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-15 13:12:16,2023-03-15
14,75,50,0,1678889427,0.0,50,25,0,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-15 14:10:27,2023-03-15
15,70,50,0,1678891060,0.0,50,30,0,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-15 14:37:40,2023-03-15
16,65,50,0,1678903422,0.0,50,35,0,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-15 18:03:42,2023-03-15
17,65,4,5,1678937174,5.0,96,35,50,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-16 03:26:14,2023-03-16
18,65,45,5,1678968427,0.0,55,35,50,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-16 12:07:07,2023-03-16
19,65,4,5,1678968439,0.0,96,35,50,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-16 12:07:19,2023-03-16
20,5,4,5,1678968512,0.0,96,95,50,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-16 12:08:32,2023-03-16
21,65,4,5,1678968519,0.0,96,35,50,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-16 12:08:39,2023-03-16
22,45,4,5,1678968634,0.0,96,55,50,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-16 12:10:34,2023-03-16
23,65,4,5,1678968641,0.0,96,35,50,,10Y2Y-23DEC29-T0,greater,,0,,>0%,active,2023-03-16 12:10:41,2023-03-16
