,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1678115062,0.0,100,1,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-06 15:04:22,2023-03-06
1,98,0,0,1678137033,0.0,100,2,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-06 21:10:33,2023-03-06
2,98,1,0,1678137040,0.0,99,2,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-06 21:10:40,2023-03-06
3,95,1,0,1678157487,0.0,99,5,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-07 02:51:27,2023-03-07
4,93,1,0,1678207862,0.0,99,7,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-07 16:51:02,2023-03-07
5,92,1,0,1678239975,0.0,99,8,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-08 01:46:15,2023-03-08
6,92,2,0,1678310026,0.0,98,8,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-08 21:13:46,2023-03-08
7,92,3,0,1678316632,0.0,97,8,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-08 23:03:52,2023-03-08
8,91,3,0,1678316642,0.0,97,9,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-08 23:04:02,2023-03-08
9,90,3,0,1678372103,0.0,97,10,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-09 14:28:23,2023-03-09
10,89,3,0,1678382827,0.0,97,11,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-09 17:27:07,2023-03-09
11,89,50,0,1678416809,0.0,50,11,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-10 02:53:29,2023-03-10
12,89,15,0,1678891154,0.0,85,11,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-15 14:39:14,2023-03-15
13,85,15,0,1678973359,0.0,85,15,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-16 13:29:19,2023-03-16
14,70,15,0,1679597074,0.0,85,30,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-23 18:44:34,2023-03-23
15,70,21,0,1679597111,0.0,79,30,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-23 18:45:11,2023-03-23
16,60,21,0,1679956296,0.0,79,40,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-27 22:31:36,2023-03-27
17,60,23,0,1679956326,0.0,77,40,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-27 22:32:06,2023-03-27
18,85,23,0,1680292905,0.0,77,15,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-31 20:01:45,2023-03-31
19,70,23,0,1680292946,0.0,77,30,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-03-31 20:02:26,2023-03-31
20,70,30,0,1680812641,0.0,70,30,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-04-06 20:24:01,2023-04-06
21,65,30,0,1680812696,0.0,70,35,0,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-04-06 20:24:56,2023-04-06
22,70,30,25,1680898629,25.0,70,30,35,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-04-07 20:17:09,2023-04-07
23,70,30,26,1681576116,1.0,70,30,30,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-04-15 16:28:36,2023-04-15
24,69,30,26,1682193819,0.0,70,31,30,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-04-22 20:03:39,2023-04-22
25,69,31,26,1682193875,0.0,69,31,30,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-04-22 20:04:35,2023-04-22
26,67,31,26,1682608927,0.0,69,33,30,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-04-27 15:22:07,2023-04-27
27,67,33,26,1683142454,0.0,67,33,30,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-05-03 19:34:14,2023-05-03
28,79,33,102,1683206723,76.0,67,21,30,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-05-04 13:25:23,2023-05-04
29,77,33,102,1683207733,0.0,67,23,30,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-05-04 13:42:13,2023-05-04
30,77,40,102,1683207745,0.0,60,23,30,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-05-04 13:42:25,2023-05-04
31,77,50,102,1683462982,0.0,50,23,30,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-05-07 12:36:22,2023-05-07
32,76,50,102,1684421715,0.0,50,24,30,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-05-18 14:55:15,2023-05-18
33,76,51,102,1684421726,0.0,49,24,30,,10Y3M-23DEC29-T0,greater,,0,,>0%,active,2023-05-18 14:55:26,2023-05-18
