,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,60,0,0,1639148788,0.0,100,40,0,,CPI-21DEC-T0.5,greater,,0.5,,>0.5%,finalized,2021-12-10 15:06:28,2021-12-10
1,26,0,0,1639149737,0.0,100,74,0,,CPI-21DEC-T0.5,greater,,0.5,,>0.5%,finalized,2021-12-10 15:22:17,2021-12-10
2,25,0,0,1639149737,0.0,100,75,0,,CPI-21DEC-T0.5,greater,,0.5,,>0.5%,finalized,2021-12-10 15:22:17,2021-12-10
3,46,0,0,1639149737,0.0,100,54,0,,CPI-21DEC-T0.6,greater,,0.6,,>0.6%,finalized,2021-12-10 15:22:17,2021-12-10
4,45,0,0,1639149737,0.0,100,55,0,,CPI-21DEC-T0.6,greater,,0.6,,>0.6%,finalized,2021-12-10 15:22:17,2021-12-10
5,44,0,0,1639149737,0.0,100,56,0,,CPI-21DEC-T0.6,greater,,0.6,,>0.6%,finalized,2021-12-10 15:22:17,2021-12-10
6,43,0,0,1639149737,0.0,100,57,0,,CPI-21DEC-T0.6,greater,,0.6,,>0.6%,finalized,2021-12-10 15:22:17,2021-12-10
7,42,0,0,1639149737,0.0,100,58,0,,CPI-21DEC-T0.6,greater,,0.6,,>0.6%,finalized,2021-12-10 15:22:17,2021-12-10
8,66,0,0,1639149737,0.0,100,34,0,,CPI-21DEC-T0.7,greater,,0.7,,>0.7%,finalized,2021-12-10 15:22:17,2021-12-10
9,65,0,0,1639149737,0.0,100,35,0,,CPI-21DEC-T0.7,greater,,0.7,,>0.7%,finalized,2021-12-10 15:22:17,2021-12-10
10,64,0,0,1639149737,0.0,100,36,0,,CPI-21DEC-T0.7,greater,,0.7,,>0.7%,finalized,2021-12-10 15:22:17,2021-12-10
11,63,0,0,1639149737,0.0,100,37,0,,CPI-21DEC-T0.7,greater,,0.7,,>0.7%,finalized,2021-12-10 15:22:17,2021-12-10
12,62,0,0,1639149737,0.0,100,38,0,,CPI-21DEC-T0.7,greater,,0.7,,>0.7%,finalized,2021-12-10 15:22:17,2021-12-10
13,86,0,0,1639149737,0.0,100,14,0,,CPI-21DEC-T0.8,greater,,0.8,,>0.8%,finalized,2021-12-10 15:22:17,2021-12-10
14,85,0,0,1639149737,0.0,100,15,0,,CPI-21DEC-T0.8,greater,,0.8,,>0.8%,finalized,2021-12-10 15:22:17,2021-12-10
15,84,0,0,1639149737,0.0,100,16,0,,CPI-21DEC-T0.8,greater,,0.8,,>0.8%,finalized,2021-12-10 15:22:17,2021-12-10
16,83,0,0,1639149737,0.0,100,17,0,,CPI-21DEC-T0.8,greater,,0.8,,>0.8%,finalized,2021-12-10 15:22:17,2021-12-10
17,82,0,0,1639149737,0.0,100,18,0,,CPI-21DEC-T0.8,greater,,0.8,,>0.8%,finalized,2021-12-10 15:22:17,2021-12-10
18,24,0,0,1639149797,0.0,100,76,0,,CPI-21DEC-T0.5,greater,,0.5,,>0.5%,finalized,2021-12-10 15:23:17,2021-12-10
19,23,0,0,1639149797,0.0,100,77,0,,CPI-21DEC-T0.5,greater,,0.5,,>0.5%,finalized,2021-12-10 15:23:17,2021-12-10
20,22,0,0,1639149797,0.0,100,78,0,,CPI-21DEC-T0.5,greater,,0.5,,>0.5%,finalized,2021-12-10 15:23:17,2021-12-10
21,22,18,0,1639149797,0.0,82,78,0,,CPI-21DEC-T0.5,greater,,0.5,,>0.5%,finalized,2021-12-10 15:23:17,2021-12-10
22,22,18,0,1639149797,0.0,82,78,0,,CPI-21DEC-T0.5,greater,,0.5,,>0.5%,finalized,2021-12-10 15:23:17,2021-12-10
23,42,38,0,1639149797,0.0,62,58,0,,CPI-21DEC-T0.6,greater,,0.6,,>0.6%,finalized,2021-12-10 15:23:17,2021-12-10
