,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,100,0,1625074069,0.0,0,0,0,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-06-30 17:27:49,2021-06-30
1,100,100,0,1625074085,0.0,0,0,0,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-06-30 17:28:05,2021-06-30
2,100,100,0,1625074121,0.0,0,0,0,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-06-30 17:28:41,2021-06-30
3,91,0,0,1625083562,0.0,100,9,0,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-06-30 20:06:02,2021-06-30
4,90,0,0,1625083562,0.0,100,10,0,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-06-30 20:06:02,2021-06-30
5,89,0,0,1625083562,0.0,100,11,0,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-06-30 20:06:02,2021-06-30
6,89,83,0,1625083562,0.0,17,11,0,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-06-30 20:06:02,2021-06-30
7,89,83,0,1625083562,0.0,17,11,0,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-06-30 20:06:02,2021-06-30
8,89,83,0,1625083563,0.0,17,11,0,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-06-30 20:06:03,2021-06-30
9,89,83,100,1625151218,100.0,17,11,17,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 14:53:38,2021-07-01
10,89,83,100,1625151903,0.0,17,11,17,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 15:05:03,2021-07-01
11,89,83,100,1625151903,0.0,17,11,17,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 15:05:03,2021-07-01
12,100,83,100,1625151903,0.0,17,0,17,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 15:05:03,2021-07-01
13,100,82,100,1625151903,0.0,18,0,17,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 15:05:03,2021-07-01
14,100,81,100,1625151903,0.0,19,0,17,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 15:05:03,2021-07-01
15,100,0,100,1625151903,0.0,100,0,17,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 15:05:03,2021-07-01
16,86,0,100,1625151903,0.0,100,14,17,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 15:05:03,2021-07-01
17,85,0,100,1625151903,0.0,100,15,17,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 15:05:03,2021-07-01
18,84,0,100,1625151903,0.0,100,16,17,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 15:05:03,2021-07-01
19,84,78,100,1625151903,0.0,22,16,17,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 15:05:03,2021-07-01
20,84,78,100,1625151903,0.0,22,16,17,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 15:05:03,2021-07-01
21,84,78,100,1625151903,0.0,22,16,17,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 15:05:03,2021-07-01
22,84,78,101,1625152281,1.0,22,16,22,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 15:11:21,2021-07-01
23,84,78,101,1625152322,0.0,22,16,22,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 15:12:02,2021-07-01
24,84,78,101,1625152322,0.0,22,16,22,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 15:12:02,2021-07-01
25,84,78,101,1625152322,0.0,22,16,22,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 15:12:02,2021-07-01
26,84,79,101,1625154240,0.0,21,16,22,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 15:44:00,2021-07-01
27,84,79,101,1625155531,0.0,21,16,22,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:05:31,2021-07-01
28,84,78,102,1625156647,1.0,22,16,21,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:24:07,2021-07-01
29,84,78,102,1625156702,0.0,22,16,21,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:25:02,2021-07-01
30,78,77,343,1625157668,241.0,23,22,22,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:41:08,2021-07-01
31,78,77,343,1625157723,0.0,23,22,22,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:42:03,2021-07-01
32,78,77,343,1625157723,0.0,23,22,22,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:42:03,2021-07-01
33,78,77,343,1625157723,0.0,23,22,22,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:42:03,2021-07-01
34,78,77,343,1625157723,0.0,23,22,22,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:42:03,2021-07-01
35,78,77,343,1625157723,0.0,23,22,22,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:42:03,2021-07-01
36,78,76,343,1625157723,0.0,24,22,22,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:42:03,2021-07-01
37,78,76,343,1625157723,0.0,24,22,22,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:42:03,2021-07-01
38,78,76,343,1625157723,0.0,24,22,22,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:42:03,2021-07-01
39,77,76,343,1625157723,0.0,24,23,22,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:42:03,2021-07-01
40,76,0,343,1625157723,1.0,100,24,24,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:42:03,2021-07-01
41,75,0,343,1625157723,0.0,100,25,24,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:42:03,2021-07-01
42,75,69,343,1625157723,0.0,31,25,24,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:42:03,2021-07-01
43,75,69,343,1625157723,0.0,31,25,24,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:42:03,2021-07-01
44,75,69,343,1625157723,0.0,31,25,24,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:42:03,2021-07-01
45,75,69,343,1625157783,0.0,31,25,24,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:43:03,2021-07-01
46,75,69,343,1625157783,0.0,31,25,24,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:43:03,2021-07-01
47,75,69,343,1625157783,0.0,31,25,24,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:43:03,2021-07-01
48,75,70,343,1625158424,0.0,30,25,24,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 16:53:44,2021-07-01
49,75,70,343,1625159718,0.0,30,25,24,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 17:15:18,2021-07-01
50,75,70,343,1625160361,0.0,30,25,24,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 17:26:01,2021-07-01
51,71,70,343,1625161218,0.0,30,29,24,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 17:40:18,2021-07-01
52,71,70,343,1625161226,0.0,30,29,24,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 17:40:26,2021-07-01
53,71,70,343,1625161236,0.0,30,29,24,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 17:40:36,2021-07-01
54,71,70,343,1625161260,0.0,30,29,24,,CPI-21JUN-T0.6,greater,,0.6,,>0.6%,finalized,2021-07-01 17:41:00,2021-07-01
