,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,63,0,0,1627937044,0.0,100,37,0,,CPI-21OCT-T0.5,greater,,0.5,,>0.5%,finalized,2021-08-02 20:44:04,2021-08-02
1,62,0,0,1627937044,0.0,100,38,0,,CPI-21OCT-T0.5,greater,,0.5,,>0.5%,finalized,2021-08-02 20:44:04,2021-08-02
2,61,0,0,1627937044,0.0,100,39,0,,CPI-21OCT-T0.5,greater,,0.5,,>0.5%,finalized,2021-08-02 20:44:04,2021-08-02
3,61,59,0,1627937044,0.0,41,39,0,,CPI-21OCT-T0.5,greater,,0.5,,>0.5%,finalized,2021-08-02 20:44:04,2021-08-02
4,61,59,0,1627937044,0.0,41,39,0,,CPI-21OCT-T0.5,greater,,0.5,,>0.5%,finalized,2021-08-02 20:44:04,2021-08-02
5,61,59,0,1627937044,0.0,41,39,0,,CPI-21OCT-T0.5,greater,,0.5,,>0.5%,finalized,2021-08-02 20:44:04,2021-08-02
6,61,59,1,1627948406,1.0,41,39,41,,CPI-21OCT-T0.5,greater,,0.5,,>0.5%,finalized,2021-08-02 23:53:26,2021-08-02
7,61,58,1,1627948444,0.0,42,39,41,,CPI-21OCT-T0.5,greater,,0.5,,>0.5%,finalized,2021-08-02 23:54:04,2021-08-02
8,61,58,1,1627948444,0.0,42,39,41,,CPI-21OCT-T0.5,greater,,0.5,,>0.5%,finalized,2021-08-02 23:54:04,2021-08-02
9,61,58,1,1627948444,0.0,42,39,41,,CPI-21OCT-T0.5,greater,,0.5,,>0.5%,finalized,2021-08-02 23:54:04,2021-08-02
10,61,58,1,1627948444,0.0,42,39,41,,CPI-21OCT-T0.5,greater,,0.5,,>0.5%,finalized,2021-08-02 23:54:04,2021-08-02
11,61,58,1,1627948444,0.0,42,39,41,,CPI-21OCT-T0.5,greater,,0.5,,>0.5%,finalized,2021-08-02 23:54:04,2021-08-02
12,61,58,1,1627948444,0.0,42,39,41,,CPI-21OCT-T0.5,greater,,0.5,,>0.5%,finalized,2021-08-02 23:54:04,2021-08-02
