,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,30,0,0,1646925500,0.0,100,70,0,,CPI-22MAR-T0.5,greater,,0.5,,>0.5%,finalized,2022-03-10 15:18:20,2022-03-10
1,88,0,0,1646925710,0.0,100,12,0,,CPI-22MAR-T0.6,greater,,0.6,,>0.6%,finalized,2022-03-10 15:21:50,2022-03-10
2,88,0,0,1646925719,0.0,100,12,0,,CPI-22MAR-T0.6,greater,,0.6,,>0.6%,finalized,2022-03-10 15:21:59,2022-03-10
3,88,0,0,1646925726,0.0,100,12,0,,CPI-22MAR-T0.6,greater,,0.6,,>0.6%,finalized,2022-03-10 15:22:06,2022-03-10
4,88,0,0,1646925732,0.0,100,12,0,,CPI-22MAR-T0.6,greater,,0.6,,>0.6%,finalized,2022-03-10 15:22:12,2022-03-10
5,78,0,0,1646925737,0.0,100,22,0,,CPI-22MAR-T0.6,greater,,0.6,,>0.6%,finalized,2022-03-10 15:22:17,2022-03-10
6,67,0,0,1646925774,0.0,100,33,0,,CPI-22MAR-T0.6,greater,,0.6,,>0.6%,finalized,2022-03-10 15:22:54,2022-03-10
7,30,0,0,1646926429,0.0,100,70,0,,CPI-22MAR-T0.5,greater,,0.5,,>0.5%,finalized,2022-03-10 15:33:49,2022-03-10
8,30,0,0,1646926436,0.0,100,70,0,,CPI-22MAR-T0.5,greater,,0.5,,>0.5%,finalized,2022-03-10 15:33:56,2022-03-10
9,30,0,0,1646926441,0.0,100,70,0,,CPI-22MAR-T0.5,greater,,0.5,,>0.5%,finalized,2022-03-10 15:34:01,2022-03-10
10,30,0,0,1646926445,0.0,100,70,0,,CPI-22MAR-T0.5,greater,,0.5,,>0.5%,finalized,2022-03-10 15:34:05,2022-03-10
11,30,0,0,1646926450,0.0,100,70,0,,CPI-22MAR-T0.5,greater,,0.5,,>0.5%,finalized,2022-03-10 15:34:10,2022-03-10
12,30,0,0,1646926455,0.0,100,70,0,,CPI-22MAR-T0.5,greater,,0.5,,>0.5%,finalized,2022-03-10 15:34:15,2022-03-10
13,30,0,0,1646926464,0.0,100,70,0,,CPI-22MAR-T0.5,greater,,0.5,,>0.5%,finalized,2022-03-10 15:34:24,2022-03-10
14,30,0,0,1646926469,0.0,100,70,0,,CPI-22MAR-T0.5,greater,,0.5,,>0.5%,finalized,2022-03-10 15:34:29,2022-03-10
15,30,0,0,1646926481,0.0,100,70,0,,CPI-22MAR-T0.5,greater,,0.5,,>0.5%,finalized,2022-03-10 15:34:41,2022-03-10
16,30,0,0,1646926496,0.0,100,70,0,,CPI-22MAR-T0.5,greater,,0.5,,>0.5%,finalized,2022-03-10 15:34:56,2022-03-10
17,28,0,0,1646926504,0.0,100,72,0,,CPI-22MAR-T0.5,greater,,0.5,,>0.5%,finalized,2022-03-10 15:35:04,2022-03-10
18,99,0,0,1646926523,0.0,100,1,0,,CPI-22MAR-T1.1,greater,,1.1,,>1.1%,finalized,2022-03-10 15:35:23,2022-03-10
19,99,1,0,1646926537,0.0,99,1,0,,CPI-22MAR-T1.1,greater,,1.1,,>1.1%,finalized,2022-03-10 15:35:37,2022-03-10
20,99,11,0,1646926553,0.0,89,1,0,,CPI-22MAR-T1.1,greater,,1.1,,>1.1%,finalized,2022-03-10 15:35:53,2022-03-10
21,99,11,0,1646926558,0.0,89,1,0,,CPI-22MAR-T1.1,greater,,1.1,,>1.1%,finalized,2022-03-10 15:35:58,2022-03-10
22,99,11,0,1646926562,0.0,89,1,0,,CPI-22MAR-T1.1,greater,,1.1,,>1.1%,finalized,2022-03-10 15:36:02,2022-03-10
23,98,11,0,1646926573,0.0,89,2,0,,CPI-22MAR-T1.1,greater,,1.1,,>1.1%,finalized,2022-03-10 15:36:13,2022-03-10
24,94,11,0,1646926577,0.0,89,6,0,,CPI-22MAR-T1.1,greater,,1.1,,>1.1%,finalized,2022-03-10 15:36:17,2022-03-10
25,89,11,0,1646926608,0.0,89,11,0,,CPI-22MAR-T1.1,greater,,1.1,,>1.1%,finalized,2022-03-10 15:36:48,2022-03-10
26,99,0,0,1646926628,0.0,100,1,0,,CPI-22MAR-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-10 15:37:08,2022-03-10
27,98,0,0,1646926634,0.0,100,2,0,,CPI-22MAR-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-10 15:37:14,2022-03-10
28,94,0,0,1646926640,0.0,100,6,0,,CPI-22MAR-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-10 15:37:20,2022-03-10
29,89,0,0,1646926647,0.0,100,11,0,,CPI-22MAR-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-10 15:37:27,2022-03-10
30,89,1,0,1646926666,0.0,99,11,0,,CPI-22MAR-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-10 15:37:46,2022-03-10
31,89,6,0,1646926676,0.0,94,11,0,,CPI-22MAR-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-10 15:37:56,2022-03-10
32,89,6,0,1646926689,0.0,94,11,0,,CPI-22MAR-T1.0,greater,,1.0,,>1.0%,finalized,2022-03-10 15:38:09,2022-03-10
33,18,0,0,1646926881,0.0,100,82,0,,CPI-22MAR-T0.5,greater,,0.5,,>0.5%,finalized,2022-03-10 15:41:21,2022-03-10
34,17,0,0,1646926881,0.0,100,83,0,,CPI-22MAR-T0.5,greater,,0.5,,>0.5%,finalized,2022-03-10 15:41:21,2022-03-10
