,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1667401521,0.0,100,1,0,,CPI-23APR-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-02 15:05:21,2022-11-02
1,99,0,0,1667401529,0.0,100,1,0,,CPI-23APR-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-02 15:05:29,2022-11-02
2,99,0,0,1667401539,0.0,100,1,0,,CPI-23APR-T0.2,greater,,0.2,,>0.2%,finalized,2022-11-02 15:05:39,2022-11-02
3,94,0,0,1667478642,0.0,100,6,0,,CPI-23APR-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-03 12:30:42,2022-11-03
4,100,0,0,1668529054,0.0,100,0,0,,CPI-23APR-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-15 16:17:34,2022-11-15
5,100,0,0,1668529054,0.0,100,0,0,,CPI-23APR-T0.2,greater,,0.2,,>0.2%,finalized,2022-11-15 16:17:34,2022-11-15
6,27,0,0,1669302112,0.0,100,73,0,,CPI-23APR-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-24 15:01:52,2022-11-24
7,25,0,0,1669302112,0.0,100,75,0,,CPI-23APR-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-24 15:01:52,2022-11-24
8,100,37,0,1669302112,0.0,63,0,0,,CPI-23APR-T0.2,greater,,0.2,,>0.2%,finalized,2022-11-24 15:01:52,2022-11-24
9,44,37,0,1669302112,0.0,63,56,0,,CPI-23APR-T0.2,greater,,0.2,,>0.2%,finalized,2022-11-24 15:01:52,2022-11-24
10,67,0,0,1669302112,0.0,100,33,0,,CPI-23APR-T0.3,greater,,0.3,,>0.3%,finalized,2022-11-24 15:01:52,2022-11-24
11,67,54,0,1669302112,0.0,46,33,0,,CPI-23APR-T0.3,greater,,0.3,,>0.3%,finalized,2022-11-24 15:01:52,2022-11-24
12,92,0,0,1669302112,0.0,100,8,0,,CPI-23APR-T0.5,greater,,0.5,,>0.5%,finalized,2022-11-24 15:01:52,2022-11-24
13,99,0,0,1669302112,0.0,100,1,0,,CPI-23APR-T0.7,greater,,0.7,,>0.7%,finalized,2022-11-24 15:01:52,2022-11-24
14,94,10,0,1669302113,0.0,90,6,0,,CPI-23APR-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-24 15:01:53,2022-11-24
15,25,20,0,1669302113,0.0,80,75,0,,CPI-23APR-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-24 15:01:53,2022-11-24
16,67,58,0,1669302113,0.0,42,33,0,,CPI-23APR-T0.3,greater,,0.3,,>0.3%,finalized,2022-11-24 15:01:53,2022-11-24
17,84,0,0,1669302113,0.0,100,16,0,,CPI-23APR-T0.4,greater,,0.4,,>0.4%,finalized,2022-11-24 15:01:53,2022-11-24
18,84,73,0,1669302113,0.0,27,16,0,,CPI-23APR-T0.4,greater,,0.4,,>0.4%,finalized,2022-11-24 15:01:53,2022-11-24
19,91,0,0,1669302113,0.0,100,9,0,,CPI-23APR-T0.5,greater,,0.5,,>0.5%,finalized,2022-11-24 15:01:53,2022-11-24
20,100,96,0,1669302113,0.0,4,0,0,,CPI-23APR-T0.8,greater,,0.8,,>0.8%,finalized,2022-11-24 15:01:53,2022-11-24
21,80,73,0,1669302114,0.0,27,20,0,,CPI-23APR-T0.4,greater,,0.4,,>0.4%,finalized,2022-11-24 15:01:54,2022-11-24
22,91,82,0,1669302114,0.0,18,9,0,,CPI-23APR-T0.5,greater,,0.5,,>0.5%,finalized,2022-11-24 15:01:54,2022-11-24
23,90,82,0,1669302114,0.0,18,10,0,,CPI-23APR-T0.5,greater,,0.5,,>0.5%,finalized,2022-11-24 15:01:54,2022-11-24
24,90,84,0,1669302114,0.0,16,10,0,,CPI-23APR-T0.5,greater,,0.5,,>0.5%,finalized,2022-11-24 15:01:54,2022-11-24
25,100,92,0,1669302114,0.0,8,0,0,,CPI-23APR-T0.6,greater,,0.6,,>0.6%,finalized,2022-11-24 15:01:54,2022-11-24
26,99,95,0,1669302114,0.0,5,1,0,,CPI-23APR-T0.7,greater,,0.7,,>0.7%,finalized,2022-11-24 15:01:54,2022-11-24
27,65,58,0,1669302115,0.0,42,35,0,,CPI-23APR-T0.3,greater,,0.3,,>0.3%,finalized,2022-11-24 15:01:55,2022-11-24
28,63,58,0,1669302115,0.0,42,37,0,,CPI-23APR-T0.3,greater,,0.3,,>0.3%,finalized,2022-11-24 15:01:55,2022-11-24
29,80,75,0,1669302115,0.0,25,20,0,,CPI-23APR-T0.4,greater,,0.4,,>0.4%,finalized,2022-11-24 15:01:55,2022-11-24
30,90,86,0,1669302115,0.0,14,10,0,,CPI-23APR-T0.5,greater,,0.5,,>0.5%,finalized,2022-11-24 15:01:55,2022-11-24
31,98,92,0,1669302115,0.0,8,2,0,,CPI-23APR-T0.6,greater,,0.6,,>0.6%,finalized,2022-11-24 15:01:55,2022-11-24
