,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,31,0,0,1669302112,0.0,100,69,0,,CPI-23AUG-T0.0,greater,,0.0,,>0.0%,active,2022-11-24 15:01:52,2022-11-24
1,98,0,0,1669302112,0.0,100,2,0,,CPI-23AUG-T0.7,greater,,0.7,,>0.7%,active,2022-11-24 15:01:52,2022-11-24
2,99,0,0,1669302112,0.0,100,1,0,,CPI-23AUG-T0.8,greater,,0.8,,>0.8%,active,2022-11-24 15:01:52,2022-11-24
3,31,22,0,1669302113,0.0,78,69,0,,CPI-23AUG-T0.0,greater,,0.0,,>0.0%,active,2022-11-24 15:01:53,2022-11-24
4,29,22,0,1669302113,0.0,78,71,0,,CPI-23AUG-T0.0,greater,,0.0,,>0.0%,active,2022-11-24 15:01:53,2022-11-24
5,43,0,0,1669302113,0.0,100,57,0,,CPI-23AUG-T0.1,greater,,0.1,,>0.1%,active,2022-11-24 15:01:53,2022-11-24
6,43,32,0,1669302113,0.0,68,57,0,,CPI-23AUG-T0.1,greater,,0.1,,>0.1%,active,2022-11-24 15:01:53,2022-11-24
7,58,0,0,1669302113,0.0,100,42,0,,CPI-23AUG-T0.2,greater,,0.2,,>0.2%,active,2022-11-24 15:01:53,2022-11-24
8,100,66,0,1669302113,0.0,34,0,0,,CPI-23AUG-T0.3,greater,,0.3,,>0.3%,active,2022-11-24 15:01:53,2022-11-24
9,100,68,0,1669302113,0.0,32,0,0,,CPI-23AUG-T0.3,greater,,0.3,,>0.3%,active,2022-11-24 15:01:53,2022-11-24
10,85,0,0,1669302113,0.0,100,15,0,,CPI-23AUG-T0.4,greater,,0.4,,>0.4%,active,2022-11-24 15:01:53,2022-11-24
11,85,80,0,1669302113,0.0,20,15,0,,CPI-23AUG-T0.4,greater,,0.4,,>0.4%,active,2022-11-24 15:01:53,2022-11-24
12,98,94,0,1669302113,0.0,6,2,0,,CPI-23AUG-T0.7,greater,,0.7,,>0.7%,active,2022-11-24 15:01:53,2022-11-24
13,27,22,0,1669302114,0.0,78,73,0,,CPI-23AUG-T0.0,greater,,0.0,,>0.0%,active,2022-11-24 15:01:54,2022-11-24
14,58,52,0,1669302114,0.0,48,42,0,,CPI-23AUG-T0.2,greater,,0.2,,>0.2%,active,2022-11-24 15:01:54,2022-11-24
15,100,87,0,1669302114,0.0,13,0,0,,CPI-23AUG-T0.5,greater,,0.5,,>0.5%,active,2022-11-24 15:01:54,2022-11-24
16,92,87,0,1669302114,0.0,13,8,0,,CPI-23AUG-T0.5,greater,,0.5,,>0.5%,active,2022-11-24 15:01:54,2022-11-24
17,100,91,0,1669302114,0.0,9,0,0,,CPI-23AUG-T0.6,greater,,0.6,,>0.6%,active,2022-11-24 15:01:54,2022-11-24
