,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1667401452,0.0,100,1,0,,CPI-23FEB-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-02 15:04:12,2022-11-02
1,99,0,0,1667401464,0.0,100,1,0,,CPI-23FEB-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-02 15:04:24,2022-11-02
2,99,0,0,1667401476,0.0,100,1,0,,CPI-23FEB-T0.2,greater,,0.2,,>0.2%,finalized,2022-11-02 15:04:36,2022-11-02
3,94,0,0,1667478629,0.0,100,6,0,,CPI-23FEB-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-03 12:30:29,2022-11-03
4,90,0,0,1667585920,0.0,100,10,0,,CPI-23FEB-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-04 18:18:40,2022-11-04
5,98,0,0,1667585931,0.0,100,2,0,,CPI-23FEB-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-04 18:18:51,2022-11-04
6,98,0,0,1667585946,0.0,100,2,0,,CPI-23FEB-T0.2,greater,,0.2,,>0.2%,finalized,2022-11-04 18:19:06,2022-11-04
7,99,0,0,1667585955,0.0,100,1,0,,CPI-23FEB-T0.3,greater,,0.3,,>0.3%,finalized,2022-11-04 18:19:15,2022-11-04
8,10,0,0,1669302112,0.0,100,90,0,,CPI-23FEB-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-24 15:01:52,2022-11-24
9,9,0,0,1669302112,0.0,100,91,0,,CPI-23FEB-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-24 15:01:52,2022-11-24
10,21,0,0,1669302112,0.0,100,79,0,,CPI-23FEB-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-24 15:01:52,2022-11-24
11,17,0,0,1669302112,0.0,100,83,0,,CPI-23FEB-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-24 15:01:52,2022-11-24
12,17,12,0,1669302112,0.0,88,83,0,,CPI-23FEB-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-24 15:01:52,2022-11-24
13,17,13,0,1669302112,0.0,87,83,0,,CPI-23FEB-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-24 15:01:52,2022-11-24
14,37,0,0,1669302112,0.0,100,63,0,,CPI-23FEB-T0.2,greater,,0.2,,>0.2%,finalized,2022-11-24 15:01:52,2022-11-24
15,37,26,0,1669302112,0.0,74,63,0,,CPI-23FEB-T0.2,greater,,0.2,,>0.2%,finalized,2022-11-24 15:01:52,2022-11-24
16,33,26,0,1669302112,0.0,74,67,0,,CPI-23FEB-T0.2,greater,,0.2,,>0.2%,finalized,2022-11-24 15:01:52,2022-11-24
17,59,0,0,1669302112,0.0,100,41,0,,CPI-23FEB-T0.3,greater,,0.3,,>0.3%,finalized,2022-11-24 15:01:52,2022-11-24
18,55,47,0,1669302112,0.0,53,45,0,,CPI-23FEB-T0.3,greater,,0.3,,>0.3%,finalized,2022-11-24 15:01:52,2022-11-24
19,100,69,0,1669302112,0.0,31,0,0,,CPI-23FEB-T0.4,greater,,0.4,,>0.4%,finalized,2022-11-24 15:01:52,2022-11-24
20,76,69,0,1669302112,0.0,31,24,0,,CPI-23FEB-T0.4,greater,,0.4,,>0.4%,finalized,2022-11-24 15:01:52,2022-11-24
21,76,71,0,1669302112,0.0,29,24,0,,CPI-23FEB-T0.4,greater,,0.4,,>0.4%,finalized,2022-11-24 15:01:52,2022-11-24
22,90,0,0,1669302112,0.0,100,10,0,,CPI-23FEB-T0.5,greater,,0.5,,>0.5%,finalized,2022-11-24 15:01:52,2022-11-24
23,90,81,0,1669302112,0.0,19,10,0,,CPI-23FEB-T0.5,greater,,0.5,,>0.5%,finalized,2022-11-24 15:01:52,2022-11-24
24,89,81,0,1669302112,0.0,19,11,0,,CPI-23FEB-T0.5,greater,,0.5,,>0.5%,finalized,2022-11-24 15:01:52,2022-11-24
25,89,83,0,1669302112,0.0,17,11,0,,CPI-23FEB-T0.5,greater,,0.5,,>0.5%,finalized,2022-11-24 15:01:52,2022-11-24
26,98,0,0,1669302112,0.0,100,2,0,,CPI-23FEB-T0.6,greater,,0.6,,>0.6%,finalized,2022-11-24 15:01:52,2022-11-24
27,97,0,0,1669302112,0.0,100,3,0,,CPI-23FEB-T0.6,greater,,0.6,,>0.6%,finalized,2022-11-24 15:01:52,2022-11-24
28,100,93,0,1669302112,0.0,7,0,0,,CPI-23FEB-T0.7,greater,,0.7,,>0.7%,finalized,2022-11-24 15:01:52,2022-11-24
29,98,93,0,1669302112,0.0,7,2,0,,CPI-23FEB-T0.7,greater,,0.7,,>0.7%,finalized,2022-11-24 15:01:52,2022-11-24
30,98,95,0,1669302112,0.0,5,2,0,,CPI-23FEB-T0.7,greater,,0.7,,>0.7%,finalized,2022-11-24 15:01:52,2022-11-24
31,100,95,0,1669302112,0.0,5,0,0,,CPI-23FEB-T0.8,greater,,0.8,,>0.8%,finalized,2022-11-24 15:01:52,2022-11-24
32,100,97,0,1669302112,0.0,3,0,0,,CPI-23FEB-T0.8,greater,,0.8,,>0.8%,finalized,2022-11-24 15:01:52,2022-11-24
33,9,3,0,1669302113,0.0,97,91,0,,CPI-23FEB-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-24 15:01:53,2022-11-24
34,9,5,0,1669302113,0.0,95,91,0,,CPI-23FEB-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-24 15:01:53,2022-11-24
35,96,0,0,1669302113,0.0,100,4,0,,CPI-23FEB-T0.6,greater,,0.6,,>0.6%,finalized,2022-11-24 15:01:53,2022-11-24
36,96,92,0,1669302113,0.0,8,4,0,,CPI-23FEB-T0.6,greater,,0.6,,>0.6%,finalized,2022-11-24 15:01:53,2022-11-24
37,33,28,0,1669302114,0.0,72,67,0,,CPI-23FEB-T0.2,greater,,0.2,,>0.2%,finalized,2022-11-24 15:01:54,2022-11-24
38,55,49,0,1669302116,0.0,51,45,0,,CPI-23FEB-T0.3,greater,,0.3,,>0.3%,finalized,2022-11-24 15:01:56,2022-11-24
39,89,85,0,1669302116,0.0,15,11,0,,CPI-23FEB-T0.5,greater,,0.5,,>0.5%,finalized,2022-11-24 15:01:56,2022-11-24
40,17,13,1,1669316171,1.0,87,83,83,,CPI-23FEB-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-24 18:56:11,2022-11-24
41,90,85,301,1669868428,301.0,15,10,11,,CPI-23FEB-T0.5,greater,,0.5,,>0.5%,finalized,2022-12-01 04:20:28,2022-12-01
42,9,6,0,1669868449,0.0,94,91,0,,CPI-23FEB-T0.0,greater,,0.0,,>0.0%,finalized,2022-12-01 04:20:49,2022-12-01
43,59,49,0,1669868449,0.0,51,41,0,,CPI-23FEB-T0.3,greater,,0.3,,>0.3%,finalized,2022-12-01 04:20:49,2022-12-01
44,58,49,0,1669868449,0.0,51,42,0,,CPI-23FEB-T0.3,greater,,0.3,,>0.3%,finalized,2022-12-01 04:20:49,2022-12-01
