,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1667401393,0.0,100,1,0,,CPI-23JAN-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-02 15:03:13,2022-11-02
1,99,0,0,1667401401,0.0,100,1,0,,CPI-23JAN-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-02 15:03:21,2022-11-02
2,99,0,0,1667401430,0.0,100,1,0,,CPI-23JAN-T0.2,greater,,0.2,,>0.2%,finalized,2022-11-02 15:03:50,2022-11-02
3,95,0,0,1667413859,0.0,100,5,0,,CPI-23JAN-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-02 18:30:59,2022-11-02
4,96,0,0,1667413864,0.0,100,4,0,,CPI-23JAN-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-02 18:31:04,2022-11-02
5,97,0,0,1667413871,0.0,100,3,0,,CPI-23JAN-T0.2,greater,,0.2,,>0.2%,finalized,2022-11-02 18:31:11,2022-11-02
6,99,0,0,1667413878,0.0,100,1,0,,CPI-23JAN-T0.3,greater,,0.3,,>0.3%,finalized,2022-11-02 18:31:18,2022-11-02
7,99,0,0,1667413886,0.0,100,1,0,,CPI-23JAN-T0.4,greater,,0.4,,>0.4%,finalized,2022-11-02 18:31:26,2022-11-02
8,99,0,0,1667413895,0.0,100,1,0,,CPI-23JAN-T0.5,greater,,0.5,,>0.5%,finalized,2022-11-02 18:31:35,2022-11-02
9,99,0,0,1667413901,0.0,100,1,0,,CPI-23JAN-T0.6,greater,,0.6,,>0.6%,finalized,2022-11-02 18:31:41,2022-11-02
10,99,0,0,1667413916,0.0,100,1,0,,CPI-23JAN-T0.7,greater,,0.7,,>0.7%,finalized,2022-11-02 18:31:56,2022-11-02
11,99,0,0,1667413923,0.0,100,1,0,,CPI-23JAN-T0.8,greater,,0.8,,>0.8%,finalized,2022-11-02 18:32:03,2022-11-02
12,99,1,0,1667413942,0.0,99,1,0,,CPI-23JAN-T0.8,greater,,0.8,,>0.8%,finalized,2022-11-02 18:32:22,2022-11-02
13,99,1,0,1667413955,0.0,99,1,0,,CPI-23JAN-T0.7,greater,,0.7,,>0.7%,finalized,2022-11-02 18:32:35,2022-11-02
14,99,1,0,1667413962,0.0,99,1,0,,CPI-23JAN-T0.6,greater,,0.6,,>0.6%,finalized,2022-11-02 18:32:42,2022-11-02
15,99,1,0,1667413967,0.0,99,1,0,,CPI-23JAN-T0.5,greater,,0.5,,>0.5%,finalized,2022-11-02 18:32:47,2022-11-02
16,99,1,0,1667413974,0.0,99,1,0,,CPI-23JAN-T0.4,greater,,0.4,,>0.4%,finalized,2022-11-02 18:32:54,2022-11-02
