,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,41,0,0,1669302112,0.0,100,59,0,,CPI-23JUL-T0.1,greater,,0.1,,>0.1%,active,2022-11-24 15:01:52,2022-11-24
1,100,64,0,1669302112,0.0,36,0,0,,CPI-23JUL-T0.3,greater,,0.3,,>0.3%,active,2022-11-24 15:01:52,2022-11-24
2,100,95,0,1669302112,0.0,5,0,0,,CPI-23JUL-T0.7,greater,,0.7,,>0.7%,active,2022-11-24 15:01:52,2022-11-24
3,39,0,0,1669302113,0.0,100,61,0,,CPI-23JUL-T0.1,greater,,0.1,,>0.1%,active,2022-11-24 15:01:53,2022-11-24
4,37,0,0,1669302113,0.0,100,63,0,,CPI-23JUL-T0.1,greater,,0.1,,>0.1%,active,2022-11-24 15:01:53,2022-11-24
5,100,87,0,1669302113,0.0,13,0,0,,CPI-23JUL-T0.5,greater,,0.5,,>0.5%,active,2022-11-24 15:01:53,2022-11-24
6,91,87,0,1669302113,0.0,13,9,0,,CPI-23JUL-T0.5,greater,,0.5,,>0.5%,active,2022-11-24 15:01:53,2022-11-24
7,37,32,0,1669302114,0.0,68,63,0,,CPI-23JUL-T0.1,greater,,0.1,,>0.1%,active,2022-11-24 15:01:54,2022-11-24
8,59,0,0,1669302114,0.0,100,41,0,,CPI-23JUL-T0.2,greater,,0.2,,>0.2%,active,2022-11-24 15:01:54,2022-11-24
9,75,64,0,1669302114,0.0,36,25,0,,CPI-23JUL-T0.3,greater,,0.3,,>0.3%,active,2022-11-24 15:01:54,2022-11-24
10,100,79,0,1669302114,0.0,21,0,0,,CPI-23JUL-T0.4,greater,,0.4,,>0.4%,active,2022-11-24 15:01:54,2022-11-24
11,84,79,0,1669302114,0.0,21,16,0,,CPI-23JUL-T0.4,greater,,0.4,,>0.4%,active,2022-11-24 15:01:54,2022-11-24
12,98,0,0,1669302114,0.0,100,2,0,,CPI-23JUL-T0.6,greater,,0.6,,>0.6%,active,2022-11-24 15:01:54,2022-11-24
13,97,0,0,1669302114,0.0,100,3,0,,CPI-23JUL-T0.6,greater,,0.6,,>0.6%,active,2022-11-24 15:01:54,2022-11-24
14,99,95,0,1669302114,0.0,5,1,0,,CPI-23JUL-T0.7,greater,,0.7,,>0.7%,active,2022-11-24 15:01:54,2022-11-24
15,99,0,0,1669302114,0.0,100,1,0,,CPI-23JUL-T0.8,greater,,0.8,,>0.8%,active,2022-11-24 15:01:54,2022-11-24
16,23,0,0,1669302115,0.0,100,77,0,,CPI-23JUL-T0.0,greater,,0.0,,>0.0%,active,2022-11-24 15:01:55,2022-11-24
17,59,47,0,1669302115,0.0,53,41,0,,CPI-23JUL-T0.2,greater,,0.2,,>0.2%,active,2022-11-24 15:01:55,2022-11-24
18,59,49,0,1669302115,0.0,51,41,0,,CPI-23JUL-T0.2,greater,,0.2,,>0.2%,active,2022-11-24 15:01:55,2022-11-24
19,55,49,0,1669302115,0.0,51,45,0,,CPI-23JUL-T0.2,greater,,0.2,,>0.2%,active,2022-11-24 15:01:55,2022-11-24
20,73,64,0,1669302115,0.0,36,27,0,,CPI-23JUL-T0.3,greater,,0.3,,>0.3%,active,2022-11-24 15:01:55,2022-11-24
21,71,64,0,1669302115,0.0,36,29,0,,CPI-23JUL-T0.3,greater,,0.3,,>0.3%,active,2022-11-24 15:01:55,2022-11-24
22,71,66,0,1669302115,0.0,34,29,0,,CPI-23JUL-T0.3,greater,,0.3,,>0.3%,active,2022-11-24 15:01:55,2022-11-24
23,97,91,0,1669302115,0.0,9,3,0,,CPI-23JUL-T0.6,greater,,0.6,,>0.6%,active,2022-11-24 15:01:55,2022-11-24
24,97,92,0,1669302115,0.0,8,3,0,,CPI-23JUL-T0.6,greater,,0.6,,>0.6%,active,2022-11-24 15:01:55,2022-11-24
25,98,95,0,1669302115,0.0,5,2,0,,CPI-23JUL-T0.7,greater,,0.7,,>0.7%,active,2022-11-24 15:01:55,2022-11-24
26,99,96,0,1669302115,0.0,4,1,0,,CPI-23JUL-T0.8,greater,,0.8,,>0.8%,active,2022-11-24 15:01:55,2022-11-24
27,96,92,0,1669302116,0.0,8,4,0,,CPI-23JUL-T0.6,greater,,0.6,,>0.6%,active,2022-11-24 15:01:56,2022-11-24
28,23,15,0,1669302117,0.0,85,77,0,,CPI-23JUL-T0.0,greater,,0.0,,>0.0%,active,2022-11-24 15:01:57,2022-11-24
29,23,17,0,1669302117,0.0,83,77,0,,CPI-23JUL-T0.0,greater,,0.0,,>0.0%,active,2022-11-24 15:01:57,2022-11-24
30,23,19,0,1669302117,0.0,81,77,0,,CPI-23JUL-T0.0,greater,,0.0,,>0.0%,active,2022-11-24 15:01:57,2022-11-24
31,71,64,0,1670938015,0.0,36,29,0,,CPI-23JUL-T0.3,greater,,0.3,,>0.3%,active,2022-12-13 13:26:55,2022-12-13
32,91,86,0,1670938015,0.0,14,9,0,,CPI-23JUL-T0.5,greater,,0.5,,>0.5%,active,2022-12-13 13:26:55,2022-12-13
33,98,94,0,1670938017,0.0,6,2,0,,CPI-23JUL-T0.7,greater,,0.7,,>0.7%,active,2022-12-13 13:26:57,2022-12-13
34,37,30,0,1670938018,0.0,70,63,0,,CPI-23JUL-T0.1,greater,,0.1,,>0.1%,active,2022-12-13 13:26:58,2022-12-13
35,55,45,0,1670938018,0.0,55,45,0,,CPI-23JUL-T0.2,greater,,0.2,,>0.2%,active,2022-12-13 13:26:58,2022-12-13
36,84,77,0,1670938018,0.0,23,16,0,,CPI-23JUL-T0.4,greater,,0.4,,>0.4%,active,2022-12-13 13:26:58,2022-12-13
37,23,15,0,1670938019,0.0,85,77,0,,CPI-23JUL-T0.0,greater,,0.0,,>0.0%,active,2022-12-13 13:26:59,2022-12-13
38,55,0,0,1670938019,0.0,100,45,0,,CPI-23JUL-T0.2,greater,,0.2,,>0.2%,active,2022-12-13 13:26:59,2022-12-13
39,84,0,0,1670938019,0.0,100,16,0,,CPI-23JUL-T0.4,greater,,0.4,,>0.4%,active,2022-12-13 13:26:59,2022-12-13
40,86,0,0,1670938020,0.0,100,14,0,,CPI-23JUL-T0.4,greater,,0.4,,>0.4%,active,2022-12-13 13:27:00,2022-12-13
41,100,0,0,1670938020,0.0,100,0,0,,CPI-23JUL-T0.4,greater,,0.4,,>0.4%,active,2022-12-13 13:27:00,2022-12-13
42,25,15,0,1670938023,0.0,85,75,0,,CPI-23JUL-T0.0,greater,,0.0,,>0.0%,active,2022-12-13 13:27:03,2022-12-13
43,37,0,0,1670938023,0.0,100,63,0,,CPI-23JUL-T0.1,greater,,0.1,,>0.1%,active,2022-12-13 13:27:03,2022-12-13
44,39,0,0,1670938023,0.0,100,61,0,,CPI-23JUL-T0.1,greater,,0.1,,>0.1%,active,2022-12-13 13:27:03,2022-12-13
45,99,0,0,1670938023,0.0,100,1,0,,CPI-23JUL-T0.8,greater,,0.8,,>0.8%,active,2022-12-13 13:27:03,2022-12-13
46,100,15,0,1670938024,0.0,85,0,0,,CPI-23JUL-T0.0,greater,,0.0,,>0.0%,active,2022-12-13 13:27:04,2022-12-13
47,91,0,0,1670938024,0.0,100,9,0,,CPI-23JUL-T0.5,greater,,0.5,,>0.5%,active,2022-12-13 13:27:04,2022-12-13
48,98,93,0,1670938024,0.0,7,2,0,,CPI-23JUL-T0.7,greater,,0.7,,>0.7%,active,2022-12-13 13:27:04,2022-12-13
49,100,0,0,1670938025,0.0,100,0,0,,CPI-23JUL-T0.2,greater,,0.2,,>0.2%,active,2022-12-13 13:27:05,2022-12-13
50,96,91,0,1670938025,0.0,9,4,0,,CPI-23JUL-T0.6,greater,,0.6,,>0.6%,active,2022-12-13 13:27:05,2022-12-13
51,98,0,0,1670938025,0.0,100,2,0,,CPI-23JUL-T0.7,greater,,0.7,,>0.7%,active,2022-12-13 13:27:05,2022-12-13
52,99,0,0,1670938026,0.0,100,1,0,,CPI-23JUL-T0.7,greater,,0.7,,>0.7%,active,2022-12-13 13:27:06,2022-12-13
53,100,0,0,1670938026,0.0,100,0,0,,CPI-23JUL-T0.7,greater,,0.7,,>0.7%,active,2022-12-13 13:27:06,2022-12-13
54,71,0,0,1670938027,0.0,100,29,0,,CPI-23JUL-T0.3,greater,,0.3,,>0.3%,active,2022-12-13 13:27:07,2022-12-13
55,100,0,0,1670938028,0.0,100,0,0,,CPI-23JUL-T0.0,greater,,0.0,,>0.0%,active,2022-12-13 13:27:08,2022-12-13
56,100,0,0,1670938028,0.0,100,0,0,,CPI-23JUL-T0.1,greater,,0.1,,>0.1%,active,2022-12-13 13:27:08,2022-12-13
57,100,0,0,1670938028,0.0,100,0,0,,CPI-23JUL-T0.3,greater,,0.3,,>0.3%,active,2022-12-13 13:27:08,2022-12-13
58,100,0,0,1670938028,0.0,100,0,0,,CPI-23JUL-T0.5,greater,,0.5,,>0.5%,active,2022-12-13 13:27:08,2022-12-13
59,100,91,0,1670938028,0.0,9,0,0,,CPI-23JUL-T0.6,greater,,0.6,,>0.6%,active,2022-12-13 13:27:08,2022-12-13
60,100,0,0,1670938028,0.0,100,0,0,,CPI-23JUL-T0.6,greater,,0.6,,>0.6%,active,2022-12-13 13:27:08,2022-12-13
61,100,0,0,1670938028,0.0,100,0,0,,CPI-23JUL-T0.8,greater,,0.8,,>0.8%,active,2022-12-13 13:27:08,2022-12-13
62,100,18,0,1671205045,0.0,82,0,0,,CPI-23JUL-T0.0,greater,,0.0,,>0.0%,active,2022-12-16 15:37:25,2022-12-16
63,42,0,0,1671205045,0.0,100,58,0,,CPI-23JUL-T0.1,greater,,0.1,,>0.1%,active,2022-12-16 15:37:25,2022-12-16
64,100,49,0,1671205045,0.0,51,0,0,,CPI-23JUL-T0.2,greater,,0.2,,>0.2%,active,2022-12-16 15:37:25,2022-12-16
65,100,63,0,1671205045,0.0,37,0,0,,CPI-23JUL-T0.3,greater,,0.3,,>0.3%,active,2022-12-16 15:37:25,2022-12-16
66,82,0,0,1671205045,0.0,100,18,0,,CPI-23JUL-T0.4,greater,,0.4,,>0.4%,active,2022-12-16 15:37:25,2022-12-16
67,94,0,0,1671205045,0.0,100,6,0,,CPI-23JUL-T0.6,greater,,0.6,,>0.6%,active,2022-12-16 15:37:25,2022-12-16
68,100,92,0,1671205045,0.0,8,0,0,,CPI-23JUL-T0.7,greater,,0.7,,>0.7%,active,2022-12-16 15:37:25,2022-12-16
69,100,22,0,1671205046,0.0,78,0,0,,CPI-23JUL-T0.0,greater,,0.0,,>0.0%,active,2022-12-16 15:37:26,2022-12-16
70,42,32,0,1671205046,0.0,68,58,0,,CPI-23JUL-T0.1,greater,,0.1,,>0.1%,active,2022-12-16 15:37:26,2022-12-16
71,80,0,0,1671205046,0.0,100,20,0,,CPI-23JUL-T0.4,greater,,0.4,,>0.4%,active,2022-12-16 15:37:26,2022-12-16
72,80,73,0,1671205046,0.0,27,20,0,,CPI-23JUL-T0.4,greater,,0.4,,>0.4%,active,2022-12-16 15:37:26,2022-12-16
73,99,0,0,1671205046,0.0,100,1,0,,CPI-23JUL-T0.8,greater,,0.8,,>0.8%,active,2022-12-16 15:37:26,2022-12-16
74,99,93,0,1671205046,0.0,7,1,0,,CPI-23JUL-T0.8,greater,,0.8,,>0.8%,active,2022-12-16 15:37:26,2022-12-16
75,40,32,0,1671205047,0.0,68,60,0,,CPI-23JUL-T0.1,greater,,0.1,,>0.1%,active,2022-12-16 15:37:27,2022-12-16
76,54,49,0,1671205047,0.0,51,46,0,,CPI-23JUL-T0.2,greater,,0.2,,>0.2%,active,2022-12-16 15:37:27,2022-12-16
77,80,75,0,1671205047,0.0,25,20,0,,CPI-23JUL-T0.4,greater,,0.4,,>0.4%,active,2022-12-16 15:37:27,2022-12-16
78,94,88,0,1671205047,0.0,12,6,0,,CPI-23JUL-T0.6,greater,,0.6,,>0.6%,active,2022-12-16 15:37:27,2022-12-16
79,93,88,0,1671205047,0.0,12,7,0,,CPI-23JUL-T0.6,greater,,0.6,,>0.6%,active,2022-12-16 15:37:27,2022-12-16
80,29,22,0,1671205048,0.0,78,71,0,,CPI-23JUL-T0.0,greater,,0.0,,>0.0%,active,2022-12-16 15:37:28,2022-12-16
81,73,63,0,1671205048,0.0,37,27,0,,CPI-23JUL-T0.3,greater,,0.3,,>0.3%,active,2022-12-16 15:37:28,2022-12-16
82,89,0,0,1671205048,0.0,100,11,0,,CPI-23JUL-T0.5,greater,,0.5,,>0.5%,active,2022-12-16 15:37:28,2022-12-16
83,88,0,0,1671205048,0.0,100,12,0,,CPI-23JUL-T0.5,greater,,0.5,,>0.5%,active,2022-12-16 15:37:28,2022-12-16
84,88,80,0,1671205048,0.0,20,12,0,,CPI-23JUL-T0.5,greater,,0.5,,>0.5%,active,2022-12-16 15:37:28,2022-12-16
85,88,82,0,1671205048,0.0,18,12,0,,CPI-23JUL-T0.5,greater,,0.5,,>0.5%,active,2022-12-16 15:37:28,2022-12-16
86,88,84,0,1671205048,0.0,16,12,0,,CPI-23JUL-T0.5,greater,,0.5,,>0.5%,active,2022-12-16 15:37:28,2022-12-16
87,93,89,0,1671205048,0.0,11,7,0,,CPI-23JUL-T0.6,greater,,0.6,,>0.6%,active,2022-12-16 15:37:28,2022-12-16
88,100,93,0,1671205048,0.0,7,0,0,,CPI-23JUL-T0.7,greater,,0.7,,>0.7%,active,2022-12-16 15:37:28,2022-12-16
89,97,93,0,1671205048,0.0,7,3,0,,CPI-23JUL-T0.7,greater,,0.7,,>0.7%,active,2022-12-16 15:37:28,2022-12-16
90,99,94,0,1671205048,0.0,6,1,0,,CPI-23JUL-T0.8,greater,,0.8,,>0.8%,active,2022-12-16 15:37:28,2022-12-16
91,98,94,0,1671205048,0.0,6,2,0,,CPI-23JUL-T0.8,greater,,0.8,,>0.8%,active,2022-12-16 15:37:28,2022-12-16
92,71,63,0,1671205049,0.0,37,29,0,,CPI-23JUL-T0.3,greater,,0.3,,>0.3%,active,2022-12-16 15:37:29,2022-12-16
93,69,63,0,1671205049,0.0,37,31,0,,CPI-23JUL-T0.3,greater,,0.3,,>0.3%,active,2022-12-16 15:37:29,2022-12-16
94,96,93,0,1671205049,0.0,7,4,0,,CPI-23JUL-T0.7,greater,,0.7,,>0.7%,active,2022-12-16 15:37:29,2022-12-16
95,27,22,0,1671205050,0.0,78,73,0,,CPI-23JUL-T0.0,greater,,0.0,,>0.0%,active,2022-12-16 15:37:30,2022-12-16
96,40,34,0,1671205050,0.0,66,60,0,,CPI-23JUL-T0.1,greater,,0.1,,>0.1%,active,2022-12-16 15:37:30,2022-12-16
97,98,95,0,1671205050,0.0,5,2,0,,CPI-23JUL-T0.8,greater,,0.8,,>0.8%,active,2022-12-16 15:37:30,2022-12-16
98,27,22,50,1671286178,50.0,78,73,78,,CPI-23JUL-T0.0,greater,,0.0,,>0.0%,active,2022-12-17 14:09:38,2022-12-17
99,26,22,50,1671286187,0.0,78,74,78,,CPI-23JUL-T0.0,greater,,0.0,,>0.0%,active,2022-12-17 14:09:47,2022-12-17
100,26,21,50,1671286187,0.0,79,74,78,,CPI-23JUL-T0.0,greater,,0.0,,>0.0%,active,2022-12-17 14:09:47,2022-12-17
101,43,34,0,1671286187,0.0,66,57,0,,CPI-23JUL-T0.1,greater,,0.1,,>0.1%,active,2022-12-17 14:09:47,2022-12-17
102,39,34,0,1671286187,0.0,66,61,0,,CPI-23JUL-T0.1,greater,,0.1,,>0.1%,active,2022-12-17 14:09:47,2022-12-17
103,54,48,0,1671286187,0.0,52,46,0,,CPI-23JUL-T0.2,greater,,0.2,,>0.2%,active,2022-12-17 14:09:47,2022-12-17
104,68,63,0,1671286187,0.0,37,32,0,,CPI-23JUL-T0.3,greater,,0.3,,>0.3%,active,2022-12-17 14:09:47,2022-12-17
105,80,73,0,1671802179,0.0,27,20,0,,CPI-23JUL-T0.4,greater,,0.4,,>0.4%,active,2022-12-23 13:29:39,2022-12-23
106,84,73,0,1671802179,0.0,27,16,0,,CPI-23JUL-T0.4,greater,,0.4,,>0.4%,active,2022-12-23 13:29:39,2022-12-23
107,100,73,0,1671802179,0.0,27,0,0,,CPI-23JUL-T0.4,greater,,0.4,,>0.4%,active,2022-12-23 13:29:39,2022-12-23
108,90,84,0,1671802179,0.0,16,10,0,,CPI-23JUL-T0.5,greater,,0.5,,>0.5%,active,2022-12-23 13:29:39,2022-12-23
109,90,80,0,1671802179,0.0,20,10,0,,CPI-23JUL-T0.5,greater,,0.5,,>0.5%,active,2022-12-23 13:29:39,2022-12-23
110,100,63,0,1671802180,0.0,37,0,0,,CPI-23JUL-T0.3,greater,,0.3,,>0.3%,active,2022-12-23 13:29:40,2022-12-23
111,100,80,0,1671802180,0.0,20,0,0,,CPI-23JUL-T0.5,greater,,0.5,,>0.5%,active,2022-12-23 13:29:40,2022-12-23
112,99,95,0,1671802180,0.0,5,1,0,,CPI-23JUL-T0.8,greater,,0.8,,>0.8%,active,2022-12-23 13:29:40,2022-12-23
113,99,93,0,1671802180,0.0,7,1,0,,CPI-23JUL-T0.8,greater,,0.8,,>0.8%,active,2022-12-23 13:29:40,2022-12-23
114,41,34,0,1671802181,0.0,66,59,0,,CPI-23JUL-T0.1,greater,,0.1,,>0.1%,active,2022-12-23 13:29:41,2022-12-23
115,56,48,0,1671802181,0.0,52,44,0,,CPI-23JUL-T0.2,greater,,0.2,,>0.2%,active,2022-12-23 13:29:41,2022-12-23
116,100,0,0,1671802181,0.0,100,0,0,,CPI-23JUL-T0.4,greater,,0.4,,>0.4%,active,2022-12-23 13:29:41,2022-12-23
117,28,21,50,1671802182,0.0,79,72,78,,CPI-23JUL-T0.0,greater,,0.0,,>0.0%,active,2022-12-23 13:29:42,2022-12-23
118,100,0,0,1671802182,0.0,100,0,0,,CPI-23JUL-T0.3,greater,,0.3,,>0.3%,active,2022-12-23 13:29:42,2022-12-23
119,94,89,0,1671802182,0.0,11,6,0,,CPI-23JUL-T0.6,greater,,0.6,,>0.6%,active,2022-12-23 13:29:42,2022-12-23
120,94,88,0,1671802182,0.0,12,6,0,,CPI-23JUL-T0.6,greater,,0.6,,>0.6%,active,2022-12-23 13:29:42,2022-12-23
121,99,0,0,1671802182,0.0,100,1,0,,CPI-23JUL-T0.8,greater,,0.8,,>0.8%,active,2022-12-23 13:29:42,2022-12-23
