,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1667401601,0.0,100,1,0,,CPI-23MAY-T0.0,greater,,0.0,,>0.0%,active,2022-11-02 15:06:41,2022-11-02
1,99,0,0,1667401927,0.0,100,1,0,,CPI-23MAY-T0.1,greater,,0.1,,>0.1%,active,2022-11-02 15:12:07,2022-11-02
2,99,0,0,1667401934,0.0,100,1,0,,CPI-23MAY-T0.2,greater,,0.2,,>0.2%,active,2022-11-02 15:12:14,2022-11-02
3,94,0,0,1667478647,0.0,100,6,0,,CPI-23MAY-T0.0,greater,,0.0,,>0.0%,active,2022-11-03 12:30:47,2022-11-03
4,100,0,0,1668529054,0.0,100,0,0,,CPI-23MAY-T0.1,greater,,0.1,,>0.1%,active,2022-11-15 16:17:34,2022-11-15
5,100,0,0,1668529054,0.0,100,0,0,,CPI-23MAY-T0.2,greater,,0.2,,>0.2%,active,2022-11-15 16:17:34,2022-11-15
6,100,24,0,1669302112,0.0,76,0,0,,CPI-23MAY-T0.1,greater,,0.1,,>0.1%,active,2022-11-24 15:01:52,2022-11-24
7,100,96,0,1669302112,0.0,4,0,0,,CPI-23MAY-T0.8,greater,,0.8,,>0.8%,active,2022-11-24 15:01:52,2022-11-24
8,47,0,0,1669302113,0.0,100,53,0,,CPI-23MAY-T0.2,greater,,0.2,,>0.2%,active,2022-11-24 15:01:53,2022-11-24
9,100,74,0,1669302113,0.0,26,0,0,,CPI-23MAY-T0.4,greater,,0.4,,>0.4%,active,2022-11-24 15:01:53,2022-11-24
10,81,74,0,1669302113,0.0,26,19,0,,CPI-23MAY-T0.4,greater,,0.4,,>0.4%,active,2022-11-24 15:01:53,2022-11-24
11,92,0,0,1669302113,0.0,100,8,0,,CPI-23MAY-T0.5,greater,,0.5,,>0.5%,active,2022-11-24 15:01:53,2022-11-24
12,96,0,0,1669302113,0.0,100,4,0,,CPI-23MAY-T0.6,greater,,0.6,,>0.6%,active,2022-11-24 15:01:53,2022-11-24
13,98,0,0,1669302113,0.0,100,2,0,,CPI-23MAY-T0.7,greater,,0.7,,>0.7%,active,2022-11-24 15:01:53,2022-11-24
14,17,0,0,1669302114,0.0,100,83,0,,CPI-23MAY-T0.0,greater,,0.0,,>0.0%,active,2022-11-24 15:01:54,2022-11-24
15,33,24,0,1669302114,0.0,76,67,0,,CPI-23MAY-T0.1,greater,,0.1,,>0.1%,active,2022-11-24 15:01:54,2022-11-24
16,31,24,0,1669302114,0.0,76,69,0,,CPI-23MAY-T0.1,greater,,0.1,,>0.1%,active,2022-11-24 15:01:54,2022-11-24
17,47,39,0,1669302114,0.0,61,53,0,,CPI-23MAY-T0.2,greater,,0.2,,>0.2%,active,2022-11-24 15:01:54,2022-11-24
18,66,0,0,1669302114,0.0,100,34,0,,CPI-23MAY-T0.3,greater,,0.3,,>0.3%,active,2022-11-24 15:01:54,2022-11-24
19,66,57,0,1669302114,0.0,43,34,0,,CPI-23MAY-T0.3,greater,,0.3,,>0.3%,active,2022-11-24 15:01:54,2022-11-24
20,92,86,0,1669302114,0.0,14,8,0,,CPI-23MAY-T0.5,greater,,0.5,,>0.5%,active,2022-11-24 15:01:54,2022-11-24
21,96,91,0,1669302114,0.0,9,4,0,,CPI-23MAY-T0.6,greater,,0.6,,>0.6%,active,2022-11-24 15:01:54,2022-11-24
22,47,41,0,1669302115,0.0,59,53,0,,CPI-23MAY-T0.2,greater,,0.2,,>0.2%,active,2022-11-24 15:01:55,2022-11-24
23,66,59,0,1669302115,0.0,41,34,0,,CPI-23MAY-T0.3,greater,,0.3,,>0.3%,active,2022-11-24 15:01:55,2022-11-24
24,66,61,0,1669302115,0.0,39,34,0,,CPI-23MAY-T0.3,greater,,0.3,,>0.3%,active,2022-11-24 15:01:55,2022-11-24
