,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,53,0,0,1669302112,0.0,100,47,0,,CPI-23NOV-T0.1,greater,,0.1,,>0.1%,active,2022-11-24 15:01:52,2022-11-24
1,78,0,0,1669302112,0.0,100,22,0,,CPI-23NOV-T0.3,greater,,0.3,,>0.3%,active,2022-11-24 15:01:52,2022-11-24
2,78,69,0,1669302112,0.0,31,22,0,,CPI-23NOV-T0.3,greater,,0.3,,>0.3%,active,2022-11-24 15:01:52,2022-11-24
3,78,73,0,1669302112,0.0,27,22,0,,CPI-23NOV-T0.3,greater,,0.3,,>0.3%,active,2022-11-24 15:01:52,2022-11-24
4,100,87,0,1669302112,0.0,13,0,0,,CPI-23NOV-T0.5,greater,,0.5,,>0.5%,active,2022-11-24 15:01:52,2022-11-24
5,96,0,0,1669302112,0.0,100,4,0,,CPI-23NOV-T0.6,greater,,0.6,,>0.6%,active,2022-11-24 15:01:52,2022-11-24
6,100,29,0,1669302113,0.0,71,0,0,,CPI-23NOV-T0.0,greater,,0.0,,>0.0%,active,2022-11-24 15:01:53,2022-11-24
7,37,29,0,1669302113,0.0,71,63,0,,CPI-23NOV-T0.0,greater,,0.0,,>0.0%,active,2022-11-24 15:01:53,2022-11-24
8,100,60,0,1669302113,0.0,40,0,0,,CPI-23NOV-T0.2,greater,,0.2,,>0.2%,active,2022-11-24 15:01:53,2022-11-24
9,100,80,0,1669302113,0.0,20,0,0,,CPI-23NOV-T0.4,greater,,0.4,,>0.4%,active,2022-11-24 15:01:53,2022-11-24
10,100,94,0,1669302113,0.0,6,0,0,,CPI-23NOV-T0.7,greater,,0.7,,>0.7%,active,2022-11-24 15:01:53,2022-11-24
11,98,94,0,1669302113,0.0,6,2,0,,CPI-23NOV-T0.7,greater,,0.7,,>0.7%,active,2022-11-24 15:01:53,2022-11-24
12,87,80,0,1669302114,0.0,20,13,0,,CPI-23NOV-T0.4,greater,,0.4,,>0.4%,active,2022-11-24 15:01:54,2022-11-24
13,87,82,0,1669302114,0.0,18,13,0,,CPI-23NOV-T0.4,greater,,0.4,,>0.4%,active,2022-11-24 15:01:54,2022-11-24
14,100,88,0,1669302114,0.0,12,0,0,,CPI-23NOV-T0.5,greater,,0.5,,>0.5%,active,2022-11-24 15:01:54,2022-11-24
15,94,88,0,1669302114,0.0,12,6,0,,CPI-23NOV-T0.5,greater,,0.5,,>0.5%,active,2022-11-24 15:01:54,2022-11-24
16,96,90,0,1669302114,0.0,10,4,0,,CPI-23NOV-T0.6,greater,,0.6,,>0.6%,active,2022-11-24 15:01:54,2022-11-24
17,96,91,0,1669302114,0.0,9,4,0,,CPI-23NOV-T0.6,greater,,0.6,,>0.6%,active,2022-11-24 15:01:54,2022-11-24
18,100,94,0,1669302114,0.0,6,0,0,,CPI-23NOV-T0.8,greater,,0.8,,>0.8%,active,2022-11-24 15:01:54,2022-11-24
19,100,95,0,1669302114,0.0,5,0,0,,CPI-23NOV-T0.8,greater,,0.8,,>0.8%,active,2022-11-24 15:01:54,2022-11-24
20,100,96,0,1669302114,0.0,4,0,0,,CPI-23NOV-T0.8,greater,,0.8,,>0.8%,active,2022-11-24 15:01:54,2022-11-24
21,37,31,0,1669302115,0.0,69,63,0,,CPI-23NOV-T0.0,greater,,0.0,,>0.0%,active,2022-11-24 15:01:55,2022-11-24
22,51,0,0,1669302115,0.0,100,49,0,,CPI-23NOV-T0.1,greater,,0.1,,>0.1%,active,2022-11-24 15:01:55,2022-11-24
23,68,60,0,1669302115,0.0,40,32,0,,CPI-23NOV-T0.2,greater,,0.2,,>0.2%,active,2022-11-24 15:01:55,2022-11-24
24,66,60,0,1669302115,0.0,40,34,0,,CPI-23NOV-T0.2,greater,,0.2,,>0.2%,active,2022-11-24 15:01:55,2022-11-24
25,96,92,0,1669302115,0.0,8,4,0,,CPI-23NOV-T0.6,greater,,0.6,,>0.6%,active,2022-11-24 15:01:55,2022-11-24
