,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,25,0,1669302112,0.0,75,0,0,,CPI-23SEP-T0.0,greater,,0.0,,>0.0%,active,2022-11-24 15:01:52,2022-11-24
1,30,25,0,1669302112,0.0,75,70,0,,CPI-23SEP-T0.0,greater,,0.0,,>0.0%,active,2022-11-24 15:01:52,2022-11-24
2,100,86,0,1669302112,0.0,14,0,0,,CPI-23SEP-T0.5,greater,,0.5,,>0.5%,active,2022-11-24 15:01:52,2022-11-24
3,93,86,0,1669302112,0.0,14,7,0,,CPI-23SEP-T0.5,greater,,0.5,,>0.5%,active,2022-11-24 15:01:52,2022-11-24
4,100,95,0,1669302112,0.0,5,0,0,,CPI-23SEP-T0.8,greater,,0.8,,>0.8%,active,2022-11-24 15:01:52,2022-11-24
5,100,96,0,1669302112,0.0,4,0,0,,CPI-23SEP-T0.8,greater,,0.8,,>0.8%,active,2022-11-24 15:01:52,2022-11-24
6,45,0,0,1669302113,0.0,100,55,0,,CPI-23SEP-T0.1,greater,,0.1,,>0.1%,active,2022-11-24 15:01:53,2022-11-24
7,61,0,0,1669302113,0.0,100,39,0,,CPI-23SEP-T0.2,greater,,0.2,,>0.2%,active,2022-11-24 15:01:53,2022-11-24
8,100,68,0,1669302113,0.0,32,0,0,,CPI-23SEP-T0.3,greater,,0.3,,>0.3%,active,2022-11-24 15:01:53,2022-11-24
9,75,68,0,1669302113,0.0,32,25,0,,CPI-23SEP-T0.3,greater,,0.3,,>0.3%,active,2022-11-24 15:01:53,2022-11-24
10,98,0,0,1669302113,0.0,100,2,0,,CPI-23SEP-T0.6,greater,,0.6,,>0.6%,active,2022-11-24 15:01:53,2022-11-24
11,99,0,0,1669302113,0.0,100,1,0,,CPI-23SEP-T0.7,greater,,0.7,,>0.7%,active,2022-11-24 15:01:53,2022-11-24
12,99,94,0,1669302113,0.0,6,1,0,,CPI-23SEP-T0.7,greater,,0.7,,>0.7%,active,2022-11-24 15:01:53,2022-11-24
13,61,53,0,1669302114,0.0,47,39,0,,CPI-23SEP-T0.2,greater,,0.2,,>0.2%,active,2022-11-24 15:01:54,2022-11-24
14,75,70,0,1669302114,0.0,30,25,0,,CPI-23SEP-T0.3,greater,,0.3,,>0.3%,active,2022-11-24 15:01:54,2022-11-24
15,100,79,0,1669302114,0.0,21,0,0,,CPI-23SEP-T0.4,greater,,0.4,,>0.4%,active,2022-11-24 15:01:54,2022-11-24
16,100,81,0,1669302114,0.0,19,0,0,,CPI-23SEP-T0.4,greater,,0.4,,>0.4%,active,2022-11-24 15:01:54,2022-11-24
17,92,86,0,1669302114,0.0,14,8,0,,CPI-23SEP-T0.5,greater,,0.5,,>0.5%,active,2022-11-24 15:01:54,2022-11-24
