,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1656692081,0.0,100,1,0,,CPICORE-22AUG-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:14:41,2022-07-01
1,98,0,0,1656692081,0.0,100,2,0,,CPICORE-22AUG-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:14:41,2022-07-01
2,98,95,0,1656692081,0.0,5,2,0,,CPICORE-22AUG-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:14:41,2022-07-01
3,98,95,0,1656692081,0.0,5,2,0,,CPICORE-22AUG-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:14:41,2022-07-01
4,98,95,0,1656692081,0.0,5,2,0,,CPICORE-22AUG-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:14:41,2022-07-01
5,96,0,0,1656692082,0.0,100,4,0,,CPICORE-22AUG-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:14:42,2022-07-01
6,95,0,0,1656692082,0.0,100,5,0,,CPICORE-22AUG-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:14:42,2022-07-01
7,94,0,0,1656692082,0.0,100,6,0,,CPICORE-22AUG-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:14:42,2022-07-01
8,94,91,0,1656692082,0.0,9,6,0,,CPICORE-22AUG-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:14:42,2022-07-01
9,94,91,0,1656692082,0.0,9,6,0,,CPICORE-22AUG-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:14:42,2022-07-01
10,94,91,0,1656692082,0.0,9,6,0,,CPICORE-22AUG-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:14:42,2022-07-01
11,21,0,0,1656692083,0.0,100,79,0,,CPICORE-22AUG-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:14:43,2022-07-01
12,20,0,0,1656692083,0.0,100,80,0,,CPICORE-22AUG-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:14:43,2022-07-01
13,19,0,0,1656692083,0.0,100,81,0,,CPICORE-22AUG-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:14:43,2022-07-01
14,19,15,0,1656692083,0.0,85,81,0,,CPICORE-22AUG-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:14:43,2022-07-01
15,19,15,0,1656692083,0.0,85,81,0,,CPICORE-22AUG-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:14:43,2022-07-01
16,19,15,0,1656692083,0.0,85,81,0,,CPICORE-22AUG-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:14:43,2022-07-01
17,41,0,0,1656692083,0.0,100,59,0,,CPICORE-22AUG-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:14:43,2022-07-01
18,40,0,0,1656692083,0.0,100,60,0,,CPICORE-22AUG-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:14:43,2022-07-01
19,39,0,0,1656692083,0.0,100,61,0,,CPICORE-22AUG-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:14:43,2022-07-01
20,39,35,0,1656692083,0.0,65,61,0,,CPICORE-22AUG-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:14:43,2022-07-01
21,39,35,0,1656692083,0.0,65,61,0,,CPICORE-22AUG-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:14:43,2022-07-01
22,39,35,0,1656692083,0.0,65,61,0,,CPICORE-22AUG-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:14:43,2022-07-01
23,67,0,0,1656692083,0.0,100,33,0,,CPICORE-22AUG-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:14:43,2022-07-01
24,66,0,0,1656692083,0.0,100,34,0,,CPICORE-22AUG-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:14:43,2022-07-01
25,65,0,0,1656692083,0.0,100,35,0,,CPICORE-22AUG-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:14:43,2022-07-01
26,65,61,0,1656692083,0.0,39,35,0,,CPICORE-22AUG-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:14:43,2022-07-01
27,65,61,0,1656692083,0.0,39,35,0,,CPICORE-22AUG-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:14:43,2022-07-01
28,65,61,0,1656692083,0.0,39,35,0,,CPICORE-22AUG-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:14:43,2022-07-01
29,7,0,0,1656692092,0.0,100,93,0,,CPICORE-22AUG-T0.0,greater,,0.0,,>0.0%,finalized,2022-07-01 16:14:52,2022-07-01
30,6,0,0,1656692092,0.0,100,94,0,,CPICORE-22AUG-T0.0,greater,,0.0,,>0.0%,finalized,2022-07-01 16:14:52,2022-07-01
31,5,0,0,1656692092,0.0,100,95,0,,CPICORE-22AUG-T0.0,greater,,0.0,,>0.0%,finalized,2022-07-01 16:14:52,2022-07-01
32,5,2,0,1656692092,0.0,98,95,0,,CPICORE-22AUG-T0.0,greater,,0.0,,>0.0%,finalized,2022-07-01 16:14:52,2022-07-01
33,5,2,0,1656692092,0.0,98,95,0,,CPICORE-22AUG-T0.0,greater,,0.0,,>0.0%,finalized,2022-07-01 16:14:52,2022-07-01
34,11,0,0,1656692093,0.0,100,89,0,,CPICORE-22AUG-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:14:53,2022-07-01
35,10,0,0,1656692093,0.0,100,90,0,,CPICORE-22AUG-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:14:53,2022-07-01
36,9,0,0,1656692093,0.0,100,91,0,,CPICORE-22AUG-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:14:53,2022-07-01
37,9,6,0,1656692093,0.0,94,91,0,,CPICORE-22AUG-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:14:53,2022-07-01
38,9,6,0,1656692093,0.0,94,91,0,,CPICORE-22AUG-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:14:53,2022-07-01
39,9,6,0,1656692093,0.0,94,91,0,,CPICORE-22AUG-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:14:53,2022-07-01
40,87,0,0,1656692094,0.0,100,13,0,,CPICORE-22AUG-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-01 16:14:54,2022-07-01
41,86,0,0,1656692094,0.0,100,14,0,,CPICORE-22AUG-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-01 16:14:54,2022-07-01
42,85,0,0,1656692094,0.0,100,15,0,,CPICORE-22AUG-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-01 16:14:54,2022-07-01
43,85,81,0,1656692094,0.0,19,15,0,,CPICORE-22AUG-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-01 16:14:54,2022-07-01
44,85,81,0,1656692094,0.0,19,15,0,,CPICORE-22AUG-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-01 16:14:54,2022-07-01
45,85,81,0,1656692094,0.0,19,15,0,,CPICORE-22AUG-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-01 16:14:54,2022-07-01
46,98,94,0,1656692326,0.0,6,2,0,,CPICORE-22AUG-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:18:46,2022-07-01
47,98,94,0,1656692326,0.0,6,2,0,,CPICORE-22AUG-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:18:46,2022-07-01
48,98,94,0,1656692326,0.0,6,2,0,,CPICORE-22AUG-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:18:46,2022-07-01
49,98,94,0,1656692326,0.0,6,2,0,,CPICORE-22AUG-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:18:46,2022-07-01
50,97,94,0,1656692326,0.0,6,3,0,,CPICORE-22AUG-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:18:46,2022-07-01
51,97,94,0,1656692326,0.0,6,3,0,,CPICORE-22AUG-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:18:46,2022-07-01
52,94,91,0,1656692332,0.0,9,6,0,,CPICORE-22AUG-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:18:52,2022-07-01
53,94,91,0,1656692332,0.0,9,6,0,,CPICORE-22AUG-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:18:52,2022-07-01
54,94,90,0,1656692332,0.0,10,6,0,,CPICORE-22AUG-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:18:52,2022-07-01
55,94,89,0,1656692332,0.0,11,6,0,,CPICORE-22AUG-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:18:52,2022-07-01
56,94,89,0,1656692332,0.0,11,6,0,,CPICORE-22AUG-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:18:52,2022-07-01
57,94,89,0,1656692332,0.0,11,6,0,,CPICORE-22AUG-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:18:52,2022-07-01
58,93,89,0,1656692332,0.0,11,7,0,,CPICORE-22AUG-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:18:52,2022-07-01
59,92,89,0,1656692332,0.0,11,8,0,,CPICORE-22AUG-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:18:52,2022-07-01
60,92,89,0,1656692332,0.0,11,8,0,,CPICORE-22AUG-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:18:52,2022-07-01
61,92,89,0,1656692332,0.0,11,8,0,,CPICORE-22AUG-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:18:52,2022-07-01
62,19,15,0,1656692384,0.0,85,81,0,,CPICORE-22AUG-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:19:44,2022-07-01
63,19,15,0,1656692384,0.0,85,81,0,,CPICORE-22AUG-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:19:44,2022-07-01
64,19,14,0,1656692384,0.0,86,81,0,,CPICORE-22AUG-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:19:44,2022-07-01
65,19,13,0,1656692384,0.0,87,81,0,,CPICORE-22AUG-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:19:44,2022-07-01
66,19,13,0,1656692384,0.0,87,81,0,,CPICORE-22AUG-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:19:44,2022-07-01
67,19,13,0,1656692384,0.0,87,81,0,,CPICORE-22AUG-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:19:44,2022-07-01
68,18,13,0,1656692384,0.0,87,82,0,,CPICORE-22AUG-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:19:44,2022-07-01
69,17,13,0,1656692384,0.0,87,83,0,,CPICORE-22AUG-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:19:44,2022-07-01
70,17,13,0,1656692384,0.0,87,83,0,,CPICORE-22AUG-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:19:44,2022-07-01
