,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,50,0,0,1668797460,0.0,100,50,0,,CPICORE-22DEC-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-18 18:51:00,2022-11-18
1,65,0,0,1668797473,0.0,100,35,0,,CPICORE-22DEC-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-18 18:51:13,2022-11-18
2,80,0,0,1668797497,0.0,100,20,0,,CPICORE-22DEC-T0.2,greater,,0.2,,>0.2%,finalized,2022-11-18 18:51:37,2022-11-18
3,100,20,0,1668797531,0.0,80,0,0,,CPICORE-22DEC-T0.7,greater,,0.7,,>0.7%,finalized,2022-11-18 18:52:11,2022-11-18
4,100,0,0,1668797615,0.0,100,0,0,,CPICORE-22DEC-T0.7,greater,,0.7,,>0.7%,finalized,2022-11-18 18:53:35,2022-11-18
5,100,1,0,1668803198,0.0,99,0,0,,CPICORE-22DEC-T0.7,greater,,0.7,,>0.7%,finalized,2022-11-18 20:26:38,2022-11-18
6,100,1,0,1668803207,0.0,99,0,0,,CPICORE-22DEC-T0.6,greater,,0.6,,>0.6%,finalized,2022-11-18 20:26:47,2022-11-18
7,100,1,0,1668803224,0.0,99,0,0,,CPICORE-22DEC-T0.4,greater,,0.4,,>0.4%,finalized,2022-11-18 20:27:04,2022-11-18
8,100,1,0,1668803238,0.0,99,0,0,,CPICORE-22DEC-T0.5,greater,,0.5,,>0.5%,finalized,2022-11-18 20:27:18,2022-11-18
9,99,1,0,1668803253,0.0,99,1,0,,CPICORE-22DEC-T0.4,greater,,0.4,,>0.4%,finalized,2022-11-18 20:27:33,2022-11-18
10,99,0,0,1668803261,0.0,100,1,0,,CPICORE-22DEC-T0.3,greater,,0.3,,>0.3%,finalized,2022-11-18 20:27:41,2022-11-18
11,48,0,0,1668803302,0.0,100,52,0,,CPICORE-22DEC-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-18 20:28:22,2022-11-18
12,63,0,0,1668803314,0.0,100,37,0,,CPICORE-22DEC-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-18 20:28:34,2022-11-18
13,79,0,0,1668803367,0.0,100,21,0,,CPICORE-22DEC-T0.2,greater,,0.2,,>0.2%,finalized,2022-11-18 20:29:27,2022-11-18
14,79,1,0,1668803375,0.0,99,21,0,,CPICORE-22DEC-T0.2,greater,,0.2,,>0.2%,finalized,2022-11-18 20:29:35,2022-11-18
15,63,1,0,1668803382,0.0,99,37,0,,CPICORE-22DEC-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-18 20:29:42,2022-11-18
16,48,1,0,1668803387,0.0,99,52,0,,CPICORE-22DEC-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-18 20:29:47,2022-11-18
17,99,1,0,1668803400,0.0,99,1,0,,CPICORE-22DEC-T0.3,greater,,0.3,,>0.3%,finalized,2022-11-18 20:30:00,2022-11-18
18,99,1,0,1668803434,0.0,99,1,0,,CPICORE-22DEC-T0.5,greater,,0.5,,>0.5%,finalized,2022-11-18 20:30:34,2022-11-18
19,99,1,0,1668803443,0.0,99,1,0,,CPICORE-22DEC-T0.6,greater,,0.6,,>0.6%,finalized,2022-11-18 20:30:43,2022-11-18
20,99,1,0,1668803452,0.0,99,1,0,,CPICORE-22DEC-T0.7,greater,,0.7,,>0.7%,finalized,2022-11-18 20:30:52,2022-11-18
21,40,1,0,1668962173,0.0,99,60,0,,CPICORE-22DEC-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-20 16:36:13,2022-11-20
22,50,1,0,1668962193,0.0,99,50,0,,CPICORE-22DEC-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-20 16:36:33,2022-11-20
23,70,1,0,1668962211,0.0,99,30,0,,CPICORE-22DEC-T0.2,greater,,0.2,,>0.2%,finalized,2022-11-20 16:36:51,2022-11-20
24,99,20,0,1668962231,0.0,80,1,0,,CPICORE-22DEC-T0.7,greater,,0.7,,>0.7%,finalized,2022-11-20 16:37:11,2022-11-20
25,7,1,0,1668979967,0.0,99,93,0,,CPICORE-22DEC-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-20 21:32:47,2022-11-20
26,7,3,0,1668979967,0.0,97,93,0,,CPICORE-22DEC-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-20 21:32:47,2022-11-20
27,50,7,0,1668979967,0.0,93,50,0,,CPICORE-22DEC-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-20 21:32:47,2022-11-20
28,14,7,0,1668979967,0.0,93,86,0,,CPICORE-22DEC-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-20 21:32:47,2022-11-20
29,13,7,0,1668979967,0.0,93,87,0,,CPICORE-22DEC-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-20 21:32:47,2022-11-20
30,13,9,0,1668979967,0.0,91,87,0,,CPICORE-22DEC-T0.1,greater,,0.1,,>0.1%,finalized,2022-11-20 21:32:47,2022-11-20
