,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,7,0,0,1656692088,0.0,100,93,0,,CPICORE-22JUL-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:14:48,2022-07-01
1,6,0,0,1656692088,0.0,100,94,0,,CPICORE-22JUL-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:14:48,2022-07-01
2,5,0,0,1656692088,0.0,100,95,0,,CPICORE-22JUL-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:14:48,2022-07-01
3,5,2,0,1656692088,0.0,98,95,0,,CPICORE-22JUL-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:14:48,2022-07-01
4,5,2,0,1656692088,0.0,98,95,0,,CPICORE-22JUL-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:14:48,2022-07-01
5,13,0,0,1656692090,0.0,100,87,0,,CPICORE-22JUL-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:14:50,2022-07-01
6,12,0,0,1656692090,0.0,100,88,0,,CPICORE-22JUL-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:14:50,2022-07-01
7,11,0,0,1656692090,0.0,100,89,0,,CPICORE-22JUL-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:14:50,2022-07-01
8,11,8,0,1656692090,0.0,92,89,0,,CPICORE-22JUL-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:14:50,2022-07-01
9,11,8,0,1656692090,0.0,92,89,0,,CPICORE-22JUL-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:14:50,2022-07-01
10,11,8,0,1656692090,0.0,92,89,0,,CPICORE-22JUL-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:14:50,2022-07-01
11,28,0,0,1656692090,0.0,100,72,0,,CPICORE-22JUL-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:14:50,2022-07-01
12,27,0,0,1656692090,0.0,100,73,0,,CPICORE-22JUL-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:14:50,2022-07-01
13,26,0,0,1656692090,0.0,100,74,0,,CPICORE-22JUL-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:14:50,2022-07-01
14,26,22,0,1656692090,0.0,78,74,0,,CPICORE-22JUL-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:14:50,2022-07-01
