,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,50,0,1656690600,0.0,50,0,0,,CPICORE-22NOV-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 15:50:00,2022-07-01
1,100,45,0,1656690620,0.0,55,0,0,,CPICORE-22NOV-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-01 15:50:20,2022-07-01
2,28,0,0,1656692210,0.0,100,72,0,,CPICORE-22NOV-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:16:50,2022-07-01
3,27,0,0,1656692210,0.0,100,73,0,,CPICORE-22NOV-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:16:50,2022-07-01
4,26,0,0,1656692210,0.0,100,74,0,,CPICORE-22NOV-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:16:50,2022-07-01
5,26,22,0,1656692210,0.0,78,74,0,,CPICORE-22NOV-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:16:50,2022-07-01
6,26,22,0,1656692210,0.0,78,74,0,,CPICORE-22NOV-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:16:50,2022-07-01
7,26,22,0,1656692210,0.0,78,74,0,,CPICORE-22NOV-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:16:50,2022-07-01
8,67,0,0,1656692210,0.0,100,33,0,,CPICORE-22NOV-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:16:50,2022-07-01
9,66,0,0,1656692210,0.0,100,34,0,,CPICORE-22NOV-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:16:50,2022-07-01
10,65,0,0,1656692210,0.0,100,35,0,,CPICORE-22NOV-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:16:50,2022-07-01
11,65,60,0,1656692210,0.0,40,35,0,,CPICORE-22NOV-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:16:50,2022-07-01
12,65,60,0,1656692210,0.0,40,35,0,,CPICORE-22NOV-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:16:50,2022-07-01
13,65,60,0,1656692210,0.0,40,35,0,,CPICORE-22NOV-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:16:50,2022-07-01
14,83,0,0,1656692212,0.0,100,17,0,,CPICORE-22NOV-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:16:52,2022-07-01
15,82,0,0,1656692212,0.0,100,18,0,,CPICORE-22NOV-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:16:52,2022-07-01
16,81,0,0,1656692212,0.0,100,19,0,,CPICORE-22NOV-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:16:52,2022-07-01
17,81,76,0,1656692212,0.0,24,19,0,,CPICORE-22NOV-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:16:52,2022-07-01
18,81,76,0,1656692212,0.0,24,19,0,,CPICORE-22NOV-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:16:52,2022-07-01
19,81,76,0,1656692212,0.0,24,19,0,,CPICORE-22NOV-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:16:52,2022-07-01
20,99,0,0,1656692212,0.0,100,1,0,,CPICORE-22NOV-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:16:52,2022-07-01
21,98,0,0,1656692212,0.0,100,2,0,,CPICORE-22NOV-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:16:52,2022-07-01
22,97,0,0,1656692212,0.0,100,3,0,,CPICORE-22NOV-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:16:52,2022-07-01
23,97,94,0,1656692212,0.0,6,3,0,,CPICORE-22NOV-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:16:52,2022-07-01
24,97,94,0,1656692212,0.0,6,3,0,,CPICORE-22NOV-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:16:52,2022-07-01
25,97,94,0,1656692212,0.0,6,3,0,,CPICORE-22NOV-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:16:52,2022-07-01
26,99,0,0,1656692212,0.0,100,1,0,,CPICORE-22NOV-T0.8,greater,,0.8,,>0.8%,finalized,2022-07-01 16:16:52,2022-07-01
27,99,95,0,1656692212,0.0,5,1,0,,CPICORE-22NOV-T0.8,greater,,0.8,,>0.8%,finalized,2022-07-01 16:16:52,2022-07-01
28,99,95,0,1656692212,0.0,5,1,0,,CPICORE-22NOV-T0.8,greater,,0.8,,>0.8%,finalized,2022-07-01 16:16:52,2022-07-01
29,99,95,0,1656692212,0.0,5,1,0,,CPICORE-22NOV-T0.8,greater,,0.8,,>0.8%,finalized,2022-07-01 16:16:52,2022-07-01
30,26,22,0,1656692334,0.0,78,74,0,,CPICORE-22NOV-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:18:54,2022-07-01
31,26,22,0,1656692334,0.0,78,74,0,,CPICORE-22NOV-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:18:54,2022-07-01
32,26,21,0,1656692334,0.0,79,74,0,,CPICORE-22NOV-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:18:54,2022-07-01
33,26,20,0,1656692334,0.0,80,74,0,,CPICORE-22NOV-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:18:54,2022-07-01
34,26,20,0,1656692334,0.0,80,74,0,,CPICORE-22NOV-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:18:54,2022-07-01
35,26,20,0,1656692334,0.0,80,74,0,,CPICORE-22NOV-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:18:54,2022-07-01
36,25,20,0,1656692334,0.0,80,75,0,,CPICORE-22NOV-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:18:54,2022-07-01
37,24,20,0,1656692334,0.0,80,76,0,,CPICORE-22NOV-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:18:54,2022-07-01
38,24,20,0,1656692334,0.0,80,76,0,,CPICORE-22NOV-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:18:54,2022-07-01
39,24,20,0,1656692334,0.0,80,76,0,,CPICORE-22NOV-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:18:54,2022-07-01
