,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,22,0,0,1656692207,0.0,100,78,0,,CPICORE-22OCT-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:16:47,2022-07-01
1,21,0,0,1656692207,0.0,100,79,0,,CPICORE-22OCT-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:16:47,2022-07-01
2,20,0,0,1656692207,0.0,100,80,0,,CPICORE-22OCT-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:16:47,2022-07-01
3,20,16,0,1656692207,0.0,84,80,0,,CPICORE-22OCT-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:16:47,2022-07-01
4,20,16,0,1656692208,0.0,84,80,0,,CPICORE-22OCT-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:16:48,2022-07-01
5,20,16,0,1656692208,0.0,84,80,0,,CPICORE-22OCT-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:16:48,2022-07-01
6,39,0,0,1656692208,0.0,100,61,0,,CPICORE-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:16:48,2022-07-01
7,38,0,0,1656692208,0.0,100,62,0,,CPICORE-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:16:48,2022-07-01
8,37,0,0,1656692208,0.0,100,63,0,,CPICORE-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:16:48,2022-07-01
9,37,32,0,1656692208,0.0,68,63,0,,CPICORE-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:16:48,2022-07-01
10,37,32,0,1656692208,0.0,68,63,0,,CPICORE-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:16:48,2022-07-01
11,37,32,0,1656692208,0.0,68,63,0,,CPICORE-22OCT-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:16:48,2022-07-01
12,61,0,0,1656692208,0.0,100,39,0,,CPICORE-22OCT-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:16:48,2022-07-01
