,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,75,0,0,1656692206,0.0,100,25,0,,CPICORE-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:16:46,2022-07-01
1,74,0,0,1656692206,0.0,100,26,0,,CPICORE-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:16:46,2022-07-01
2,73,0,0,1656692206,0.0,100,27,0,,CPICORE-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:16:46,2022-07-01
3,73,68,0,1656692206,0.0,32,27,0,,CPICORE-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:16:46,2022-07-01
4,73,68,0,1656692206,0.0,32,27,0,,CPICORE-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:16:46,2022-07-01
5,73,68,0,1656692206,0.0,32,27,0,,CPICORE-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:16:46,2022-07-01
6,90,0,0,1656692206,0.0,100,10,0,,CPICORE-22SEP-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-01 16:16:46,2022-07-01
7,89,0,0,1656692206,0.0,100,11,0,,CPICORE-22SEP-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-01 16:16:46,2022-07-01
8,88,0,0,1656692206,0.0,100,12,0,,CPICORE-22SEP-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-01 16:16:46,2022-07-01
9,88,84,0,1656692206,0.0,16,12,0,,CPICORE-22SEP-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-01 16:16:46,2022-07-01
10,88,84,0,1656692206,0.0,16,12,0,,CPICORE-22SEP-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-01 16:16:46,2022-07-01
11,88,84,0,1656692206,0.0,16,12,0,,CPICORE-22SEP-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-01 16:16:46,2022-07-01
12,16,0,0,1656692212,0.0,100,84,0,,CPICORE-22SEP-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:16:52,2022-07-01
13,15,0,0,1656692212,0.0,100,85,0,,CPICORE-22SEP-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:16:52,2022-07-01
14,14,0,0,1656692212,0.0,100,86,0,,CPICORE-22SEP-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:16:52,2022-07-01
15,14,10,0,1656692212,0.0,90,86,0,,CPICORE-22SEP-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:16:52,2022-07-01
16,14,10,0,1656692212,0.0,90,86,0,,CPICORE-22SEP-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:16:52,2022-07-01
17,14,10,0,1656692212,0.0,90,86,0,,CPICORE-22SEP-T0.1,greater,,0.1,,>0.1%,finalized,2022-07-01 16:16:52,2022-07-01
18,30,0,0,1656692214,0.0,100,70,0,,CPICORE-22SEP-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:16:54,2022-07-01
19,29,0,0,1656692214,0.0,100,71,0,,CPICORE-22SEP-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:16:54,2022-07-01
20,28,0,0,1656692214,0.0,100,72,0,,CPICORE-22SEP-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:16:54,2022-07-01
21,28,23,0,1656692214,0.0,77,72,0,,CPICORE-22SEP-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:16:54,2022-07-01
22,28,23,0,1656692214,0.0,77,72,0,,CPICORE-22SEP-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:16:54,2022-07-01
23,28,23,0,1656692214,0.0,77,72,0,,CPICORE-22SEP-T0.2,greater,,0.2,,>0.2%,finalized,2022-07-01 16:16:54,2022-07-01
24,52,0,0,1656692214,0.0,100,48,0,,CPICORE-22SEP-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:16:54,2022-07-01
25,51,0,0,1656692214,0.0,100,49,0,,CPICORE-22SEP-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:16:54,2022-07-01
26,50,0,0,1656692214,0.0,100,50,0,,CPICORE-22SEP-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:16:54,2022-07-01
27,50,45,0,1656692214,0.0,55,50,0,,CPICORE-22SEP-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:16:54,2022-07-01
28,50,45,0,1656692214,0.0,55,50,0,,CPICORE-22SEP-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:16:54,2022-07-01
29,50,45,0,1656692214,0.0,55,50,0,,CPICORE-22SEP-T0.3,greater,,0.3,,>0.3%,finalized,2022-07-01 16:16:54,2022-07-01
30,97,0,0,1656692214,0.0,100,3,0,,CPICORE-22SEP-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:16:54,2022-07-01
31,96,0,0,1656692214,0.0,100,4,0,,CPICORE-22SEP-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:16:54,2022-07-01
32,95,0,0,1656692214,0.0,100,5,0,,CPICORE-22SEP-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:16:54,2022-07-01
33,95,91,0,1656692214,0.0,9,5,0,,CPICORE-22SEP-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:16:54,2022-07-01
34,95,91,0,1656692214,0.0,9,5,0,,CPICORE-22SEP-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:16:54,2022-07-01
35,95,91,0,1656692214,0.0,9,5,0,,CPICORE-22SEP-T0.6,greater,,0.6,,>0.6%,finalized,2022-07-01 16:16:54,2022-07-01
36,99,0,0,1656692215,0.0,100,1,0,,CPICORE-22SEP-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:16:55,2022-07-01
37,98,0,0,1656692215,0.0,100,2,0,,CPICORE-22SEP-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:16:55,2022-07-01
38,98,95,0,1656692215,0.0,5,2,0,,CPICORE-22SEP-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:16:55,2022-07-01
39,98,95,0,1656692215,0.0,5,2,0,,CPICORE-22SEP-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:16:55,2022-07-01
40,98,95,0,1656692215,0.0,5,2,0,,CPICORE-22SEP-T0.7,greater,,0.7,,>0.7%,finalized,2022-07-01 16:16:55,2022-07-01
41,73,68,0,1656692326,0.0,32,27,0,,CPICORE-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:18:46,2022-07-01
42,73,68,0,1656692326,0.0,32,27,0,,CPICORE-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:18:46,2022-07-01
43,100,68,0,1656692326,0.0,32,0,0,,CPICORE-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:18:46,2022-07-01
44,100,67,0,1656692326,0.0,33,0,0,,CPICORE-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:18:46,2022-07-01
45,100,66,0,1656692326,0.0,34,0,0,,CPICORE-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:18:46,2022-07-01
46,100,0,0,1656692326,0.0,100,0,0,,CPICORE-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:18:46,2022-07-01
47,71,0,0,1656692326,0.0,100,29,0,,CPICORE-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:18:46,2022-07-01
48,70,0,0,1656692326,0.0,100,30,0,,CPICORE-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:18:46,2022-07-01
49,69,0,0,1656692326,0.0,100,31,0,,CPICORE-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:18:46,2022-07-01
50,69,64,0,1656692326,0.0,36,31,0,,CPICORE-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:18:46,2022-07-01
51,69,64,0,1656692326,0.0,36,31,0,,CPICORE-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:18:46,2022-07-01
52,69,64,0,1656692327,0.0,36,31,0,,CPICORE-22SEP-T0.4,greater,,0.4,,>0.4%,finalized,2022-07-01 16:18:47,2022-07-01
53,88,84,0,1656692328,0.0,16,12,0,,CPICORE-22SEP-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-01 16:18:48,2022-07-01
54,88,84,0,1656692328,0.0,16,12,0,,CPICORE-22SEP-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-01 16:18:48,2022-07-01
55,100,84,0,1656692328,0.0,16,0,0,,CPICORE-22SEP-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-01 16:18:48,2022-07-01
56,100,83,0,1656692328,0.0,17,0,0,,CPICORE-22SEP-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-01 16:18:48,2022-07-01
57,100,82,0,1656692328,0.0,18,0,0,,CPICORE-22SEP-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-01 16:18:48,2022-07-01
58,100,0,0,1656692328,0.0,100,0,0,,CPICORE-22SEP-T0.5,greater,,0.5,,>0.5%,finalized,2022-07-01 16:18:48,2022-07-01
