,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,53,0,0,1671802750,0.0,100,47,0,,CPICORE-23FEB-T0.6,greater,,0.6,,0.7% or higher,finalized,2022-12-23 13:39:10,2022-12-23
1,100,45,0,1671802751,0.0,55,0,0,,CPICORE-23FEB-T0.0,greater,,0.0,,0.1% or higher,finalized,2022-12-23 13:39:11,2022-12-23
2,55,45,0,1671802751,0.0,55,45,0,,CPICORE-23FEB-T0.0,greater,,0.0,,0.1% or higher,finalized,2022-12-23 13:39:11,2022-12-23
3,55,47,0,1671802751,0.0,53,45,0,,CPICORE-23FEB-T0.0,greater,,0.0,,0.1% or higher,finalized,2022-12-23 13:39:11,2022-12-23
4,53,47,0,1671802751,0.0,53,47,0,,CPICORE-23FEB-T0.0,greater,,0.0,,0.1% or higher,finalized,2022-12-23 13:39:11,2022-12-23
5,53,43,0,1671802751,0.0,57,47,0,,CPICORE-23FEB-T0.6,greater,,0.6,,0.7% or higher,finalized,2022-12-23 13:39:11,2022-12-23
6,100,43,0,1671802752,0.0,57,0,0,,CPICORE-23FEB-T1.1,greater,,1.1,,1.2% or higher,finalized,2022-12-23 13:39:12,2022-12-23
7,100,43,0,1671802753,0.0,57,0,0,,CPICORE-23FEB-T0.1,greater,,0.1,,0.2% or higher,finalized,2022-12-23 13:39:13,2022-12-23
8,55,43,0,1671802753,0.0,57,45,0,,CPICORE-23FEB-T0.1,greater,,0.1,,0.2% or higher,finalized,2022-12-23 13:39:13,2022-12-23
9,55,45,0,1671802753,0.0,55,45,0,,CPICORE-23FEB-T0.1,greater,,0.1,,0.2% or higher,finalized,2022-12-23 13:39:13,2022-12-23
10,53,45,0,1671802753,0.0,55,47,0,,CPICORE-23FEB-T0.1,greater,,0.1,,0.2% or higher,finalized,2022-12-23 13:39:13,2022-12-23
11,53,0,0,1671802753,0.0,100,47,0,,CPICORE-23FEB-T0.2,greater,,0.2,,0.3% or higher,finalized,2022-12-23 13:39:13,2022-12-23
12,53,47,0,1671802753,0.0,53,47,0,,CPICORE-23FEB-T0.2,greater,,0.2,,0.3% or higher,finalized,2022-12-23 13:39:13,2022-12-23
13,100,47,0,1671802754,0.0,53,0,0,,CPICORE-23FEB-T0.7,greater,,0.7,,0.8% or higher,finalized,2022-12-23 13:39:14,2022-12-23
14,57,0,0,1671802755,0.0,100,43,0,,CPICORE-23FEB-T0.9,greater,,0.9,,1.0% or higher,finalized,2022-12-23 13:39:15,2022-12-23
15,57,43,0,1671802755,0.0,57,43,0,,CPICORE-23FEB-T0.9,greater,,0.9,,1.0% or higher,finalized,2022-12-23 13:39:15,2022-12-23
16,55,43,0,1671802755,0.0,57,45,0,,CPICORE-23FEB-T0.9,greater,,0.9,,1.0% or higher,finalized,2022-12-23 13:39:15,2022-12-23
17,55,47,0,1671802755,0.0,53,45,0,,CPICORE-23FEB-T0.9,greater,,0.9,,1.0% or higher,finalized,2022-12-23 13:39:15,2022-12-23
18,100,45,0,1671802755,0.0,55,0,0,,CPICORE-23FEB-T1.0,greater,,1.0,,1.1% or higher,finalized,2022-12-23 13:39:15,2022-12-23
19,57,0,0,1671802755,0.0,100,43,0,,CPICORE-23FEB-T1.2,greater,,1.2,,1.3% or higher,finalized,2022-12-23 13:39:15,2022-12-23
20,53,47,0,1671802756,0.0,53,47,0,,CPICORE-23FEB-T0.1,greater,,0.1,,0.2% or higher,finalized,2022-12-23 13:39:16,2022-12-23
21,57,45,0,1671802756,0.0,55,43,0,,CPICORE-23FEB-T1.0,greater,,1.0,,1.1% or higher,finalized,2022-12-23 13:39:16,2022-12-23
22,100,45,0,1671802757,0.0,55,0,0,,CPICORE-23FEB-T0.4,greater,,0.4,,0.5% or higher,finalized,2022-12-23 13:39:17,2022-12-23
23,100,43,0,1671802757,0.0,57,0,0,,CPICORE-23FEB-T0.5,greater,,0.5,,0.6% or higher,finalized,2022-12-23 13:39:17,2022-12-23
24,53,43,0,1671802757,0.0,57,47,0,,CPICORE-23FEB-T1.1,greater,,1.1,,1.2% or higher,finalized,2022-12-23 13:39:17,2022-12-23
25,57,43,0,1671802757,0.0,57,43,0,,CPICORE-23FEB-T1.2,greater,,1.2,,1.3% or higher,finalized,2022-12-23 13:39:17,2022-12-23
26,57,47,0,1671802757,0.0,53,43,0,,CPICORE-23FEB-T1.2,greater,,1.2,,1.3% or higher,finalized,2022-12-23 13:39:17,2022-12-23
27,53,47,0,1671802757,0.0,53,47,0,,CPICORE-23FEB-T1.2,greater,,1.2,,1.3% or higher,finalized,2022-12-23 13:39:17,2022-12-23
28,100,43,0,1671802757,0.0,57,0,0,,CPICORE-23FEB-TN0.1,greater,,-0.1,,0.0% or higher,finalized,2022-12-23 13:39:17,2022-12-23
29,53,47,0,1671802759,0.0,53,47,0,,CPICORE-23FEB-T1.1,greater,,1.1,,1.2% or higher,finalized,2022-12-23 13:39:19,2022-12-23
30,100,43,0,1671802760,0.0,57,0,0,,CPICORE-23FEB-T0.3,greater,,0.3,,0.4% or higher,finalized,2022-12-23 13:39:20,2022-12-23
31,100,45,0,1671802760,0.0,55,0,0,,CPICORE-23FEB-T0.3,greater,,0.3,,0.4% or higher,finalized,2022-12-23 13:39:20,2022-12-23
32,55,45,0,1671802760,0.0,55,45,0,,CPICORE-23FEB-T0.3,greater,,0.3,,0.4% or higher,finalized,2022-12-23 13:39:20,2022-12-23
