,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1669317593,0.0,100,1,0,,CPICORE-23JAN-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-24 19:19:53,2022-11-24
1,100,0,0,1669317612,0.0,100,0,0,,CPICORE-23JAN-T0.0,greater,,0.0,,>0.0%,finalized,2022-11-24 19:20:12,2022-11-24
2,99,0,0,1670081865,0.0,100,1,0,,CPICORE-23JAN-T0.0,greater,,0.0,,>0.0%,finalized,2022-12-03 15:37:45,2022-12-03
3,99,0,0,1670081872,0.0,100,1,0,,CPICORE-23JAN-T0.1,greater,,0.1,,>0.1%,finalized,2022-12-03 15:37:52,2022-12-03
4,99,0,0,1670081886,0.0,100,1,0,,CPICORE-23JAN-T0.2,greater,,0.2,,>0.2%,finalized,2022-12-03 15:38:06,2022-12-03
5,99,0,0,1670081898,0.0,100,1,0,,CPICORE-23JAN-T0.3,greater,,0.3,,>0.3%,finalized,2022-12-03 15:38:18,2022-12-03
6,99,1,0,1670081904,0.0,99,1,0,,CPICORE-23JAN-T0.3,greater,,0.3,,>0.3%,finalized,2022-12-03 15:38:24,2022-12-03
7,100,1,0,1670081912,0.0,99,0,0,,CPICORE-23JAN-T0.4,greater,,0.4,,>0.4%,finalized,2022-12-03 15:38:32,2022-12-03
8,99,1,0,1670081920,0.0,99,1,0,,CPICORE-23JAN-T0.2,greater,,0.2,,>0.2%,finalized,2022-12-03 15:38:40,2022-12-03
9,99,1,0,1670383918,0.0,99,1,0,,CPICORE-23JAN-T0.0,greater,,0.0,,>0.0%,finalized,2022-12-07 03:31:58,2022-12-07
10,99,1,0,1670383926,0.0,99,1,0,,CPICORE-23JAN-T0.1,greater,,0.1,,>0.1%,finalized,2022-12-07 03:32:06,2022-12-07
11,90,1,0,1670596928,0.0,99,10,0,,CPICORE-23JAN-T0.0,greater,,0.0,,>0.0%,finalized,2022-12-09 14:42:08,2022-12-09
12,90,1,2,1670597196,2.0,99,10,99,,CPICORE-23JAN-T0.0,greater,,0.0,,>0.0%,finalized,2022-12-09 14:46:36,2022-12-09
13,90,1,2,1670597393,2.0,99,10,1,,CPICORE-23JAN-T0.0,greater,,0.0,,>0.0%,finalized,2022-12-09 14:49:53,2022-12-09
14,99,1,2,1670597517,0.0,99,1,1,,CPICORE-23JAN-T0.0,greater,,0.0,,>0.0%,finalized,2022-12-09 14:51:57,2022-12-09
15,99,1,3,1670597635,1.0,99,1,1,,CPICORE-23JAN-T0.0,greater,,0.0,,>0.0%,finalized,2022-12-09 14:53:55,2022-12-09
16,40,1,3,1670686101,0.0,99,60,1,,CPICORE-23JAN-T0.0,greater,,0.0,,>0.0%,finalized,2022-12-10 15:28:21,2022-12-10
17,60,1,0,1670686109,0.0,99,40,0,,CPICORE-23JAN-T0.1,greater,,0.1,,>0.1%,finalized,2022-12-10 15:28:29,2022-12-10
18,80,1,0,1670686118,0.0,99,20,0,,CPICORE-23JAN-T0.2,greater,,0.2,,>0.2%,finalized,2022-12-10 15:28:38,2022-12-10
19,100,50,0,1670686134,0.0,50,0,0,,CPICORE-23JAN-T0.7,greater,,0.7,,>0.7%,finalized,2022-12-10 15:28:54,2022-12-10
20,100,30,0,1670686144,0.0,70,0,0,,CPICORE-23JAN-T0.6,greater,,0.6,,>0.6%,finalized,2022-12-10 15:29:04,2022-12-10
21,100,10,0,1670686154,0.0,90,0,0,,CPICORE-23JAN-T0.4,greater,,0.4,,>0.4%,finalized,2022-12-10 15:29:14,2022-12-10
22,100,1,0,1670686160,0.0,99,0,0,,CPICORE-23JAN-T0.4,greater,,0.4,,>0.4%,finalized,2022-12-10 15:29:20,2022-12-10
23,100,1,0,1670686267,0.0,99,0,0,,CPICORE-23JAN-T0.5,greater,,0.5,,>0.5%,finalized,2022-12-10 15:31:07,2022-12-10
24,99,1,0,1670686286,0.0,99,1,0,,CPICORE-23JAN-T0.4,greater,,0.4,,>0.4%,finalized,2022-12-10 15:31:26,2022-12-10
25,99,1,0,1670686296,0.0,99,1,0,,CPICORE-23JAN-T0.5,greater,,0.5,,>0.5%,finalized,2022-12-10 15:31:36,2022-12-10
26,98,1,0,1670686352,0.0,99,2,0,,CPICORE-23JAN-T0.3,greater,,0.3,,>0.3%,finalized,2022-12-10 15:32:32,2022-12-10
27,98,2,0,1670686373,0.0,98,2,0,,CPICORE-23JAN-T0.3,greater,,0.3,,>0.3%,finalized,2022-12-10 15:32:53,2022-12-10
28,99,1,0,1670944407,0.0,99,1,0,,CPICORE-23JAN-T0.1,greater,,0.1,,>0.1%,finalized,2022-12-13 15:13:27,2022-12-13
29,99,1,3,1670944415,0.0,99,1,1,,CPICORE-23JAN-T0.0,greater,,0.0,,>0.0%,finalized,2022-12-13 15:13:35,2022-12-13
30,99,1,0,1671042167,0.0,99,1,0,,CPICORE-23JAN-T0.2,greater,,0.2,,>0.2%,finalized,2022-12-14 18:22:47,2022-12-14
31,99,5,3,1671047111,0.0,95,1,1,,CPICORE-23JAN-T0.0,greater,,0.0,,>0.0%,finalized,2022-12-14 19:45:11,2022-12-14
32,99,7,0,1671047136,0.0,93,1,0,,CPICORE-23JAN-T0.1,greater,,0.1,,>0.1%,finalized,2022-12-14 19:45:36,2022-12-14
33,99,10,0,1671047173,0.0,90,1,0,,CPICORE-23JAN-T0.2,greater,,0.2,,>0.2%,finalized,2022-12-14 19:46:13,2022-12-14
34,98,10,0,1671047192,0.0,90,2,0,,CPICORE-23JAN-T0.3,greater,,0.3,,>0.3%,finalized,2022-12-14 19:46:32,2022-12-14
35,99,10,0,1671047205,0.0,90,1,0,,CPICORE-23JAN-T0.4,greater,,0.4,,>0.4%,finalized,2022-12-14 19:46:45,2022-12-14
36,99,10,0,1671047221,0.0,90,1,0,,CPICORE-23JAN-T0.5,greater,,0.5,,>0.5%,finalized,2022-12-14 19:47:01,2022-12-14
