,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,47,0,1671802752,0.0,53,0,0,,CPICORE-23MAR-T0.4,greater,,0.4,,0.5% or higher,finalized,2022-12-23 13:39:12,2022-12-23
1,57,0,0,1671802752,0.0,100,43,0,,CPICORE-23MAR-T0.9,greater,,0.9,,1.0% or higher,finalized,2022-12-23 13:39:12,2022-12-23
2,57,43,0,1671802752,0.0,57,43,0,,CPICORE-23MAR-T0.9,greater,,0.9,,1.0% or higher,finalized,2022-12-23 13:39:12,2022-12-23
3,57,45,0,1671802752,0.0,55,43,0,,CPICORE-23MAR-T0.9,greater,,0.9,,1.0% or higher,finalized,2022-12-23 13:39:12,2022-12-23
4,57,47,0,1671802752,0.0,53,43,0,,CPICORE-23MAR-T0.9,greater,,0.9,,1.0% or higher,finalized,2022-12-23 13:39:12,2022-12-23
5,55,47,0,1671802752,0.0,53,45,0,,CPICORE-23MAR-T0.9,greater,,0.9,,1.0% or higher,finalized,2022-12-23 13:39:12,2022-12-23
6,100,45,0,1671802753,0.0,55,0,0,,CPICORE-23MAR-T0.3,greater,,0.3,,0.4% or higher,finalized,2022-12-23 13:39:13,2022-12-23
7,100,47,0,1671802754,0.0,53,0,0,,CPICORE-23MAR-T0.3,greater,,0.3,,0.4% or higher,finalized,2022-12-23 13:39:14,2022-12-23
8,57,47,0,1671802754,0.0,53,43,0,,CPICORE-23MAR-T0.3,greater,,0.3,,0.4% or higher,finalized,2022-12-23 13:39:14,2022-12-23
9,53,47,0,1671802754,0.0,53,47,0,,CPICORE-23MAR-T0.3,greater,,0.3,,0.4% or higher,finalized,2022-12-23 13:39:14,2022-12-23
10,53,47,0,1671802754,0.0,53,47,0,,CPICORE-23MAR-T0.9,greater,,0.9,,1.0% or higher,finalized,2022-12-23 13:39:14,2022-12-23
11,57,0,0,1671802754,0.0,100,43,0,,CPICORE-23MAR-T1.2,greater,,1.2,,1.3% or higher,finalized,2022-12-23 13:39:14,2022-12-23
12,100,43,0,1671802755,0.0,57,0,0,,CPICORE-23MAR-T1.0,greater,,1.0,,1.1% or higher,finalized,2022-12-23 13:39:15,2022-12-23
13,57,43,0,1671802755,0.0,57,43,0,,CPICORE-23MAR-T1.0,greater,,1.0,,1.1% or higher,finalized,2022-12-23 13:39:15,2022-12-23
14,55,43,0,1671802755,0.0,57,45,0,,CPICORE-23MAR-T1.0,greater,,1.0,,1.1% or higher,finalized,2022-12-23 13:39:15,2022-12-23
15,55,47,0,1671802755,0.0,53,45,0,,CPICORE-23MAR-T1.0,greater,,1.0,,1.1% or higher,finalized,2022-12-23 13:39:15,2022-12-23
16,53,47,0,1671802755,0.0,53,47,0,,CPICORE-23MAR-T1.0,greater,,1.0,,1.1% or higher,finalized,2022-12-23 13:39:15,2022-12-23
17,55,0,0,1671802756,0.0,100,45,0,,CPICORE-23MAR-TN0.1,greater,,-0.1,,0.0% or higher,finalized,2022-12-23 13:39:16,2022-12-23
18,53,0,0,1671802757,0.0,100,47,0,,CPICORE-23MAR-TN0.1,greater,,-0.1,,0.0% or higher,finalized,2022-12-23 13:39:17,2022-12-23
19,53,45,0,1671802757,0.0,55,47,0,,CPICORE-23MAR-TN0.1,greater,,-0.1,,0.0% or higher,finalized,2022-12-23 13:39:17,2022-12-23
20,53,47,0,1671802757,0.0,53,47,0,,CPICORE-23MAR-TN0.1,greater,,-0.1,,0.0% or higher,finalized,2022-12-23 13:39:17,2022-12-23
21,100,43,0,1671802761,0.0,57,0,0,,CPICORE-23MAR-T1.1,greater,,1.1,,1.2% or higher,finalized,2022-12-23 13:39:21,2022-12-23
22,53,0,0,1671802762,0.0,100,47,0,,CPICORE-23MAR-T0.6,greater,,0.6,,0.7% or higher,finalized,2022-12-23 13:39:22,2022-12-23
23,53,47,0,1671802762,0.0,53,47,0,,CPICORE-23MAR-T0.6,greater,,0.6,,0.7% or higher,finalized,2022-12-23 13:39:22,2022-12-23
24,100,45,0,1671802763,0.0,55,0,0,,CPICORE-23MAR-T0.2,greater,,0.2,,0.3% or higher,finalized,2022-12-23 13:39:23,2022-12-23
25,55,0,0,1671802763,0.0,100,45,0,,CPICORE-23MAR-TN0.2,greater,,-0.2,,-0.1% or higher,finalized,2022-12-23 13:39:23,2022-12-23
26,55,43,0,1671802763,0.0,57,45,0,,CPICORE-23MAR-TN0.2,greater,,-0.2,,-0.1% or higher,finalized,2022-12-23 13:39:23,2022-12-23
27,55,47,0,1671802763,0.0,53,45,0,,CPICORE-23MAR-TN0.2,greater,,-0.2,,-0.1% or higher,finalized,2022-12-23 13:39:23,2022-12-23
28,53,47,0,1671802763,0.0,53,47,0,,CPICORE-23MAR-TN0.2,greater,,-0.2,,-0.1% or higher,finalized,2022-12-23 13:39:23,2022-12-23
29,53,45,0,1671802764,0.0,55,47,0,,CPICORE-23MAR-T0.2,greater,,0.2,,0.3% or higher,finalized,2022-12-23 13:39:24,2022-12-23
30,53,47,0,1671802764,0.0,53,47,0,,CPICORE-23MAR-T0.2,greater,,0.2,,0.3% or higher,finalized,2022-12-23 13:39:24,2022-12-23
31,100,43,0,1671802765,0.0,57,0,0,,CPICORE-23MAR-T0.7,greater,,0.7,,0.8% or higher,finalized,2022-12-23 13:39:25,2022-12-23
32,53,47,0,1671802766,0.0,53,47,0,,CPICORE-23MAR-T0.4,greater,,0.4,,0.5% or higher,finalized,2022-12-23 13:39:26,2022-12-23
33,57,43,0,1671802769,0.0,57,43,0,,CPICORE-23MAR-T1.2,greater,,1.2,,1.3% or higher,finalized,2022-12-23 13:39:29,2022-12-23
34,55,43,0,1671802770,0.0,57,45,0,,CPICORE-23MAR-T0.7,greater,,0.7,,0.8% or higher,finalized,2022-12-23 13:39:30,2022-12-23
35,55,45,0,1671802770,0.0,55,45,0,,CPICORE-23MAR-T0.7,greater,,0.7,,0.8% or higher,finalized,2022-12-23 13:39:30,2022-12-23
36,53,45,0,1671802770,0.0,55,47,0,,CPICORE-23MAR-T0.7,greater,,0.7,,0.8% or higher,finalized,2022-12-23 13:39:30,2022-12-23
37,53,47,0,1671802770,0.0,53,47,0,,CPICORE-23MAR-T0.7,greater,,0.7,,0.8% or higher,finalized,2022-12-23 13:39:30,2022-12-23
38,57,0,0,1671802771,0.0,100,43,0,,CPICORE-23MAR-T0.0,greater,,0.0,,0.1% or higher,finalized,2022-12-23 13:39:31,2022-12-23
39,55,0,0,1671802771,0.0,100,45,0,,CPICORE-23MAR-T0.0,greater,,0.0,,0.1% or higher,finalized,2022-12-23 13:39:31,2022-12-23
40,53,45,0,1671802771,0.0,55,47,0,,CPICORE-23MAR-T0.0,greater,,0.0,,0.1% or higher,finalized,2022-12-23 13:39:31,2022-12-23
41,53,47,0,1671802772,0.0,53,47,0,,CPICORE-23MAR-T0.0,greater,,0.0,,0.1% or higher,finalized,2022-12-23 13:39:32,2022-12-23
42,53,43,0,1671802774,0.0,57,47,0,,CPICORE-23MAR-T1.1,greater,,1.1,,1.2% or higher,finalized,2022-12-23 13:39:34,2022-12-23
43,57,0,0,1671802775,0.0,100,43,0,,CPICORE-23MAR-T0.8,greater,,0.8,,0.9% or higher,finalized,2022-12-23 13:39:35,2022-12-23
44,57,45,0,1671802775,0.0,55,43,0,,CPICORE-23MAR-T0.8,greater,,0.8,,0.9% or higher,finalized,2022-12-23 13:39:35,2022-12-23
45,57,47,0,1671802775,0.0,53,43,0,,CPICORE-23MAR-T0.8,greater,,0.8,,0.9% or higher,finalized,2022-12-23 13:39:35,2022-12-23
46,53,47,0,1671802775,0.0,53,47,0,,CPICORE-23MAR-T0.8,greater,,0.8,,0.9% or higher,finalized,2022-12-23 13:39:35,2022-12-23
47,53,0,0,1671802778,0.0,100,47,0,,CPICORE-23MAR-T0.5,greater,,0.5,,0.6% or higher,finalized,2022-12-23 13:39:38,2022-12-23
48,53,47,0,1671802778,0.0,53,47,0,,CPICORE-23MAR-T1.1,greater,,1.1,,1.2% or higher,finalized,2022-12-23 13:39:38,2022-12-23
49,53,43,0,1671802780,0.0,57,47,0,,CPICORE-23MAR-T1.2,greater,,1.2,,1.3% or higher,finalized,2022-12-23 13:39:40,2022-12-23
50,57,0,0,1671802783,0.0,100,43,0,,CPICORE-23MAR-T0.1,greater,,0.1,,0.2% or higher,finalized,2022-12-23 13:39:43,2022-12-23
51,57,43,0,1671802783,0.0,57,43,0,,CPICORE-23MAR-T0.1,greater,,0.1,,0.2% or higher,finalized,2022-12-23 13:39:43,2022-12-23
52,57,45,0,1671802783,0.0,55,43,0,,CPICORE-23MAR-T0.1,greater,,0.1,,0.2% or higher,finalized,2022-12-23 13:39:43,2022-12-23
53,55,45,0,1671802783,0.0,55,45,0,,CPICORE-23MAR-T0.1,greater,,0.1,,0.2% or higher,finalized,2022-12-23 13:39:43,2022-12-23
54,53,45,0,1671802783,0.0,55,47,0,,CPICORE-23MAR-T0.1,greater,,0.1,,0.2% or higher,finalized,2022-12-23 13:39:43,2022-12-23
55,53,43,0,1671802783,0.0,57,47,0,,CPICORE-23MAR-T0.5,greater,,0.5,,0.6% or higher,finalized,2022-12-23 13:39:43,2022-12-23
