,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,95,0,0,1671669902,0.0,100,5,0,,CPICOREYOY-22DEC-T5.0,greater,,5.0,,5.1% or higher,finalized,2022-12-22 00:45:02,2022-12-22
1,100,5,0,1671669919,0.0,95,0,0,,CPICOREYOY-22DEC-T6.4,greater,,6.4,,6.5% or higher,finalized,2022-12-22 00:45:19,2022-12-22
2,100,47,0,1671802750,0.0,53,0,0,,CPICOREYOY-22DEC-T5.7,greater,,5.7,,5.8% or higher,finalized,2022-12-23 13:39:10,2022-12-23
3,57,47,0,1671802750,0.0,53,43,0,,CPICOREYOY-22DEC-T5.7,greater,,5.7,,5.8% or higher,finalized,2022-12-23 13:39:10,2022-12-23
4,53,0,0,1671802751,0.0,100,47,0,,CPICOREYOY-22DEC-T5.2,greater,,5.2,,5.3% or higher,finalized,2022-12-23 13:39:11,2022-12-23
5,53,47,0,1671802751,0.0,53,47,0,,CPICOREYOY-22DEC-T5.7,greater,,5.7,,5.8% or higher,finalized,2022-12-23 13:39:11,2022-12-23
6,100,45,0,1671802751,0.0,55,0,0,,CPICOREYOY-22DEC-T6.3,greater,,6.3,,6.4% or higher,finalized,2022-12-23 13:39:11,2022-12-23
7,53,45,0,1671802752,0.0,55,47,0,,CPICOREYOY-22DEC-T5.2,greater,,5.2,,5.3% or higher,finalized,2022-12-23 13:39:12,2022-12-23
8,53,0,0,1671802752,0.0,100,47,0,,CPICOREYOY-22DEC-T5.8,greater,,5.8,,5.9% or higher,finalized,2022-12-23 13:39:12,2022-12-23
9,55,45,0,1671802752,0.0,55,45,0,,CPICOREYOY-22DEC-T6.3,greater,,6.3,,6.4% or higher,finalized,2022-12-23 13:39:12,2022-12-23
10,53,45,0,1671802752,0.0,55,47,0,,CPICOREYOY-22DEC-T6.3,greater,,6.3,,6.4% or higher,finalized,2022-12-23 13:39:12,2022-12-23
11,53,47,0,1671802752,0.0,53,47,0,,CPICOREYOY-22DEC-T6.3,greater,,6.3,,6.4% or higher,finalized,2022-12-23 13:39:12,2022-12-23
12,100,45,0,1671802755,0.0,55,0,0,,CPICOREYOY-22DEC-T5.4,greater,,5.4,,5.5% or higher,finalized,2022-12-23 13:39:15,2022-12-23
13,55,5,0,1671802757,0.0,95,45,0,,CPICOREYOY-22DEC-T6.4,greater,,6.4,,6.5% or higher,finalized,2022-12-23 13:39:17,2022-12-23
14,100,47,0,1671802758,0.0,53,0,0,,CPICOREYOY-22DEC-T5.9,greater,,5.9,,6.0% or higher,finalized,2022-12-23 13:39:18,2022-12-23
15,55,47,0,1671802758,0.0,53,45,0,,CPICOREYOY-22DEC-T5.9,greater,,5.9,,6.0% or higher,finalized,2022-12-23 13:39:18,2022-12-23
16,100,45,0,1671802758,0.0,55,0,0,,CPICOREYOY-22DEC-T6.1,greater,,6.1,,6.2% or higher,finalized,2022-12-23 13:39:18,2022-12-23
17,55,45,0,1671802758,0.0,55,45,0,,CPICOREYOY-22DEC-T6.4,greater,,6.4,,6.5% or higher,finalized,2022-12-23 13:39:18,2022-12-23
18,55,47,0,1671802758,0.0,53,45,0,,CPICOREYOY-22DEC-T6.4,greater,,6.4,,6.5% or higher,finalized,2022-12-23 13:39:18,2022-12-23
19,53,47,0,1671802758,0.0,53,47,0,,CPICOREYOY-22DEC-T6.4,greater,,6.4,,6.5% or higher,finalized,2022-12-23 13:39:18,2022-12-23
20,57,0,0,1671802761,0.0,100,43,0,,CPICOREYOY-22DEC-T5.3,greater,,5.3,,5.4% or higher,finalized,2022-12-23 13:39:21,2022-12-23
21,57,43,0,1671802761,0.0,57,43,0,,CPICOREYOY-22DEC-T5.3,greater,,5.3,,5.4% or higher,finalized,2022-12-23 13:39:21,2022-12-23
22,53,43,0,1671802761,0.0,57,47,0,,CPICOREYOY-22DEC-T5.3,greater,,5.3,,5.4% or higher,finalized,2022-12-23 13:39:21,2022-12-23
23,53,45,0,1671802761,0.0,55,47,0,,CPICOREYOY-22DEC-T5.3,greater,,5.3,,5.4% or higher,finalized,2022-12-23 13:39:21,2022-12-23
24,53,47,0,1671802761,0.0,53,47,0,,CPICOREYOY-22DEC-T5.3,greater,,5.3,,5.4% or higher,finalized,2022-12-23 13:39:21,2022-12-23
25,53,47,0,1671802761,0.0,53,47,0,,CPICOREYOY-22DEC-T5.8,greater,,5.8,,5.9% or higher,finalized,2022-12-23 13:39:21,2022-12-23
26,100,47,0,1671802763,0.0,53,0,0,,CPICOREYOY-22DEC-T5.6,greater,,5.6,,5.7% or higher,finalized,2022-12-23 13:39:23,2022-12-23
27,100,47,0,1671802765,0.0,53,0,0,,CPICOREYOY-22DEC-T5.1,greater,,5.1,,5.2% or higher,finalized,2022-12-23 13:39:25,2022-12-23
28,57,47,0,1671802767,0.0,53,43,0,,CPICOREYOY-22DEC-T5.1,greater,,5.1,,5.2% or higher,finalized,2022-12-23 13:39:27,2022-12-23
29,53,47,0,1671802767,0.0,53,47,0,,CPICOREYOY-22DEC-T5.1,greater,,5.1,,5.2% or higher,finalized,2022-12-23 13:39:27,2022-12-23
30,57,0,0,1671802768,0.0,100,43,0,,CPICOREYOY-22DEC-T6.0,greater,,6.0,,6.1% or higher,finalized,2022-12-23 13:39:28,2022-12-23
31,57,43,0,1671802768,0.0,57,43,0,,CPICOREYOY-22DEC-T6.0,greater,,6.0,,6.1% or higher,finalized,2022-12-23 13:39:28,2022-12-23
32,53,47,0,1671802769,0.0,53,47,0,,CPICOREYOY-22DEC-T5.2,greater,,5.2,,5.3% or higher,finalized,2022-12-23 13:39:29,2022-12-23
33,53,45,0,1671802769,0.0,55,47,0,,CPICOREYOY-22DEC-T5.4,greater,,5.4,,5.5% or higher,finalized,2022-12-23 13:39:29,2022-12-23
34,53,47,0,1671802770,0.0,53,47,0,,CPICOREYOY-22DEC-T5.6,greater,,5.6,,5.7% or higher,finalized,2022-12-23 13:39:30,2022-12-23
35,57,47,0,1671802773,0.0,53,43,0,,CPICOREYOY-22DEC-T6.0,greater,,6.0,,6.1% or higher,finalized,2022-12-23 13:39:33,2022-12-23
36,95,43,0,1671802774,0.0,57,5,0,,CPICOREYOY-22DEC-T5.0,greater,,5.0,,5.1% or higher,finalized,2022-12-23 13:39:34,2022-12-23
37,53,43,0,1671802775,0.0,57,47,0,,CPICOREYOY-22DEC-T5.0,greater,,5.0,,5.1% or higher,finalized,2022-12-23 13:39:35,2022-12-23
38,53,45,0,1671802776,0.0,55,47,0,,CPICOREYOY-22DEC-T5.0,greater,,5.0,,5.1% or higher,finalized,2022-12-23 13:39:36,2022-12-23
39,53,47,0,1671802776,0.0,53,47,0,,CPICOREYOY-22DEC-T5.9,greater,,5.9,,6.0% or higher,finalized,2022-12-23 13:39:36,2022-12-23
40,55,0,0,1671802778,0.0,100,45,0,,CPICOREYOY-22DEC-T5.5,greater,,5.5,,5.6% or higher,finalized,2022-12-23 13:39:38,2022-12-23
41,53,47,0,1671802779,0.0,53,47,0,,CPICOREYOY-22DEC-T5.0,greater,,5.0,,5.1% or higher,finalized,2022-12-23 13:39:39,2022-12-23
42,55,43,0,1671802779,0.0,57,45,0,,CPICOREYOY-22DEC-T5.5,greater,,5.5,,5.6% or higher,finalized,2022-12-23 13:39:39,2022-12-23
43,53,47,0,1671802780,0.0,53,47,0,,CPICOREYOY-22DEC-T5.4,greater,,5.4,,5.5% or higher,finalized,2022-12-23 13:39:40,2022-12-23
44,53,43,0,1671802782,0.0,57,47,0,,CPICOREYOY-22DEC-T5.5,greater,,5.5,,5.6% or higher,finalized,2022-12-23 13:39:42,2022-12-23
45,53,47,0,1671802782,0.0,53,47,0,,CPICOREYOY-22DEC-T5.5,greater,,5.5,,5.6% or higher,finalized,2022-12-23 13:39:42,2022-12-23
46,53,45,0,1671802783,0.0,55,47,0,,CPICOREYOY-22DEC-T6.1,greater,,6.1,,6.2% or higher,finalized,2022-12-23 13:39:43,2022-12-23
47,57,0,0,1671802789,0.0,100,43,0,,CPICOREYOY-22DEC-T6.2,greater,,6.2,,6.3% or higher,finalized,2022-12-23 13:39:49,2022-12-23
48,57,45,0,1671802789,0.0,55,43,0,,CPICOREYOY-22DEC-T6.2,greater,,6.2,,6.3% or higher,finalized,2022-12-23 13:39:49,2022-12-23
49,55,45,0,1671802789,0.0,55,45,0,,CPICOREYOY-22DEC-T6.2,greater,,6.2,,6.3% or higher,finalized,2022-12-23 13:39:49,2022-12-23
50,55,47,0,1671802789,0.0,53,45,0,,CPICOREYOY-22DEC-T6.2,greater,,6.2,,6.3% or higher,finalized,2022-12-23 13:39:49,2022-12-23
51,53,47,0,1671802789,0.0,53,47,0,,CPICOREYOY-22DEC-T6.2,greater,,6.2,,6.3% or higher,finalized,2022-12-23 13:39:49,2022-12-23
52,55,47,0,1671802790,0.0,53,45,0,,CPICOREYOY-22DEC-T6.0,greater,,6.0,,6.1% or higher,finalized,2022-12-23 13:39:50,2022-12-23
