,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,47,0,1671802750,0.0,53,0,0,,CPICOREYOY-23AUG-T2.9,greater,,2.9,,3.0% or higher,active,2022-12-23 13:39:10,2022-12-23
1,100,43,0,1671802751,0.0,57,0,0,,CPICOREYOY-23AUG-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-23 13:39:11,2022-12-23
2,55,43,0,1671802751,0.0,57,45,0,,CPICOREYOY-23AUG-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-23 13:39:11,2022-12-23
3,53,43,0,1671802751,0.0,57,47,0,,CPICOREYOY-23AUG-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-23 13:39:11,2022-12-23
4,55,47,0,1671802752,0.0,53,45,0,,CPICOREYOY-23AUG-T2.9,greater,,2.9,,3.0% or higher,active,2022-12-23 13:39:12,2022-12-23
5,53,0,0,1671802752,0.0,100,47,0,,CPICOREYOY-23AUG-T3.3,greater,,3.3,,3.4% or higher,active,2022-12-23 13:39:12,2022-12-23
6,57,0,0,1671802752,0.0,100,43,0,,CPICOREYOY-23AUG-T4.0,greater,,4.0,,4.1% or higher,active,2022-12-23 13:39:12,2022-12-23
7,53,47,0,1671802753,0.0,53,47,0,,CPICOREYOY-23AUG-T2.9,greater,,2.9,,3.0% or higher,active,2022-12-23 13:39:13,2022-12-23
8,100,47,0,1671802753,0.0,53,0,0,,CPICOREYOY-23AUG-T3.6,greater,,3.6,,3.7% or higher,active,2022-12-23 13:39:13,2022-12-23
9,53,45,0,1671802753,0.0,55,47,0,,CPICOREYOY-23AUG-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-23 13:39:13,2022-12-23
10,53,47,0,1671802755,0.0,53,47,0,,CPICOREYOY-23AUG-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-23 13:39:15,2022-12-23
11,55,0,0,1671802756,0.0,100,45,0,,CPICOREYOY-23AUG-T3.5,greater,,3.5,,3.6% or higher,active,2022-12-23 13:39:16,2022-12-23
12,55,45,0,1671802756,0.0,55,45,0,,CPICOREYOY-23AUG-T3.5,greater,,3.5,,3.6% or higher,active,2022-12-23 13:39:16,2022-12-23
13,53,45,0,1671802756,0.0,55,47,0,,CPICOREYOY-23AUG-T3.5,greater,,3.5,,3.6% or higher,active,2022-12-23 13:39:16,2022-12-23
14,53,47,0,1671802756,0.0,53,47,0,,CPICOREYOY-23AUG-T3.5,greater,,3.5,,3.6% or higher,active,2022-12-23 13:39:16,2022-12-23
15,57,45,0,1671802756,0.0,55,43,0,,CPICOREYOY-23AUG-T4.0,greater,,4.0,,4.1% or higher,active,2022-12-23 13:39:16,2022-12-23
16,57,0,0,1671802760,0.0,100,43,0,,CPICOREYOY-23AUG-T3.0,greater,,3.0,,3.1% or higher,active,2022-12-23 13:39:20,2022-12-23
17,53,0,0,1671802760,0.0,100,47,0,,CPICOREYOY-23AUG-T3.9,greater,,3.9,,4.0% or higher,active,2022-12-23 13:39:20,2022-12-23
18,100,45,0,1671802762,0.0,55,0,0,,CPICOREYOY-23AUG-T2.7,greater,,2.7,,2.8% or higher,active,2022-12-23 13:39:22,2022-12-23
19,100,43,0,1671802762,0.0,57,0,0,,CPICOREYOY-23AUG-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-23 13:39:22,2022-12-23
20,55,45,0,1671802763,0.0,55,45,0,,CPICOREYOY-23AUG-T2.7,greater,,2.7,,2.8% or higher,active,2022-12-23 13:39:23,2022-12-23
21,53,45,0,1671802763,0.0,55,47,0,,CPICOREYOY-23AUG-T2.7,greater,,2.7,,2.8% or higher,active,2022-12-23 13:39:23,2022-12-23
22,100,47,0,1671802763,0.0,53,0,0,,CPICOREYOY-23AUG-T2.8,greater,,2.8,,2.9% or higher,active,2022-12-23 13:39:23,2022-12-23
23,55,0,0,1671802763,0.0,100,45,0,,CPICOREYOY-23AUG-T3.2,greater,,3.2,,3.3% or higher,active,2022-12-23 13:39:23,2022-12-23
24,53,47,0,1671802764,0.0,53,47,0,,CPICOREYOY-23AUG-T2.7,greater,,2.7,,2.8% or higher,active,2022-12-23 13:39:24,2022-12-23
25,100,47,0,1671802764,0.0,53,0,0,,CPICOREYOY-23AUG-T3.1,greater,,3.1,,3.2% or higher,active,2022-12-23 13:39:24,2022-12-23
26,55,47,0,1671802764,0.0,53,45,0,,CPICOREYOY-23AUG-T3.6,greater,,3.6,,3.7% or higher,active,2022-12-23 13:39:24,2022-12-23
27,53,47,0,1671802764,0.0,53,47,0,,CPICOREYOY-23AUG-T3.6,greater,,3.6,,3.7% or higher,active,2022-12-23 13:39:24,2022-12-23
28,57,0,0,1671802764,0.0,100,43,0,,CPICOREYOY-23AUG-T3.8,greater,,3.8,,3.9% or higher,active,2022-12-23 13:39:24,2022-12-23
29,53,43,0,1671802764,0.0,57,47,0,,CPICOREYOY-23AUG-T3.9,greater,,3.9,,4.0% or higher,active,2022-12-23 13:39:24,2022-12-23
30,57,43,0,1671802765,0.0,57,43,0,,CPICOREYOY-23AUG-T3.0,greater,,3.0,,3.1% or higher,active,2022-12-23 13:39:25,2022-12-23
31,53,47,0,1671802765,0.0,53,47,0,,CPICOREYOY-23AUG-T3.9,greater,,3.9,,4.0% or higher,active,2022-12-23 13:39:25,2022-12-23
32,55,47,0,1671802770,0.0,53,45,0,,CPICOREYOY-23AUG-T3.2,greater,,3.2,,3.3% or higher,active,2022-12-23 13:39:30,2022-12-23
33,53,47,0,1671802770,0.0,53,47,0,,CPICOREYOY-23AUG-T3.2,greater,,3.2,,3.3% or higher,active,2022-12-23 13:39:30,2022-12-23
34,57,43,0,1671802771,0.0,57,43,0,,CPICOREYOY-23AUG-T3.8,greater,,3.8,,3.9% or higher,active,2022-12-23 13:39:31,2022-12-23
35,53,47,0,1671802773,0.0,53,47,0,,CPICOREYOY-23AUG-T2.8,greater,,2.8,,2.9% or higher,active,2022-12-23 13:39:33,2022-12-23
36,53,43,0,1671802778,0.0,57,47,0,,CPICOREYOY-23AUG-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-23 13:39:38,2022-12-23
37,53,43,0,1671802779,0.0,57,47,0,,CPICOREYOY-23AUG-T3.0,greater,,3.0,,3.1% or higher,active,2022-12-23 13:39:39,2022-12-23
38,53,47,0,1671802781,0.0,53,47,0,,CPICOREYOY-23AUG-T3.1,greater,,3.1,,3.2% or higher,active,2022-12-23 13:39:41,2022-12-23
39,53,45,0,1671802781,0.0,55,47,0,,CPICOREYOY-23AUG-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-23 13:39:41,2022-12-23
40,55,45,0,1671802781,0.0,55,45,0,,CPICOREYOY-23AUG-T4.0,greater,,4.0,,4.1% or higher,active,2022-12-23 13:39:41,2022-12-23
41,100,43,0,1671802782,0.0,57,0,0,,CPICOREYOY-23AUG-T4.1,greater,,4.099999,,4.2% or higher,active,2022-12-23 13:39:42,2022-12-23
42,53,45,0,1671802783,0.0,55,47,0,,CPICOREYOY-23AUG-T3.0,greater,,3.0,,3.1% or higher,active,2022-12-23 13:39:43,2022-12-23
43,53,47,0,1671802783,0.0,53,47,0,,CPICOREYOY-23AUG-T3.0,greater,,3.0,,3.1% or higher,active,2022-12-23 13:39:43,2022-12-23
44,53,47,0,1671802785,0.0,53,47,0,,CPICOREYOY-23AUG-T3.3,greater,,3.3,,3.4% or higher,active,2022-12-23 13:39:45,2022-12-23
45,100,47,0,1671802785,0.0,53,0,0,,CPICOREYOY-23AUG-T4.1,greater,,4.099999,,4.2% or higher,active,2022-12-23 13:39:45,2022-12-23
46,55,43,0,1671802786,0.0,57,45,0,,CPICOREYOY-23AUG-T3.8,greater,,3.8,,3.9% or higher,active,2022-12-23 13:39:46,2022-12-23
47,55,47,0,1671802786,0.0,53,45,0,,CPICOREYOY-23AUG-T3.8,greater,,3.8,,3.9% or higher,active,2022-12-23 13:39:46,2022-12-23
48,53,47,0,1671802786,0.0,53,47,0,,CPICOREYOY-23AUG-T3.8,greater,,3.8,,3.9% or higher,active,2022-12-23 13:39:46,2022-12-23
49,57,47,0,1671802786,0.0,53,43,0,,CPICOREYOY-23AUG-T4.1,greater,,4.099999,,4.2% or higher,active,2022-12-23 13:39:46,2022-12-23
50,53,47,0,1671802789,0.0,53,47,0,,CPICOREYOY-23AUG-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-23 13:39:49,2022-12-23
51,55,47,0,1671802789,0.0,53,45,0,,CPICOREYOY-23AUG-T4.0,greater,,4.0,,4.1% or higher,active,2022-12-23 13:39:49,2022-12-23
52,53,47,0,1671802789,0.0,53,47,0,,CPICOREYOY-23AUG-T4.0,greater,,4.0,,4.1% or higher,active,2022-12-23 13:39:49,2022-12-23
53,53,47,0,1671802791,0.0,53,47,0,,CPICOREYOY-23AUG-T4.1,greater,,4.099999,,4.2% or higher,active,2022-12-23 13:39:51,2022-12-23
54,53,45,0,1671973713,0.0,55,47,0,,CPICOREYOY-23AUG-T3.3,greater,,3.3,,3.4% or higher,active,2022-12-25 13:08:33,2022-12-25
55,55,47,0,1671973718,0.0,53,45,0,,CPICOREYOY-23AUG-T3.5,greater,,3.5,,3.6% or higher,active,2022-12-25 13:08:38,2022-12-25
56,55,47,0,1671973722,0.0,53,45,0,,CPICOREYOY-23AUG-T2.9,greater,,2.9,,3.0% or higher,active,2022-12-25 13:08:42,2022-12-25
57,55,45,0,1671973722,0.0,55,45,0,,CPICOREYOY-23AUG-T2.9,greater,,2.9,,3.0% or higher,active,2022-12-25 13:08:42,2022-12-25
58,55,43,0,1671973722,0.0,57,45,0,,CPICOREYOY-23AUG-T2.9,greater,,2.9,,3.0% or higher,active,2022-12-25 13:08:42,2022-12-25
59,100,43,0,1671973723,0.0,57,0,0,,CPICOREYOY-23AUG-T2.9,greater,,2.9,,3.0% or higher,active,2022-12-25 13:08:43,2022-12-25
60,100,0,0,1671973724,0.0,100,0,0,,CPICOREYOY-23AUG-T2.9,greater,,2.9,,3.0% or higher,active,2022-12-25 13:08:44,2022-12-25
61,55,47,0,1671973724,0.0,53,45,0,,CPICOREYOY-23AUG-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-25 13:08:44,2022-12-25
62,100,47,0,1671973725,0.0,53,0,0,,CPICOREYOY-23AUG-T2.7,greater,,2.7,,2.8% or higher,active,2022-12-25 13:08:45,2022-12-25
63,57,47,0,1671973725,0.0,53,43,0,,CPICOREYOY-23AUG-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-25 13:08:45,2022-12-25
64,100,47,0,1671973725,0.0,53,0,0,,CPICOREYOY-23AUG-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-25 13:08:45,2022-12-25
65,100,0,0,1671973725,0.0,100,0,0,,CPICOREYOY-23AUG-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-25 13:08:45,2022-12-25
66,100,0,0,1671973726,0.0,100,0,0,,CPICOREYOY-23AUG-T2.7,greater,,2.7,,2.8% or higher,active,2022-12-25 13:08:46,2022-12-25
67,53,43,0,1671973728,0.0,57,47,0,,CPICOREYOY-23AUG-T3.3,greater,,3.3,,3.4% or higher,active,2022-12-25 13:08:48,2022-12-25
68,100,47,0,1671973730,0.0,53,0,0,,CPICOREYOY-23AUG-T3.6,greater,,3.6,,3.7% or higher,active,2022-12-25 13:08:50,2022-12-25
69,100,0,0,1671973730,0.0,100,0,0,,CPICOREYOY-23AUG-T3.6,greater,,3.6,,3.7% or higher,active,2022-12-25 13:08:50,2022-12-25
70,53,45,0,1671973730,0.0,55,47,0,,CPICOREYOY-23AUG-T3.9,greater,,3.9,,4.0% or higher,active,2022-12-25 13:08:50,2022-12-25
71,55,47,0,1671973730,0.0,53,45,0,,CPICOREYOY-23AUG-T4.1,greater,,4.099999,,4.2% or higher,active,2022-12-25 13:08:50,2022-12-25
72,55,45,0,1671973735,0.0,55,45,0,,CPICOREYOY-23AUG-T3.9,greater,,3.9,,4.0% or higher,active,2022-12-25 13:08:55,2022-12-25
73,100,47,0,1671973739,0.0,53,0,0,,CPICOREYOY-23AUG-T3.2,greater,,3.2,,3.3% or higher,active,2022-12-25 13:08:59,2022-12-25
74,100,0,0,1671973739,0.0,100,0,0,,CPICOREYOY-23AUG-T3.2,greater,,3.2,,3.3% or higher,active,2022-12-25 13:08:59,2022-12-25
75,53,0,0,1671973739,0.0,100,47,0,,CPICOREYOY-23AUG-T3.3,greater,,3.3,,3.4% or higher,active,2022-12-25 13:08:59,2022-12-25
76,55,0,0,1671973739,0.0,100,45,0,,CPICOREYOY-23AUG-T3.9,greater,,3.9,,4.0% or higher,active,2022-12-25 13:08:59,2022-12-25
77,100,0,0,1671973739,0.0,100,0,0,,CPICOREYOY-23AUG-T3.9,greater,,3.9,,4.0% or higher,active,2022-12-25 13:08:59,2022-12-25
78,53,0,0,1671973742,0.0,100,47,0,,CPICOREYOY-23AUG-T3.8,greater,,3.8,,3.9% or higher,active,2022-12-25 13:09:02,2022-12-25
79,55,47,0,1671973742,0.0,53,45,0,,CPICOREYOY-23AUG-T4.0,greater,,4.0,,4.1% or higher,active,2022-12-25 13:09:02,2022-12-25
80,100,0,0,1671973743,0.0,100,0,0,,CPICOREYOY-23AUG-T3.3,greater,,3.3,,3.4% or higher,active,2022-12-25 13:09:03,2022-12-25
81,55,0,0,1671973743,0.0,100,45,0,,CPICOREYOY-23AUG-T3.8,greater,,3.8,,3.9% or higher,active,2022-12-25 13:09:03,2022-12-25
82,100,0,0,1671973743,0.0,100,0,0,,CPICOREYOY-23AUG-T3.8,greater,,3.8,,3.9% or higher,active,2022-12-25 13:09:03,2022-12-25
83,100,47,0,1671973744,0.0,53,0,0,,CPICOREYOY-23AUG-T2.8,greater,,2.8,,2.9% or higher,active,2022-12-25 13:09:04,2022-12-25
84,100,0,0,1671973744,0.0,100,0,0,,CPICOREYOY-23AUG-T2.8,greater,,2.8,,2.9% or higher,active,2022-12-25 13:09:04,2022-12-25
85,57,47,0,1671973744,0.0,53,43,0,,CPICOREYOY-23AUG-T3.5,greater,,3.5,,3.6% or higher,active,2022-12-25 13:09:04,2022-12-25
86,55,45,0,1671973745,0.0,55,45,0,,CPICOREYOY-23AUG-T4.0,greater,,4.0,,4.1% or higher,active,2022-12-25 13:09:05,2022-12-25
87,57,45,0,1671973746,0.0,55,43,0,,CPICOREYOY-23AUG-T3.5,greater,,3.5,,3.6% or higher,active,2022-12-25 13:09:06,2022-12-25
88,53,45,0,1671973747,0.0,55,47,0,,CPICOREYOY-23AUG-T3.1,greater,,3.1,,3.2% or higher,active,2022-12-25 13:09:07,2022-12-25
89,55,45,0,1671973747,0.0,55,45,0,,CPICOREYOY-23AUG-T3.1,greater,,3.1,,3.2% or higher,active,2022-12-25 13:09:07,2022-12-25
90,53,0,0,1671973748,0.0,100,47,0,,CPICOREYOY-23AUG-T3.0,greater,,3.0,,3.1% or higher,active,2022-12-25 13:09:08,2022-12-25
91,55,45,0,1671973748,0.0,55,45,0,,CPICOREYOY-23AUG-T4.1,greater,,4.099999,,4.2% or higher,active,2022-12-25 13:09:08,2022-12-25
92,100,45,0,1671973749,0.0,55,0,0,,CPICOREYOY-23AUG-T4.0,greater,,4.0,,4.1% or higher,active,2022-12-25 13:09:09,2022-12-25
93,100,0,0,1671973749,0.0,100,0,0,,CPICOREYOY-23AUG-T4.0,greater,,4.0,,4.1% or higher,active,2022-12-25 13:09:09,2022-12-25
94,55,0,0,1671973751,0.0,100,45,0,,CPICOREYOY-23AUG-T3.1,greater,,3.1,,3.2% or higher,active,2022-12-25 13:09:11,2022-12-25
95,53,0,0,1671973751,0.0,100,47,0,,CPICOREYOY-23AUG-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-25 13:09:11,2022-12-25
96,57,45,0,1671973751,0.0,55,43,0,,CPICOREYOY-23AUG-T4.1,greater,,4.099999,,4.2% or higher,active,2022-12-25 13:09:11,2022-12-25
97,55,0,0,1671973752,0.0,100,45,0,,CPICOREYOY-23AUG-T3.0,greater,,3.0,,3.1% or higher,active,2022-12-25 13:09:12,2022-12-25
98,100,0,0,1671973752,0.0,100,0,0,,CPICOREYOY-23AUG-T3.0,greater,,3.0,,3.1% or higher,active,2022-12-25 13:09:12,2022-12-25
