,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,57,0,0,1671802750,0.0,100,43,0,,CPICOREYOY-23FEB-T4.4,greater,,4.4,,4.5% or higher,finalized,2022-12-23 13:39:10,2022-12-23
1,100,43,0,1671802750,0.0,57,0,0,,CPICOREYOY-23FEB-T5.2,greater,,5.2,,5.3% or higher,finalized,2022-12-23 13:39:10,2022-12-23
2,57,43,0,1671802750,0.0,57,43,0,,CPICOREYOY-23FEB-T5.2,greater,,5.2,,5.3% or higher,finalized,2022-12-23 13:39:10,2022-12-23
3,57,45,0,1671802753,0.0,55,43,0,,CPICOREYOY-23FEB-T5.2,greater,,5.2,,5.3% or higher,finalized,2022-12-23 13:39:13,2022-12-23
4,53,0,0,1671802754,0.0,100,47,0,,CPICOREYOY-23FEB-T4.2,greater,,4.2,,4.3% or higher,finalized,2022-12-23 13:39:14,2022-12-23
5,57,47,0,1671802754,0.0,53,43,0,,CPICOREYOY-23FEB-T5.2,greater,,5.2,,5.3% or higher,finalized,2022-12-23 13:39:14,2022-12-23
6,53,47,0,1671802754,0.0,53,47,0,,CPICOREYOY-23FEB-T5.2,greater,,5.2,,5.3% or higher,finalized,2022-12-23 13:39:14,2022-12-23
7,100,45,0,1671802755,0.0,55,0,0,,CPICOREYOY-23FEB-T4.6,greater,,4.6,,4.7% or higher,finalized,2022-12-23 13:39:15,2022-12-23
8,100,47,0,1671802755,0.0,53,0,0,,CPICOREYOY-23FEB-T4.6,greater,,4.6,,4.7% or higher,finalized,2022-12-23 13:39:15,2022-12-23
9,55,47,0,1671802755,0.0,53,45,0,,CPICOREYOY-23FEB-T4.6,greater,,4.6,,4.7% or higher,finalized,2022-12-23 13:39:15,2022-12-23
10,53,0,0,1671802755,0.0,100,47,0,,CPICOREYOY-23FEB-T5.3,greater,,5.3,,5.4% or higher,finalized,2022-12-23 13:39:15,2022-12-23
11,53,47,0,1671802756,0.0,53,47,0,,CPICOREYOY-23FEB-T4.6,greater,,4.6,,4.7% or higher,finalized,2022-12-23 13:39:16,2022-12-23
12,53,43,0,1671802757,0.0,57,47,0,,CPICOREYOY-23FEB-T5.3,greater,,5.3,,5.4% or higher,finalized,2022-12-23 13:39:17,2022-12-23
13,57,0,0,1671802758,0.0,100,43,0,,CPICOREYOY-23FEB-T4.7,greater,,4.7,,4.8% or higher,finalized,2022-12-23 13:39:18,2022-12-23
14,53,0,0,1671802758,0.0,100,47,0,,CPICOREYOY-23FEB-T4.8,greater,,4.8,,4.9% or higher,finalized,2022-12-23 13:39:18,2022-12-23
15,53,43,0,1671802758,0.0,57,47,0,,CPICOREYOY-23FEB-T4.8,greater,,4.8,,4.9% or higher,finalized,2022-12-23 13:39:18,2022-12-23
16,53,47,0,1671802758,0.0,53,47,0,,CPICOREYOY-23FEB-T4.8,greater,,4.8,,4.9% or higher,finalized,2022-12-23 13:39:18,2022-12-23
17,57,45,0,1671802759,0.0,55,43,0,,CPICOREYOY-23FEB-T4.4,greater,,4.4,,4.5% or higher,finalized,2022-12-23 13:39:19,2022-12-23
18,53,43,0,1671802760,0.0,57,47,0,,CPICOREYOY-23FEB-T4.2,greater,,4.2,,4.3% or higher,finalized,2022-12-23 13:39:20,2022-12-23
19,53,47,0,1671802760,0.0,53,47,0,,CPICOREYOY-23FEB-T4.2,greater,,4.2,,4.3% or higher,finalized,2022-12-23 13:39:20,2022-12-23
20,57,0,0,1671802761,0.0,100,43,0,,CPICOREYOY-23FEB-T4.5,greater,,4.5,,4.6% or higher,finalized,2022-12-23 13:39:21,2022-12-23
21,57,43,0,1671802761,0.0,57,43,0,,CPICOREYOY-23FEB-T4.5,greater,,4.5,,4.6% or higher,finalized,2022-12-23 13:39:21,2022-12-23
22,57,45,0,1671802761,0.0,55,43,0,,CPICOREYOY-23FEB-T4.5,greater,,4.5,,4.6% or higher,finalized,2022-12-23 13:39:21,2022-12-23
23,57,47,0,1671802761,0.0,53,43,0,,CPICOREYOY-23FEB-T4.5,greater,,4.5,,4.6% or higher,finalized,2022-12-23 13:39:21,2022-12-23
24,55,47,0,1671802761,0.0,53,45,0,,CPICOREYOY-23FEB-T4.5,greater,,4.5,,4.6% or higher,finalized,2022-12-23 13:39:21,2022-12-23
25,53,47,0,1671802762,0.0,53,47,0,,CPICOREYOY-23FEB-T4.5,greater,,4.5,,4.6% or higher,finalized,2022-12-23 13:39:22,2022-12-23
26,100,43,0,1671802763,0.0,57,0,0,,CPICOREYOY-23FEB-T5.0,greater,,5.0,,5.1% or higher,finalized,2022-12-23 13:39:23,2022-12-23
27,100,47,0,1671802764,0.0,53,0,0,,CPICOREYOY-23FEB-T4.9,greater,,4.9,,5% or higher,finalized,2022-12-23 13:39:24,2022-12-23
28,53,0,0,1671802765,0.0,100,47,0,,CPICOREYOY-23FEB-T4.1,greater,,4.099999,,4.2% or higher,finalized,2022-12-23 13:39:25,2022-12-23
29,57,47,0,1671802767,0.0,53,43,0,,CPICOREYOY-23FEB-T4.9,greater,,4.9,,5% or higher,finalized,2022-12-23 13:39:27,2022-12-23
30,53,47,0,1671802767,0.0,53,47,0,,CPICOREYOY-23FEB-T4.9,greater,,4.9,,5% or higher,finalized,2022-12-23 13:39:27,2022-12-23
31,100,43,0,1671802768,0.0,57,0,0,,CPICOREYOY-23FEB-T4.3,greater,,4.3,,4.4% or higher,finalized,2022-12-23 13:39:28,2022-12-23
32,100,43,0,1671802768,0.0,57,0,0,,CPICOREYOY-23FEB-T5.1,greater,,5.1,,5.2% or higher,finalized,2022-12-23 13:39:28,2022-12-23
33,53,43,0,1671802769,0.0,57,47,0,,CPICOREYOY-23FEB-T4.1,greater,,4.099999,,4.2% or higher,finalized,2022-12-23 13:39:29,2022-12-23
34,53,45,0,1671802769,0.0,55,47,0,,CPICOREYOY-23FEB-T4.1,greater,,4.099999,,4.2% or higher,finalized,2022-12-23 13:39:29,2022-12-23
35,100,45,0,1671802769,0.0,55,0,0,,CPICOREYOY-23FEB-T4.3,greater,,4.3,,4.4% or higher,finalized,2022-12-23 13:39:29,2022-12-23
36,55,47,0,1671802769,0.0,53,45,0,,CPICOREYOY-23FEB-T4.3,greater,,4.3,,4.4% or higher,finalized,2022-12-23 13:39:29,2022-12-23
37,53,47,0,1671802769,0.0,53,47,0,,CPICOREYOY-23FEB-T4.3,greater,,4.3,,4.4% or higher,finalized,2022-12-23 13:39:29,2022-12-23
38,55,43,0,1671802770,0.0,57,45,0,,CPICOREYOY-23FEB-T5.0,greater,,5.0,,5.1% or higher,finalized,2022-12-23 13:39:30,2022-12-23
39,55,47,0,1671802770,0.0,53,45,0,,CPICOREYOY-23FEB-T5.0,greater,,5.0,,5.1% or higher,finalized,2022-12-23 13:39:30,2022-12-23
40,53,47,0,1671802771,0.0,53,47,0,,CPICOREYOY-23FEB-T5.0,greater,,5.0,,5.1% or higher,finalized,2022-12-23 13:39:31,2022-12-23
41,53,47,0,1671802772,0.0,53,47,0,,CPICOREYOY-23FEB-T4.1,greater,,4.099999,,4.2% or higher,finalized,2022-12-23 13:39:32,2022-12-23
42,55,45,0,1671802772,0.0,55,45,0,,CPICOREYOY-23FEB-T4.4,greater,,4.4,,4.5% or higher,finalized,2022-12-23 13:39:32,2022-12-23
43,53,45,0,1671802772,0.0,55,47,0,,CPICOREYOY-23FEB-T4.4,greater,,4.4,,4.5% or higher,finalized,2022-12-23 13:39:32,2022-12-23
44,53,47,0,1671802772,0.0,53,47,0,,CPICOREYOY-23FEB-T4.4,greater,,4.4,,4.5% or higher,finalized,2022-12-23 13:39:32,2022-12-23
45,53,45,0,1671802775,0.0,55,47,0,,CPICOREYOY-23FEB-T5.3,greater,,5.3,,5.4% or higher,finalized,2022-12-23 13:39:35,2022-12-23
46,53,47,0,1671802775,0.0,53,47,0,,CPICOREYOY-23FEB-T5.3,greater,,5.3,,5.4% or higher,finalized,2022-12-23 13:39:35,2022-12-23
47,57,0,0,1671802777,0.0,100,43,0,,CPICOREYOY-23FEB-T4.0,greater,,4.0,,4.1% or higher,finalized,2022-12-23 13:39:37,2022-12-23
48,57,43,0,1671802777,0.0,57,43,0,,CPICOREYOY-23FEB-T4.0,greater,,4.0,,4.1% or higher,finalized,2022-12-23 13:39:37,2022-12-23
