,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,53,0,0,1671802751,0.0,100,47,0,,CPICOREYOY-23JAN-T4.7,greater,,4.7,,4.8% or higher,finalized,2022-12-23 13:39:11,2022-12-23
1,100,43,0,1671802754,0.0,57,0,0,,CPICOREYOY-23JAN-T5.0,greater,,5.0,,5.1% or higher,finalized,2022-12-23 13:39:14,2022-12-23
2,55,43,0,1671802754,0.0,57,45,0,,CPICOREYOY-23JAN-T5.0,greater,,5.0,,5.1% or higher,finalized,2022-12-23 13:39:14,2022-12-23
3,57,0,0,1671802755,0.0,100,43,0,,CPICOREYOY-23JAN-T4.8,greater,,4.8,,4.9% or higher,finalized,2022-12-23 13:39:15,2022-12-23
4,53,43,0,1671802755,0.0,57,47,0,,CPICOREYOY-23JAN-T5.0,greater,,5.0,,5.1% or higher,finalized,2022-12-23 13:39:15,2022-12-23
5,53,47,0,1671802755,0.0,53,47,0,,CPICOREYOY-23JAN-T5.0,greater,,5.0,,5.1% or higher,finalized,2022-12-23 13:39:15,2022-12-23
6,53,0,0,1671802755,0.0,100,47,0,,CPICOREYOY-23JAN-T5.2,greater,,5.2,,5.3% or higher,finalized,2022-12-23 13:39:15,2022-12-23
7,57,47,0,1671802756,0.0,53,43,0,,CPICOREYOY-23JAN-T4.8,greater,,4.8,,4.9% or higher,finalized,2022-12-23 13:39:16,2022-12-23
8,53,0,0,1671802757,0.0,100,47,0,,CPICOREYOY-23JAN-T5.9,greater,,5.9,,6.0% or higher,finalized,2022-12-23 13:39:17,2022-12-23
9,53,45,0,1671802759,0.0,55,47,0,,CPICOREYOY-23JAN-T4.7,greater,,4.7,,4.8% or higher,finalized,2022-12-23 13:39:19,2022-12-23
10,53,47,0,1671802760,0.0,53,47,0,,CPICOREYOY-23JAN-T4.8,greater,,4.8,,4.9% or higher,finalized,2022-12-23 13:39:20,2022-12-23
11,53,43,0,1671802762,0.0,57,47,0,,CPICOREYOY-23JAN-T5.9,greater,,5.9,,6.0% or higher,finalized,2022-12-23 13:39:22,2022-12-23
12,53,45,0,1671802762,0.0,55,47,0,,CPICOREYOY-23JAN-T5.9,greater,,5.9,,6.0% or higher,finalized,2022-12-23 13:39:22,2022-12-23
13,53,47,0,1671802763,0.0,53,47,0,,CPICOREYOY-23JAN-T5.9,greater,,5.9,,6.0% or higher,finalized,2022-12-23 13:39:23,2022-12-23
14,55,0,0,1671802764,0.0,100,45,0,,CPICOREYOY-23JAN-T4.9,greater,,4.9,,5.0% or higher,finalized,2022-12-23 13:39:24,2022-12-23
15,100,45,0,1671802764,0.0,55,0,0,,CPICOREYOY-23JAN-T6.0,greater,,6.0,,6.1% or higher,finalized,2022-12-23 13:39:24,2022-12-23
16,57,0,0,1671802768,0.0,100,43,0,,CPICOREYOY-23JAN-T5.3,greater,,5.3,,5.4% or higher,finalized,2022-12-23 13:39:28,2022-12-23
17,55,0,0,1671802769,0.0,100,45,0,,CPICOREYOY-23JAN-T4.6,greater,,4.6,,4.7% or higher,finalized,2022-12-23 13:39:29,2022-12-23
18,53,0,0,1671802770,0.0,100,47,0,,CPICOREYOY-23JAN-T5.5,greater,,5.5,,5.6% or higher,finalized,2022-12-23 13:39:30,2022-12-23
19,53,0,0,1671802771,0.0,100,47,0,,CPICOREYOY-23JAN-T5.8,greater,,5.8,,5.9% or higher,finalized,2022-12-23 13:39:31,2022-12-23
20,57,47,0,1671802773,0.0,53,43,0,,CPICOREYOY-23JAN-T5.3,greater,,5.3,,5.4% or higher,finalized,2022-12-23 13:39:33,2022-12-23
21,100,47,0,1671802773,0.0,53,0,0,,CPICOREYOY-23JAN-T6.0,greater,,6.0,,6.1% or higher,finalized,2022-12-23 13:39:33,2022-12-23
22,53,43,0,1671802776,0.0,57,47,0,,CPICOREYOY-23JAN-T5.5,greater,,5.5,,5.6% or higher,finalized,2022-12-23 13:39:36,2022-12-23
23,55,0,0,1671802777,0.0,100,45,0,,CPICOREYOY-23JAN-T5.4,greater,,5.4,,5.5% or higher,finalized,2022-12-23 13:39:37,2022-12-23
24,55,0,0,1671802777,0.0,100,45,0,,CPICOREYOY-23JAN-T5.6,greater,,5.6,,5.7% or higher,finalized,2022-12-23 13:39:37,2022-12-23
25,53,45,0,1671802778,0.0,55,47,0,,CPICOREYOY-23JAN-T5.2,greater,,5.2,,5.3% or higher,finalized,2022-12-23 13:39:38,2022-12-23
