,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,47,0,1671802753,0.0,53,0,0,,CPICOREYOY-23MAY-T4.1,greater,,4.099999,,4.2% or higher,active,2022-12-23 13:39:13,2022-12-23
1,53,0,0,1671802754,0.0,100,47,0,,CPICOREYOY-23MAY-T3.2,greater,,3.2,,3.3% or higher,active,2022-12-23 13:39:14,2022-12-23
2,53,0,0,1671802755,0.0,100,47,0,,CPICOREYOY-23MAY-T3.8,greater,,3.8,,3.9% or higher,active,2022-12-23 13:39:15,2022-12-23
3,53,43,0,1671802755,0.0,57,47,0,,CPICOREYOY-23MAY-T3.8,greater,,3.8,,3.9% or higher,active,2022-12-23 13:39:15,2022-12-23
4,100,47,0,1671802756,0.0,53,0,0,,CPICOREYOY-23MAY-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-23 13:39:16,2022-12-23
5,53,47,0,1671802756,0.0,53,47,0,,CPICOREYOY-23MAY-T3.8,greater,,3.8,,3.9% or higher,active,2022-12-23 13:39:16,2022-12-23
6,57,0,0,1671802756,0.0,100,43,0,,CPICOREYOY-23MAY-T4.6,greater,,4.6,,4.7% or higher,active,2022-12-23 13:39:16,2022-12-23
7,100,43,0,1671802758,0.0,57,0,0,,CPICOREYOY-23MAY-T4.5,greater,,4.5,,4.6% or higher,active,2022-12-23 13:39:18,2022-12-23
8,57,43,0,1671802758,0.0,57,43,0,,CPICOREYOY-23MAY-T4.6,greater,,4.6,,4.7% or higher,active,2022-12-23 13:39:18,2022-12-23
9,100,47,0,1671802759,0.0,53,0,0,,CPICOREYOY-23MAY-T3.3,greater,,3.3,,3.4% or higher,active,2022-12-23 13:39:19,2022-12-23
10,55,0,0,1671802759,0.0,100,45,0,,CPICOREYOY-23MAY-T3.6,greater,,3.6,,3.7% or higher,active,2022-12-23 13:39:19,2022-12-23
11,53,0,0,1671802759,0.0,100,47,0,,CPICOREYOY-23MAY-T3.6,greater,,3.6,,3.7% or higher,active,2022-12-23 13:39:19,2022-12-23
12,53,43,0,1671802759,0.0,57,47,0,,CPICOREYOY-23MAY-T3.6,greater,,3.6,,3.7% or higher,active,2022-12-23 13:39:19,2022-12-23
13,53,45,0,1671802759,0.0,55,47,0,,CPICOREYOY-23MAY-T3.6,greater,,3.6,,3.7% or higher,active,2022-12-23 13:39:19,2022-12-23
