,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,53,0,0,1671802752,0.0,100,47,0,,CPICOREYOY-23NOV-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-23 13:39:12,2022-12-23
1,53,45,0,1671802752,0.0,55,47,0,,CPICOREYOY-23NOV-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-23 13:39:12,2022-12-23
2,53,47,0,1671802752,0.0,53,47,0,,CPICOREYOY-23NOV-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-23 13:39:12,2022-12-23
3,100,43,0,1671802753,0.0,57,0,0,,CPICOREYOY-23NOV-T3.5,greater,,3.5,,3.6% or higher,active,2022-12-23 13:39:13,2022-12-23
4,57,43,0,1671802753,0.0,57,43,0,,CPICOREYOY-23NOV-T3.5,greater,,3.5,,3.6% or higher,active,2022-12-23 13:39:13,2022-12-23
5,53,43,0,1671802753,0.0,57,47,0,,CPICOREYOY-23NOV-T3.5,greater,,3.5,,3.6% or higher,active,2022-12-23 13:39:13,2022-12-23
6,53,47,0,1671802753,0.0,53,47,0,,CPICOREYOY-23NOV-T3.5,greater,,3.5,,3.6% or higher,active,2022-12-23 13:39:13,2022-12-23
7,100,47,0,1671802754,0.0,53,0,0,,CPICOREYOY-23NOV-T2.7,greater,,2.7,,2.8% or higher,active,2022-12-23 13:39:14,2022-12-23
8,100,43,0,1671802754,0.0,57,0,0,,CPICOREYOY-23NOV-T3.0,greater,,3.0,,3.1% or higher,active,2022-12-23 13:39:14,2022-12-23
9,57,43,0,1671802754,0.0,57,43,0,,CPICOREYOY-23NOV-T3.0,greater,,3.0,,3.1% or higher,active,2022-12-23 13:39:14,2022-12-23
10,57,45,0,1671802754,0.0,55,43,0,,CPICOREYOY-23NOV-T3.0,greater,,3.0,,3.1% or higher,active,2022-12-23 13:39:14,2022-12-23
11,57,47,0,1671802754,0.0,53,43,0,,CPICOREYOY-23NOV-T3.0,greater,,3.0,,3.1% or higher,active,2022-12-23 13:39:14,2022-12-23
12,55,47,0,1671802754,0.0,53,45,0,,CPICOREYOY-23NOV-T3.0,greater,,3.0,,3.1% or higher,active,2022-12-23 13:39:14,2022-12-23
13,100,45,0,1671802754,0.0,55,0,0,,CPICOREYOY-23NOV-T3.3,greater,,3.3,,3.4% or higher,active,2022-12-23 13:39:14,2022-12-23
14,53,45,0,1671802754,0.0,55,47,0,,CPICOREYOY-23NOV-T3.3,greater,,3.3,,3.4% or higher,active,2022-12-23 13:39:14,2022-12-23
15,53,47,0,1671802754,0.0,53,47,0,,CPICOREYOY-23NOV-T3.3,greater,,3.3,,3.4% or higher,active,2022-12-23 13:39:14,2022-12-23
16,55,0,0,1671802755,0.0,100,45,0,,CPICOREYOY-23NOV-T2.5,greater,,2.5,,2.6% or higher,active,2022-12-23 13:39:15,2022-12-23
17,100,43,0,1671802755,0.0,57,0,0,,CPICOREYOY-23NOV-T2.8,greater,,2.8,,2.9% or higher,active,2022-12-23 13:39:15,2022-12-23
18,100,47,0,1671802755,0.0,53,0,0,,CPICOREYOY-23NOV-T2.8,greater,,2.8,,2.9% or higher,active,2022-12-23 13:39:15,2022-12-23
19,53,47,0,1671802755,0.0,53,47,0,,CPICOREYOY-23NOV-T2.8,greater,,2.8,,2.9% or higher,active,2022-12-23 13:39:15,2022-12-23
20,53,47,0,1671802755,0.0,53,47,0,,CPICOREYOY-23NOV-T3.0,greater,,3.0,,3.1% or higher,active,2022-12-23 13:39:15,2022-12-23
21,57,0,0,1671802757,0.0,100,43,0,,CPICOREYOY-23NOV-T3.1,greater,,3.1,,3.2% or higher,active,2022-12-23 13:39:17,2022-12-23
22,55,0,0,1671802759,0.0,100,45,0,,CPICOREYOY-23NOV-T3.2,greater,,3.2,,3.3% or higher,active,2022-12-23 13:39:19,2022-12-23
23,53,47,0,1671802760,0.0,53,47,0,,CPICOREYOY-23NOV-T2.7,greater,,2.7,,2.8% or higher,active,2022-12-23 13:39:20,2022-12-23
24,55,47,0,1671802763,0.0,53,45,0,,CPICOREYOY-23NOV-T2.5,greater,,2.5,,2.6% or higher,active,2022-12-23 13:39:23,2022-12-23
25,55,0,0,1671802763,0.0,100,45,0,,CPICOREYOY-23NOV-T2.9,greater,,2.9,,3.0% or higher,active,2022-12-23 13:39:23,2022-12-23
26,53,0,0,1671802763,0.0,100,47,0,,CPICOREYOY-23NOV-T2.9,greater,,2.9,,3.0% or higher,active,2022-12-23 13:39:23,2022-12-23
27,53,45,0,1671802763,0.0,55,47,0,,CPICOREYOY-23NOV-T2.9,greater,,2.9,,3.0% or higher,active,2022-12-23 13:39:23,2022-12-23
28,100,43,0,1671802764,0.0,57,0,0,,CPICOREYOY-23NOV-T2.3,greater,,2.3,,2.4% or higher,active,2022-12-23 13:39:24,2022-12-23
29,57,43,0,1671802764,0.0,57,43,0,,CPICOREYOY-23NOV-T2.3,greater,,2.3,,2.4% or higher,active,2022-12-23 13:39:24,2022-12-23
30,53,43,0,1671802765,0.0,57,47,0,,CPICOREYOY-23NOV-T2.3,greater,,2.3,,2.4% or higher,active,2022-12-23 13:39:25,2022-12-23
31,53,45,0,1671802765,0.0,55,47,0,,CPICOREYOY-23NOV-T2.3,greater,,2.3,,2.4% or higher,active,2022-12-23 13:39:25,2022-12-23
32,53,47,0,1671802765,0.0,53,47,0,,CPICOREYOY-23NOV-T2.9,greater,,2.9,,3.0% or higher,active,2022-12-23 13:39:25,2022-12-23
33,53,47,0,1671802766,0.0,53,47,0,,CPICOREYOY-23NOV-T2.3,greater,,2.3,,2.4% or higher,active,2022-12-23 13:39:26,2022-12-23
34,55,43,0,1671802766,0.0,57,45,0,,CPICOREYOY-23NOV-T3.2,greater,,3.2,,3.3% or higher,active,2022-12-23 13:39:26,2022-12-23
35,53,45,0,1671802766,0.0,55,47,0,,CPICOREYOY-23NOV-T3.2,greater,,3.2,,3.3% or higher,active,2022-12-23 13:39:26,2022-12-23
36,53,47,0,1671802766,0.0,53,47,0,,CPICOREYOY-23NOV-T3.2,greater,,3.2,,3.3% or higher,active,2022-12-23 13:39:26,2022-12-23
37,100,45,0,1671802766,0.0,55,0,0,,CPICOREYOY-23NOV-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-23 13:39:26,2022-12-23
38,100,43,0,1671802767,0.0,57,0,0,,CPICOREYOY-23NOV-T2.6,greater,,2.6,,2.7% or higher,active,2022-12-23 13:39:27,2022-12-23
39,100,45,0,1671802767,0.0,55,0,0,,CPICOREYOY-23NOV-T2.6,greater,,2.6,,2.7% or higher,active,2022-12-23 13:39:27,2022-12-23
40,57,45,0,1671802767,0.0,55,43,0,,CPICOREYOY-23NOV-T2.6,greater,,2.6,,2.7% or higher,active,2022-12-23 13:39:27,2022-12-23
41,55,45,0,1671802767,0.0,55,45,0,,CPICOREYOY-23NOV-T2.6,greater,,2.6,,2.7% or higher,active,2022-12-23 13:39:27,2022-12-23
42,55,47,0,1671802767,0.0,53,45,0,,CPICOREYOY-23NOV-T2.6,greater,,2.6,,2.7% or higher,active,2022-12-23 13:39:27,2022-12-23
43,57,43,0,1671802767,0.0,57,43,0,,CPICOREYOY-23NOV-T3.1,greater,,3.1,,3.2% or higher,active,2022-12-23 13:39:27,2022-12-23
44,53,47,0,1671802768,0.0,53,47,0,,CPICOREYOY-23NOV-T2.6,greater,,2.6,,2.7% or higher,active,2022-12-23 13:39:28,2022-12-23
45,57,47,0,1671802768,0.0,53,43,0,,CPICOREYOY-23NOV-T3.1,greater,,3.1,,3.2% or higher,active,2022-12-23 13:39:28,2022-12-23
46,53,47,0,1671802768,0.0,53,47,0,,CPICOREYOY-23NOV-T3.1,greater,,3.1,,3.2% or higher,active,2022-12-23 13:39:28,2022-12-23
47,100,45,0,1671802773,0.0,55,0,0,,CPICOREYOY-23NOV-T3.6,greater,,3.6,,3.7% or higher,active,2022-12-23 13:39:33,2022-12-23
48,57,45,0,1671802773,0.0,55,43,0,,CPICOREYOY-23NOV-T3.6,greater,,3.6,,3.7% or higher,active,2022-12-23 13:39:33,2022-12-23
49,53,45,0,1671802773,0.0,55,47,0,,CPICOREYOY-23NOV-T3.6,greater,,3.6,,3.7% or higher,active,2022-12-23 13:39:33,2022-12-23
50,53,47,0,1671802774,0.0,53,47,0,,CPICOREYOY-23NOV-T3.6,greater,,3.6,,3.7% or higher,active,2022-12-23 13:39:34,2022-12-23
51,100,45,0,1671802776,0.0,55,0,0,,CPICOREYOY-23NOV-T2.4,greater,,2.4,,2.5% or higher,active,2022-12-23 13:39:36,2022-12-23
52,57,45,0,1671802776,0.0,55,43,0,,CPICOREYOY-23NOV-T2.4,greater,,2.4,,2.5% or higher,active,2022-12-23 13:39:36,2022-12-23
53,53,45,0,1671802776,0.0,55,47,0,,CPICOREYOY-23NOV-T2.4,greater,,2.4,,2.5% or higher,active,2022-12-23 13:39:36,2022-12-23
54,53,47,0,1671802777,0.0,53,47,0,,CPICOREYOY-23NOV-T2.4,greater,,2.4,,2.5% or higher,active,2022-12-23 13:39:37,2022-12-23
55,53,45,0,1671802784,0.0,55,47,0,,CPICOREYOY-23NOV-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-23 13:39:44,2022-12-23
56,53,47,0,1671802794,0.0,53,47,0,,CPICOREYOY-23NOV-T2.5,greater,,2.5,,2.6% or higher,active,2022-12-23 13:39:54,2022-12-23
57,53,47,0,1671802796,0.0,53,47,0,,CPICOREYOY-23NOV-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-23 13:39:56,2022-12-23
58,53,45,0,1671973715,0.0,55,47,0,,CPICOREYOY-23NOV-T2.3,greater,,2.3,,2.4% or higher,active,2022-12-25 13:08:35,2022-12-25
59,55,43,0,1671973715,0.0,57,45,0,,CPICOREYOY-23NOV-T2.3,greater,,2.3,,2.4% or higher,active,2022-12-25 13:08:35,2022-12-25
60,57,43,0,1671973715,0.0,57,43,0,,CPICOREYOY-23NOV-T2.3,greater,,2.3,,2.4% or higher,active,2022-12-25 13:08:35,2022-12-25
61,53,45,0,1671973720,0.0,55,47,0,,CPICOREYOY-23NOV-T3.0,greater,,3.0,,3.1% or higher,active,2022-12-25 13:08:40,2022-12-25
62,55,47,0,1671973722,0.0,53,45,0,,CPICOREYOY-23NOV-T2.8,greater,,2.8,,2.9% or higher,active,2022-12-25 13:08:42,2022-12-25
63,53,43,0,1671973724,0.0,57,47,0,,CPICOREYOY-23NOV-T2.9,greater,,2.9,,3.0% or higher,active,2022-12-25 13:08:44,2022-12-25
64,57,47,0,1671973725,0.0,53,43,0,,CPICOREYOY-23NOV-T2.4,greater,,2.4,,2.5% or higher,active,2022-12-25 13:08:45,2022-12-25
65,55,43,0,1671973725,0.0,57,45,0,,CPICOREYOY-23NOV-T2.9,greater,,2.9,,3.0% or higher,active,2022-12-25 13:08:45,2022-12-25
66,100,43,0,1671973725,0.0,57,0,0,,CPICOREYOY-23NOV-T2.9,greater,,2.9,,3.0% or higher,active,2022-12-25 13:08:45,2022-12-25
67,100,0,0,1671973725,0.0,100,0,0,,CPICOREYOY-23NOV-T2.9,greater,,2.9,,3.0% or higher,active,2022-12-25 13:08:45,2022-12-25
68,55,47,0,1671973725,0.0,53,45,0,,CPICOREYOY-23NOV-T3.2,greater,,3.2,,3.3% or higher,active,2022-12-25 13:08:45,2022-12-25
69,53,45,0,1671973726,0.0,55,47,0,,CPICOREYOY-23NOV-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-25 13:08:46,2022-12-25
70,57,45,0,1671973726,0.0,55,43,0,,CPICOREYOY-23NOV-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-25 13:08:46,2022-12-25
71,100,45,0,1671973726,0.0,55,0,0,,CPICOREYOY-23NOV-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-25 13:08:46,2022-12-25
72,100,47,0,1671973727,0.0,53,0,0,,CPICOREYOY-23NOV-T2.8,greater,,2.8,,2.9% or higher,active,2022-12-25 13:08:47,2022-12-25
73,100,0,0,1671973727,0.0,100,0,0,,CPICOREYOY-23NOV-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-25 13:08:47,2022-12-25
74,55,47,0,1671973727,0.0,53,45,0,,CPICOREYOY-23NOV-T3.5,greater,,3.5,,3.6% or higher,active,2022-12-25 13:08:47,2022-12-25
75,100,47,0,1671973727,0.0,53,0,0,,CPICOREYOY-23NOV-T3.5,greater,,3.5,,3.6% or higher,active,2022-12-25 13:08:47,2022-12-25
76,55,47,0,1671973728,0.0,53,45,0,,CPICOREYOY-23NOV-T3.3,greater,,3.3,,3.4% or higher,active,2022-12-25 13:08:48,2022-12-25
77,57,47,0,1671973728,0.0,53,43,0,,CPICOREYOY-23NOV-T3.3,greater,,3.3,,3.4% or higher,active,2022-12-25 13:08:48,2022-12-25
78,57,0,0,1671973729,0.0,100,43,0,,CPICOREYOY-23NOV-T3.3,greater,,3.3,,3.4% or higher,active,2022-12-25 13:08:49,2022-12-25
79,100,0,0,1671973729,0.0,100,0,0,,CPICOREYOY-23NOV-T3.3,greater,,3.3,,3.4% or higher,active,2022-12-25 13:08:49,2022-12-25
80,100,0,0,1671973729,0.0,100,0,0,,CPICOREYOY-23NOV-T3.5,greater,,3.5,,3.6% or higher,active,2022-12-25 13:08:49,2022-12-25
81,100,47,0,1671973731,0.0,53,0,0,,CPICOREYOY-23NOV-T2.6,greater,,2.6,,2.7% or higher,active,2022-12-25 13:08:51,2022-12-25
82,55,47,0,1671973731,0.0,53,45,0,,CPICOREYOY-23NOV-T3.1,greater,,3.1,,3.2% or higher,active,2022-12-25 13:08:51,2022-12-25
83,55,0,0,1671973731,0.0,100,45,0,,CPICOREYOY-23NOV-T3.1,greater,,3.1,,3.2% or higher,active,2022-12-25 13:08:51,2022-12-25
84,100,0,0,1671973732,0.0,100,0,0,,CPICOREYOY-23NOV-T3.1,greater,,3.1,,3.2% or higher,active,2022-12-25 13:08:52,2022-12-25
85,53,45,0,1671973734,0.0,55,47,0,,CPICOREYOY-23NOV-T2.5,greater,,2.5,,2.6% or higher,active,2022-12-25 13:08:54,2022-12-25
86,57,0,0,1671973735,0.0,100,43,0,,CPICOREYOY-23NOV-T2.3,greater,,2.3,,2.4% or higher,active,2022-12-25 13:08:55,2022-12-25
87,100,0,0,1671973735,0.0,100,0,0,,CPICOREYOY-23NOV-T2.3,greater,,2.3,,2.4% or higher,active,2022-12-25 13:08:55,2022-12-25
88,100,0,0,1671973735,0.0,100,0,0,,CPICOREYOY-23NOV-T2.6,greater,,2.6,,2.7% or higher,active,2022-12-25 13:08:55,2022-12-25
89,100,47,0,1671973736,0.0,53,0,0,,CPICOREYOY-23NOV-T3.2,greater,,3.2,,3.3% or higher,active,2022-12-25 13:08:56,2022-12-25
90,100,45,0,1671973736,0.0,55,0,0,,CPICOREYOY-23NOV-T3.2,greater,,3.2,,3.3% or higher,active,2022-12-25 13:08:56,2022-12-25
91,100,0,0,1671973736,0.0,100,0,0,,CPICOREYOY-23NOV-T3.2,greater,,3.2,,3.3% or higher,active,2022-12-25 13:08:56,2022-12-25
92,100,47,0,1671973742,0.0,53,0,0,,CPICOREYOY-23NOV-T2.7,greater,,2.7,,2.8% or higher,active,2022-12-25 13:09:02,2022-12-25
93,100,0,0,1671973743,0.0,100,0,0,,CPICOREYOY-23NOV-T2.7,greater,,2.7,,2.8% or higher,active,2022-12-25 13:09:03,2022-12-25
94,53,0,0,1671973744,0.0,100,47,0,,CPICOREYOY-23NOV-T3.6,greater,,3.6,,3.7% or higher,active,2022-12-25 13:09:04,2022-12-25
95,100,0,0,1671973744,0.0,100,0,0,,CPICOREYOY-23NOV-T3.6,greater,,3.6,,3.7% or higher,active,2022-12-25 13:09:04,2022-12-25
96,100,47,0,1671973748,0.0,53,0,0,,CPICOREYOY-23NOV-T2.4,greater,,2.4,,2.5% or higher,active,2022-12-25 13:09:08,2022-12-25
97,100,0,0,1671973748,0.0,100,0,0,,CPICOREYOY-23NOV-T2.4,greater,,2.4,,2.5% or higher,active,2022-12-25 13:09:08,2022-12-25
98,53,45,0,1671973750,0.0,55,47,0,,CPICOREYOY-23NOV-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-25 13:09:10,2022-12-25
99,100,45,0,1671973751,0.0,55,0,0,,CPICOREYOY-23NOV-T2.8,greater,,2.8,,2.9% or higher,active,2022-12-25 13:09:11,2022-12-25
100,53,0,0,1671973751,0.0,100,47,0,,CPICOREYOY-23NOV-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-25 13:09:11,2022-12-25
101,100,0,0,1671973751,0.0,100,0,0,,CPICOREYOY-23NOV-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-25 13:09:11,2022-12-25
102,55,45,0,1671973754,0.0,55,45,0,,CPICOREYOY-23NOV-T3.0,greater,,3.0,,3.1% or higher,active,2022-12-25 13:09:14,2022-12-25
103,100,0,0,1671973756,0.0,100,0,0,,CPICOREYOY-23NOV-T2.8,greater,,2.8,,2.9% or higher,active,2022-12-25 13:09:16,2022-12-25
104,100,45,0,1671973756,0.0,55,0,0,,CPICOREYOY-23NOV-T3.0,greater,,3.0,,3.1% or higher,active,2022-12-25 13:09:16,2022-12-25
