,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,57,0,0,1671802749,0.0,100,43,0,,CPICOREYOY-23OCT-T2.6,greater,,2.6,,2.7% or higher,active,2022-12-23 13:39:09,2022-12-23
1,57,43,0,1671802750,0.0,57,43,0,,CPICOREYOY-23OCT-T2.6,greater,,2.6,,2.7% or higher,active,2022-12-23 13:39:10,2022-12-23
2,55,43,0,1671802750,0.0,57,45,0,,CPICOREYOY-23OCT-T2.6,greater,,2.6,,2.7% or higher,active,2022-12-23 13:39:10,2022-12-23
3,57,0,0,1671802751,0.0,100,43,0,,CPICOREYOY-23OCT-T2.8,greater,,2.8,,2.9% or higher,active,2022-12-23 13:39:11,2022-12-23
4,55,0,0,1671802751,0.0,100,45,0,,CPICOREYOY-23OCT-T3.1,greater,,3.1,,3.2% or higher,active,2022-12-23 13:39:11,2022-12-23
5,53,0,0,1671802751,0.0,100,47,0,,CPICOREYOY-23OCT-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-23 13:39:11,2022-12-23
6,55,45,0,1671802752,0.0,55,45,0,,CPICOREYOY-23OCT-T2.6,greater,,2.6,,2.7% or higher,active,2022-12-23 13:39:12,2022-12-23
7,55,0,0,1671802752,0.0,100,45,0,,CPICOREYOY-23OCT-T3.3,greater,,3.3,,3.4% or higher,active,2022-12-23 13:39:12,2022-12-23
8,53,0,0,1671802752,0.0,100,47,0,,CPICOREYOY-23OCT-T3.3,greater,,3.3,,3.4% or higher,active,2022-12-23 13:39:12,2022-12-23
9,53,47,0,1671802752,0.0,53,47,0,,CPICOREYOY-23OCT-T3.3,greater,,3.3,,3.4% or higher,active,2022-12-23 13:39:12,2022-12-23
10,53,43,0,1671802752,0.0,57,47,0,,CPICOREYOY-23OCT-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-23 13:39:12,2022-12-23
11,57,0,0,1671802753,0.0,100,43,0,,CPICOREYOY-23OCT-T2.5,greater,,2.5,,2.6% or higher,active,2022-12-23 13:39:13,2022-12-23
12,57,45,0,1671802753,0.0,55,43,0,,CPICOREYOY-23OCT-T2.5,greater,,2.5,,2.6% or higher,active,2022-12-23 13:39:13,2022-12-23
13,57,0,0,1671802753,0.0,100,43,0,,CPICOREYOY-23OCT-T3.2,greater,,3.2,,3.3% or higher,active,2022-12-23 13:39:13,2022-12-23
14,55,0,0,1671802753,0.0,100,45,0,,CPICOREYOY-23OCT-T3.2,greater,,3.2,,3.3% or higher,active,2022-12-23 13:39:13,2022-12-23
15,55,47,0,1671802753,0.0,53,45,0,,CPICOREYOY-23OCT-T3.2,greater,,3.2,,3.3% or higher,active,2022-12-23 13:39:13,2022-12-23
16,53,45,0,1671802754,0.0,55,47,0,,CPICOREYOY-23OCT-T2.6,greater,,2.6,,2.7% or higher,active,2022-12-23 13:39:14,2022-12-23
17,53,47,0,1671802754,0.0,53,47,0,,CPICOREYOY-23OCT-T2.6,greater,,2.6,,2.7% or higher,active,2022-12-23 13:39:14,2022-12-23
