,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,20,0,0,1670984982,0.0,100,80,0,,CPIYOY-22DEC-T6.0,greater,,6.0,,6.1% or higher,finalized,2022-12-14 02:29:42,2022-12-14
1,35,0,0,1670985001,0.0,100,65,0,,CPIYOY-22DEC-T6.1,greater,,6.1,,6.2% or higher,finalized,2022-12-14 02:30:01,2022-12-14
2,50,0,0,1670985017,0.0,100,50,0,,CPIYOY-22DEC-T6.2,greater,,6.2,,6.3% or higher,finalized,2022-12-14 02:30:17,2022-12-14
3,65,0,0,1670985028,0.0,100,35,0,,CPIYOY-22DEC-T6.3,greater,,6.3,,6.4% or higher,finalized,2022-12-14 02:30:28,2022-12-14
4,80,0,0,1670985049,0.0,100,20,0,,CPIYOY-22DEC-T6.4,greater,,6.4,,6.5% or higher,finalized,2022-12-14 02:30:49,2022-12-14
5,94,0,0,1670985059,0.0,100,6,0,,CPIYOY-22DEC-T6.5,greater,,6.5,,6.6% or higher,finalized,2022-12-14 02:30:59,2022-12-14
6,99,0,0,1670985069,0.0,100,1,0,,CPIYOY-22DEC-T6.6,greater,,6.6,,6.7% or higher,finalized,2022-12-14 02:31:09,2022-12-14
7,100,81,0,1670985127,0.0,19,0,0,,CPIYOY-22DEC-T7.4,greater,,7.4,,7.5% or higher,finalized,2022-12-14 02:32:07,2022-12-14
8,100,71,0,1670985139,0.0,29,0,0,,CPIYOY-22DEC-T7.3,greater,,7.3,,7.4% or higher,finalized,2022-12-14 02:32:19,2022-12-14
9,100,61,0,1670985149,0.0,39,0,0,,CPIYOY-22DEC-T7.2,greater,,7.2,,7.3% or higher,finalized,2022-12-14 02:32:29,2022-12-14
10,100,51,0,1670985161,0.0,49,0,0,,CPIYOY-22DEC-T7.1,greater,,7.1,,7.2% or higher,finalized,2022-12-14 02:32:41,2022-12-14
11,100,41,0,1670985174,0.0,59,0,0,,CPIYOY-22DEC-T7.0,greater,,7.0,,7.1% or higher,finalized,2022-12-14 02:32:54,2022-12-14
12,100,26,0,1670985188,0.0,74,0,0,,CPIYOY-22DEC-T6.9,greater,,6.9,,7.0% or higher,finalized,2022-12-14 02:33:08,2022-12-14
13,100,16,0,1670985198,0.0,84,0,0,,CPIYOY-22DEC-T6.8,greater,,6.8,,6.9% or higher,finalized,2022-12-14 02:33:18,2022-12-14
14,100,6,0,1670985208,0.0,94,0,0,,CPIYOY-22DEC-T6.7,greater,,6.7,,6.8% or higher,finalized,2022-12-14 02:33:28,2022-12-14
15,99,1,0,1670985218,0.0,99,1,0,,CPIYOY-22DEC-T6.6,greater,,6.6,,6.7% or higher,finalized,2022-12-14 02:33:38,2022-12-14
16,98,1,0,1671047768,0.0,99,2,0,,CPIYOY-22DEC-T6.6,greater,,6.6,,6.7% or higher,finalized,2022-12-14 19:56:08,2022-12-14
17,20,5,0,1671058609,0.0,95,80,0,,CPIYOY-22DEC-T6.0,greater,,6.0,,6.1% or higher,finalized,2022-12-14 22:56:49,2022-12-14
18,10,5,0,1671058609,0.0,95,90,0,,CPIYOY-22DEC-T6.0,greater,,6.0,,6.1% or higher,finalized,2022-12-14 22:56:49,2022-12-14
19,9,5,0,1671058609,0.0,95,91,0,,CPIYOY-22DEC-T6.0,greater,,6.0,,6.1% or higher,finalized,2022-12-14 22:56:49,2022-12-14
20,14,0,0,1671058609,0.0,100,86,0,,CPIYOY-22DEC-T6.1,greater,,6.1,,6.2% or higher,finalized,2022-12-14 22:56:49,2022-12-14
21,14,9,0,1671058609,0.0,91,86,0,,CPIYOY-22DEC-T6.1,greater,,6.1,,6.2% or higher,finalized,2022-12-14 22:56:49,2022-12-14
22,13,9,0,1671058609,0.0,91,87,0,,CPIYOY-22DEC-T6.1,greater,,6.1,,6.2% or higher,finalized,2022-12-14 22:56:49,2022-12-14
23,25,0,0,1671058609,0.0,100,75,0,,CPIYOY-22DEC-T6.2,greater,,6.2,,6.3% or higher,finalized,2022-12-14 22:56:49,2022-12-14
24,25,16,0,1671058609,0.0,84,75,0,,CPIYOY-22DEC-T6.2,greater,,6.2,,6.3% or higher,finalized,2022-12-14 22:56:49,2022-12-14
25,23,16,0,1671058609,0.0,84,77,0,,CPIYOY-22DEC-T6.2,greater,,6.2,,6.3% or higher,finalized,2022-12-14 22:56:49,2022-12-14
26,65,28,0,1671058609,0.0,72,35,0,,CPIYOY-22DEC-T6.3,greater,,6.3,,6.4% or higher,finalized,2022-12-14 22:56:49,2022-12-14
27,37,28,0,1671058609,0.0,72,63,0,,CPIYOY-22DEC-T6.3,greater,,6.3,,6.4% or higher,finalized,2022-12-14 22:56:49,2022-12-14
28,33,28,0,1671058609,0.0,72,67,0,,CPIYOY-22DEC-T6.3,greater,,6.3,,6.4% or higher,finalized,2022-12-14 22:56:49,2022-12-14
29,80,41,0,1671058609,0.0,59,20,0,,CPIYOY-22DEC-T6.4,greater,,6.4,,6.5% or higher,finalized,2022-12-14 22:56:49,2022-12-14
30,51,41,0,1671058609,0.0,59,49,0,,CPIYOY-22DEC-T6.4,greater,,6.4,,6.5% or higher,finalized,2022-12-14 22:56:49,2022-12-14
31,51,45,0,1671058609,0.0,55,49,0,,CPIYOY-22DEC-T6.4,greater,,6.4,,6.5% or higher,finalized,2022-12-14 22:56:49,2022-12-14
32,69,0,0,1671058609,0.0,100,31,0,,CPIYOY-22DEC-T6.5,greater,,6.5,,6.6% or higher,finalized,2022-12-14 22:56:49,2022-12-14
33,69,64,0,1671058609,0.0,36,31,0,,CPIYOY-22DEC-T6.5,greater,,6.5,,6.6% or higher,finalized,2022-12-14 22:56:49,2022-12-14
34,86,1,0,1671058609,0.0,99,14,0,,CPIYOY-22DEC-T6.6,greater,,6.6,,6.7% or higher,finalized,2022-12-14 22:56:49,2022-12-14
35,86,78,0,1671058609,0.0,22,14,0,,CPIYOY-22DEC-T6.6,greater,,6.6,,6.7% or higher,finalized,2022-12-14 22:56:49,2022-12-14
