,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,45,0,1671802749,0.0,55,0,0,,CPIYOY-23APR-T3.8,greater,,3.9,,3.9% or higher,finalized,2022-12-23 13:39:09,2022-12-23
1,53,45,0,1671802749,0.0,55,47,0,,CPIYOY-23APR-T3.8,greater,,3.9,,3.9% or higher,finalized,2022-12-23 13:39:09,2022-12-23
2,100,45,0,1671802749,0.0,55,0,0,,CPIYOY-23APR-T4.7,greater,,4.8,,4.8% or higher,finalized,2022-12-23 13:39:09,2022-12-23
3,100,43,0,1671802750,0.0,57,0,0,,CPIYOY-23APR-T3.7,greater,,3.8,,3.8% or higher,finalized,2022-12-23 13:39:10,2022-12-23
4,57,0,0,1671802750,0.0,100,43,0,,CPIYOY-23APR-T4.8,greater,,4.9,,4.9% or higher,finalized,2022-12-23 13:39:10,2022-12-23
5,53,47,0,1671802751,0.0,53,47,0,,CPIYOY-23APR-T3.8,greater,,3.9,,3.9% or higher,finalized,2022-12-23 13:39:11,2022-12-23
6,100,43,0,1671802751,0.0,57,0,0,,CPIYOY-23APR-T4.0,greater,,4.1,,4.1% or higher,finalized,2022-12-23 13:39:11,2022-12-23
7,55,43,0,1671802751,0.0,57,45,0,,CPIYOY-23APR-T4.0,greater,,4.1,,4.1% or higher,finalized,2022-12-23 13:39:11,2022-12-23
8,53,43,0,1671802751,0.0,57,47,0,,CPIYOY-23APR-T4.0,greater,,4.1,,4.1% or higher,finalized,2022-12-23 13:39:11,2022-12-23
9,53,45,0,1671802751,0.0,55,47,0,,CPIYOY-23APR-T4.0,greater,,4.1,,4.1% or higher,finalized,2022-12-23 13:39:11,2022-12-23
10,53,47,0,1671802751,0.0,53,47,0,,CPIYOY-23APR-T4.0,greater,,4.1,,4.1% or higher,finalized,2022-12-23 13:39:11,2022-12-23
11,57,0,0,1671802753,0.0,100,43,0,,CPIYOY-23APR-T4.4,greater,,4.5,,4.5% or higher,finalized,2022-12-23 13:39:13,2022-12-23
12,57,43,0,1671802754,0.0,57,43,0,,CPIYOY-23APR-T4.4,greater,,4.5,,4.5% or higher,finalized,2022-12-23 13:39:14,2022-12-23
13,57,47,0,1671802754,0.0,53,43,0,,CPIYOY-23APR-T4.4,greater,,4.5,,4.5% or higher,finalized,2022-12-23 13:39:14,2022-12-23
14,53,47,0,1671802754,0.0,53,47,0,,CPIYOY-23APR-T4.4,greater,,4.5,,4.5% or higher,finalized,2022-12-23 13:39:14,2022-12-23
15,57,0,0,1671802755,0.0,100,43,0,,CPIYOY-23APR-T3.6,greater,,3.7,,3.7% or higher,finalized,2022-12-23 13:39:15,2022-12-23
16,55,45,0,1671802755,0.0,55,45,0,,CPIYOY-23APR-T4.7,greater,,4.8,,4.8% or higher,finalized,2022-12-23 13:39:15,2022-12-23
