,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,53,0,0,1671802750,0.0,100,47,0,,CPIYOY-23FEB-T5.0,greater,,5.0,,5.1% or higher,finalized,2022-12-23 13:39:10,2022-12-23
1,53,0,0,1671802751,0.0,100,47,0,,CPIYOY-23FEB-T4.9,greater,,4.9,,5.0% or higher,finalized,2022-12-23 13:39:11,2022-12-23
2,100,45,0,1671802751,0.0,55,0,0,,CPIYOY-23FEB-T5.3,greater,,5.3,,5.4% or higher,finalized,2022-12-23 13:39:11,2022-12-23
3,100,43,0,1671802752,0.0,57,0,0,,CPIYOY-23FEB-T4.5,greater,,4.5,,4.6% or higher,finalized,2022-12-23 13:39:12,2022-12-23
4,57,43,0,1671802752,0.0,57,43,0,,CPIYOY-23FEB-T4.5,greater,,4.5,,4.6% or higher,finalized,2022-12-23 13:39:12,2022-12-23
5,55,43,0,1671802752,0.0,57,45,0,,CPIYOY-23FEB-T4.5,greater,,4.5,,4.6% or higher,finalized,2022-12-23 13:39:12,2022-12-23
6,53,43,0,1671802752,0.0,57,47,0,,CPIYOY-23FEB-T4.5,greater,,4.5,,4.6% or higher,finalized,2022-12-23 13:39:12,2022-12-23
7,53,45,0,1671802752,0.0,55,47,0,,CPIYOY-23FEB-T4.5,greater,,4.5,,4.6% or higher,finalized,2022-12-23 13:39:12,2022-12-23
8,53,47,0,1671802752,0.0,53,47,0,,CPIYOY-23FEB-T4.5,greater,,4.5,,4.6% or higher,finalized,2022-12-23 13:39:12,2022-12-23
9,100,47,0,1671802752,0.0,53,0,0,,CPIYOY-23FEB-T4.7,greater,,4.7,,4.8% or higher,finalized,2022-12-23 13:39:12,2022-12-23
10,53,47,0,1671802752,0.0,53,47,0,,CPIYOY-23FEB-T4.7,greater,,4.7,,4.8% or higher,finalized,2022-12-23 13:39:12,2022-12-23
11,100,47,0,1671802752,0.0,53,0,0,,CPIYOY-23FEB-T5.3,greater,,5.3,,5.4% or higher,finalized,2022-12-23 13:39:12,2022-12-23
12,100,47,0,1671802754,0.0,53,0,0,,CPIYOY-23FEB-T5.5,greater,,5.5,,5.6% or higher,finalized,2022-12-23 13:39:14,2022-12-23
13,100,43,0,1671802757,0.0,57,0,0,,CPIYOY-23FEB-T5.8,greater,,5.8,,5.9% or higher,finalized,2022-12-23 13:39:17,2022-12-23
14,100,43,0,1671802758,0.0,57,0,0,,CPIYOY-23FEB-T5.1,greater,,5.1,,5.2% or higher,finalized,2022-12-23 13:39:18,2022-12-23
15,57,43,0,1671802758,0.0,57,43,0,,CPIYOY-23FEB-T5.1,greater,,5.1,,5.2% or higher,finalized,2022-12-23 13:39:18,2022-12-23
16,55,43,0,1671802758,0.0,57,45,0,,CPIYOY-23FEB-T5.1,greater,,5.1,,5.2% or higher,finalized,2022-12-23 13:39:18,2022-12-23
17,53,0,0,1671802759,0.0,100,47,0,,CPIYOY-23FEB-T4.6,greater,,4.6,,4.7% or higher,finalized,2022-12-23 13:39:19,2022-12-23
18,55,45,0,1671802759,0.0,55,45,0,,CPIYOY-23FEB-T5.1,greater,,5.1,,5.2% or higher,finalized,2022-12-23 13:39:19,2022-12-23
19,55,47,0,1671802759,0.0,53,45,0,,CPIYOY-23FEB-T5.1,greater,,5.1,,5.2% or higher,finalized,2022-12-23 13:39:19,2022-12-23
20,53,47,0,1671802759,0.0,53,47,0,,CPIYOY-23FEB-T5.1,greater,,5.1,,5.2% or higher,finalized,2022-12-23 13:39:19,2022-12-23
21,100,45,0,1671802761,0.0,55,0,0,,CPIYOY-23FEB-T5.4,greater,,5.4,,5.5% or higher,finalized,2022-12-23 13:39:21,2022-12-23
22,100,43,0,1671802763,0.0,57,0,0,,CPIYOY-23FEB-T4.8,greater,,4.8,,4.9% or higher,finalized,2022-12-23 13:39:23,2022-12-23
23,57,43,0,1671802763,0.0,57,43,0,,CPIYOY-23FEB-T4.8,greater,,4.8,,4.9% or higher,finalized,2022-12-23 13:39:23,2022-12-23
24,55,43,0,1671802763,0.0,57,45,0,,CPIYOY-23FEB-T4.8,greater,,4.8,,4.9% or higher,finalized,2022-12-23 13:39:23,2022-12-23
25,55,47,0,1671802763,0.0,53,45,0,,CPIYOY-23FEB-T4.8,greater,,4.8,,4.9% or higher,finalized,2022-12-23 13:39:23,2022-12-23
26,53,47,0,1671802763,0.0,53,47,0,,CPIYOY-23FEB-T4.8,greater,,4.8,,4.9% or higher,finalized,2022-12-23 13:39:23,2022-12-23
27,100,43,0,1671802764,0.0,57,0,0,,CPIYOY-23FEB-T5.7,greater,,5.7,,5.8% or higher,finalized,2022-12-23 13:39:24,2022-12-23
28,57,43,0,1671802764,0.0,57,43,0,,CPIYOY-23FEB-T5.7,greater,,5.7,,5.8% or higher,finalized,2022-12-23 13:39:24,2022-12-23
29,57,47,0,1671802764,0.0,53,43,0,,CPIYOY-23FEB-T5.7,greater,,5.7,,5.8% or higher,finalized,2022-12-23 13:39:24,2022-12-23
30,55,47,0,1671802764,0.0,53,45,0,,CPIYOY-23FEB-T5.7,greater,,5.7,,5.8% or higher,finalized,2022-12-23 13:39:24,2022-12-23
31,53,47,0,1671802764,0.0,53,47,0,,CPIYOY-23FEB-T5.7,greater,,5.7,,5.8% or higher,finalized,2022-12-23 13:39:24,2022-12-23
32,53,45,0,1671802765,0.0,55,47,0,,CPIYOY-23FEB-T4.6,greater,,4.6,,4.7% or higher,finalized,2022-12-23 13:39:25,2022-12-23
33,53,47,0,1671802765,0.0,53,47,0,,CPIYOY-23FEB-T4.6,greater,,4.6,,4.7% or higher,finalized,2022-12-23 13:39:25,2022-12-23
