,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,57,0,0,1671802752,0.0,100,43,0,,CPIYOY-23JAN-T6.6,greater,,6.6,,6.7% or higher,finalized,2022-12-23 13:39:12,2022-12-23
1,100,45,0,1671802753,0.0,55,0,0,,CPIYOY-23JAN-T6.0,greater,,6.0,,6.1% or higher,finalized,2022-12-23 13:39:13,2022-12-23
2,57,0,0,1671802754,0.0,100,43,0,,CPIYOY-23JAN-T5.6,greater,,5.6,,5.7% or higher,finalized,2022-12-23 13:39:14,2022-12-23
3,57,45,0,1671802759,0.0,55,43,0,,CPIYOY-23JAN-T5.6,greater,,5.6,,5.7% or higher,finalized,2022-12-23 13:39:19,2022-12-23
4,53,0,0,1671802759,0.0,100,47,0,,CPIYOY-23JAN-T5.8,greater,,5.8,,5.9% or higher,finalized,2022-12-23 13:39:19,2022-12-23
5,53,45,0,1671802759,0.0,55,47,0,,CPIYOY-23JAN-T5.8,greater,,5.8,,5.9% or higher,finalized,2022-12-23 13:39:19,2022-12-23
6,53,47,0,1671802759,0.0,53,47,0,,CPIYOY-23JAN-T5.8,greater,,5.8,,5.9% or higher,finalized,2022-12-23 13:39:19,2022-12-23
7,53,45,0,1671802760,0.0,55,47,0,,CPIYOY-23JAN-T5.6,greater,,5.6,,5.7% or higher,finalized,2022-12-23 13:39:20,2022-12-23
8,53,47,0,1671802761,0.0,53,47,0,,CPIYOY-23JAN-T5.6,greater,,5.6,,5.7% or higher,finalized,2022-12-23 13:39:21,2022-12-23
9,100,45,0,1671802761,0.0,55,0,0,,CPIYOY-23JAN-T5.9,greater,,5.9,,6% or higher,finalized,2022-12-23 13:39:21,2022-12-23
10,53,45,0,1671802761,0.0,55,47,0,,CPIYOY-23JAN-T5.9,greater,,5.9,,6% or higher,finalized,2022-12-23 13:39:21,2022-12-23
11,53,47,0,1671802762,0.0,53,47,0,,CPIYOY-23JAN-T5.9,greater,,5.9,,6% or higher,finalized,2022-12-23 13:39:22,2022-12-23
12,53,0,0,1671802762,0.0,100,47,0,,CPIYOY-23JAN-T6.5,greater,,6.5,,6.6% or higher,finalized,2022-12-23 13:39:22,2022-12-23
