,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,45,0,1671802750,0.0,55,0,0,,CPIYOY-23JUL-T2.9,greater,,3.0,,3.0% or higher,active,2022-12-23 13:39:10,2022-12-23
1,55,45,0,1671802750,0.0,55,45,0,,CPIYOY-23JUL-T2.9,greater,,3.0,,3.0% or higher,active,2022-12-23 13:39:10,2022-12-23
2,100,43,0,1671802751,0.0,57,0,0,,CPIYOY-23JUL-T3.7,greater,,3.8,,3.8% or higher,active,2022-12-23 13:39:11,2022-12-23
3,100,45,0,1671802751,0.0,55,0,0,,CPIYOY-23JUL-T3.7,greater,,3.8,,3.8% or higher,active,2022-12-23 13:39:11,2022-12-23
4,100,47,0,1671802751,0.0,53,0,0,,CPIYOY-23JUL-T3.7,greater,,3.8,,3.8% or higher,active,2022-12-23 13:39:11,2022-12-23
5,55,47,0,1671802751,0.0,53,45,0,,CPIYOY-23JUL-T3.7,greater,,3.8,,3.8% or higher,active,2022-12-23 13:39:11,2022-12-23
6,53,47,0,1671802751,0.0,53,47,0,,CPIYOY-23JUL-T3.7,greater,,3.8,,3.8% or higher,active,2022-12-23 13:39:11,2022-12-23
7,100,43,0,1671802752,0.0,57,0,0,,CPIYOY-23JUL-T4.1,greater,,4.2,,4.2% or higher,active,2022-12-23 13:39:12,2022-12-23
8,55,43,0,1671802752,0.0,57,45,0,,CPIYOY-23JUL-T4.1,greater,,4.2,,4.2% or higher,active,2022-12-23 13:39:12,2022-12-23
9,55,47,0,1671802752,0.0,53,45,0,,CPIYOY-23JUL-T4.1,greater,,4.2,,4.2% or higher,active,2022-12-23 13:39:12,2022-12-23
10,57,0,0,1671802753,0.0,100,43,0,,CPIYOY-23JUL-T3.6,greater,,3.7,,3.7% or higher,active,2022-12-23 13:39:13,2022-12-23
11,100,45,0,1671802753,0.0,55,0,0,,CPIYOY-23JUL-T4.2,greater,,4.3,,4.3% or higher,active,2022-12-23 13:39:13,2022-12-23
12,100,45,0,1671802754,0.0,55,0,0,,CPIYOY-23JUL-T3.0,greater,,3.1,,3.1% or higher,active,2022-12-23 13:39:14,2022-12-23
13,100,47,0,1671802755,0.0,53,0,0,,CPIYOY-23JUL-T3.1,greater,,3.2,,3.2% or higher,active,2022-12-23 13:39:15,2022-12-23
14,57,47,0,1671802755,0.0,53,43,0,,CPIYOY-23JUL-T3.1,greater,,3.2,,3.2% or higher,active,2022-12-23 13:39:15,2022-12-23
15,55,47,0,1671802755,0.0,53,45,0,,CPIYOY-23JUL-T3.1,greater,,3.2,,3.2% or higher,active,2022-12-23 13:39:15,2022-12-23
16,53,47,0,1671802755,0.0,53,47,0,,CPIYOY-23JUL-T3.1,greater,,3.2,,3.2% or higher,active,2022-12-23 13:39:15,2022-12-23
17,100,47,0,1671802755,0.0,53,0,0,,CPIYOY-23JUL-T3.2,greater,,3.3,,3.3% or higher,active,2022-12-23 13:39:15,2022-12-23
18,53,47,0,1671802756,0.0,53,47,0,,CPIYOY-23JUL-T4.1,greater,,4.2,,4.2% or higher,active,2022-12-23 13:39:16,2022-12-23
19,57,45,0,1671802757,0.0,55,43,0,,CPIYOY-23JUL-T4.2,greater,,4.3,,4.3% or higher,active,2022-12-23 13:39:17,2022-12-23
20,100,47,0,1671802758,0.0,53,0,0,,CPIYOY-23JUL-T3.8,greater,,3.9,,3.9% or higher,active,2022-12-23 13:39:18,2022-12-23
21,57,0,0,1671802761,0.0,100,43,0,,CPIYOY-23JUL-T3.3,greater,,3.4,,3.4% or higher,active,2022-12-23 13:39:21,2022-12-23
22,100,43,0,1671802761,0.0,57,0,0,,CPIYOY-23JUL-T3.5,greater,,3.6,,3.6% or higher,active,2022-12-23 13:39:21,2022-12-23
23,53,45,0,1671802765,0.0,55,47,0,,CPIYOY-23JUL-T2.9,greater,,3.0,,3.0% or higher,active,2022-12-23 13:39:25,2022-12-23
24,53,47,0,1671802765,0.0,53,47,0,,CPIYOY-23JUL-T2.9,greater,,3.0,,3.0% or higher,active,2022-12-23 13:39:25,2022-12-23
25,100,45,0,1671802766,0.0,55,0,0,,CPIYOY-23JUL-T3.4,greater,,3.5,,3.5% or higher,active,2022-12-23 13:39:26,2022-12-23
26,53,45,0,1671802767,0.0,55,47,0,,CPIYOY-23JUL-T3.0,greater,,3.1,,3.1% or higher,active,2022-12-23 13:39:27,2022-12-23
27,55,47,0,1671802767,0.0,53,45,0,,CPIYOY-23JUL-T3.2,greater,,3.3,,3.3% or higher,active,2022-12-23 13:39:27,2022-12-23
28,53,47,0,1671802767,0.0,53,47,0,,CPIYOY-23JUL-T3.2,greater,,3.3,,3.3% or higher,active,2022-12-23 13:39:27,2022-12-23
29,57,45,0,1671802767,0.0,55,43,0,,CPIYOY-23JUL-T3.4,greater,,3.5,,3.5% or higher,active,2022-12-23 13:39:27,2022-12-23
30,57,0,0,1671802768,0.0,100,43,0,,CPIYOY-23JUL-T4.0,greater,,4.1,,4.1% or higher,active,2022-12-23 13:39:28,2022-12-23
31,53,0,0,1671802769,0.0,100,47,0,,CPIYOY-23JUL-T3.9,greater,,4.0,,4.0% or higher,active,2022-12-23 13:39:29,2022-12-23
32,53,43,0,1671802770,0.0,57,47,0,,CPIYOY-23JUL-T3.9,greater,,4.0,,4.0% or higher,active,2022-12-23 13:39:30,2022-12-23
33,53,0,0,1671802770,0.0,100,47,0,,CPIYOY-23JUL-T4.3,greater,,4.4,,4.4% or higher,active,2022-12-23 13:39:30,2022-12-23
34,53,45,0,1671802771,0.0,55,47,0,,CPIYOY-23JUL-T3.9,greater,,4.0,,4.0% or higher,active,2022-12-23 13:39:31,2022-12-23
35,53,43,0,1671802771,0.0,57,47,0,,CPIYOY-23JUL-T4.3,greater,,4.4,,4.4% or higher,active,2022-12-23 13:39:31,2022-12-23
36,53,47,0,1671802772,0.0,53,47,0,,CPIYOY-23JUL-T3.9,greater,,4.0,,4.0% or higher,active,2022-12-23 13:39:32,2022-12-23
37,53,47,0,1671802772,0.0,53,47,0,,CPIYOY-23JUL-T4.3,greater,,4.4,,4.4% or higher,active,2022-12-23 13:39:32,2022-12-23
38,55,0,0,1671802773,0.0,100,45,0,,CPIYOY-23JUL-T3.6,greater,,3.7,,3.7% or higher,active,2022-12-23 13:39:33,2022-12-23
