,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,47,0,1671802749,0.0,53,0,0,,CPIYOY-23JUN-T3.3,greater,,3.3,,3.4% or higher,active,2022-12-23 13:39:09,2022-12-23
1,57,0,0,1671802750,0.0,100,43,0,,CPIYOY-23JUN-T4.7,greater,,4.7,,4.8% or higher,active,2022-12-23 13:39:10,2022-12-23
2,100,47,0,1671802751,0.0,53,0,0,,CPIYOY-23JUN-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-23 13:39:11,2022-12-23
3,57,47,0,1671802751,0.0,53,43,0,,CPIYOY-23JUN-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-23 13:39:11,2022-12-23
4,53,47,0,1671802751,0.0,53,47,0,,CPIYOY-23JUN-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-23 13:39:11,2022-12-23
5,100,47,0,1671802752,0.0,53,0,0,,CPIYOY-23JUN-T3.6,greater,,3.6,,3.7% or higher,active,2022-12-23 13:39:12,2022-12-23
6,57,47,0,1671802752,0.0,53,43,0,,CPIYOY-23JUN-T3.6,greater,,3.6,,3.7% or higher,active,2022-12-23 13:39:12,2022-12-23
7,55,47,0,1671802752,0.0,53,45,0,,CPIYOY-23JUN-T3.6,greater,,3.6,,3.7% or higher,active,2022-12-23 13:39:12,2022-12-23
8,53,47,0,1671802752,0.0,53,47,0,,CPIYOY-23JUN-T3.6,greater,,3.6,,3.7% or higher,active,2022-12-23 13:39:12,2022-12-23
9,55,0,0,1671802752,0.0,100,45,0,,CPIYOY-23JUN-T4.0,greater,,4.0,,4.1% or higher,active,2022-12-23 13:39:12,2022-12-23
10,100,45,0,1671802752,0.0,55,0,0,,CPIYOY-23JUN-T4.5,greater,,4.5,,4.6% or higher,active,2022-12-23 13:39:12,2022-12-23
11,57,0,0,1671802753,0.0,100,43,0,,CPIYOY-23JUN-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-23 13:39:13,2022-12-23
12,57,45,0,1671802753,0.0,55,43,0,,CPIYOY-23JUN-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-23 13:39:13,2022-12-23
13,55,45,0,1671802753,0.0,55,45,0,,CPIYOY-23JUN-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-23 13:39:13,2022-12-23
14,53,45,0,1671802753,0.0,55,47,0,,CPIYOY-23JUN-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-23 13:39:13,2022-12-23
15,53,0,0,1671802753,0.0,100,47,0,,CPIYOY-23JUN-T4.1,greater,,4.099999,,4.2% or higher,active,2022-12-23 13:39:13,2022-12-23
16,100,45,0,1671802754,0.0,55,0,0,,CPIYOY-23JUN-T3.5,greater,,3.5,,3.6% or higher,active,2022-12-23 13:39:14,2022-12-23
17,55,0,0,1671802754,0.0,100,45,0,,CPIYOY-23JUN-T3.9,greater,,3.9,,4.0% or higher,active,2022-12-23 13:39:14,2022-12-23
18,100,43,0,1671802754,0.0,57,0,0,,CPIYOY-23JUN-T4.2,greater,,4.2,,4.3% or higher,active,2022-12-23 13:39:14,2022-12-23
19,100,45,0,1671802754,0.0,55,0,0,,CPIYOY-23JUN-T4.2,greater,,4.2,,4.3% or higher,active,2022-12-23 13:39:14,2022-12-23
20,53,47,0,1671802755,0.0,53,47,0,,CPIYOY-23JUN-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-23 13:39:15,2022-12-23
21,100,43,0,1671802755,0.0,57,0,0,,CPIYOY-23JUN-T3.8,greater,,3.8,,3.9% or higher,active,2022-12-23 13:39:15,2022-12-23
22,57,45,0,1671802755,0.0,55,43,0,,CPIYOY-23JUN-T4.2,greater,,4.2,,4.3% or higher,active,2022-12-23 13:39:15,2022-12-23
23,53,45,0,1671802756,0.0,55,47,0,,CPIYOY-23JUN-T4.1,greater,,4.099999,,4.2% or higher,active,2022-12-23 13:39:16,2022-12-23
24,53,0,0,1671802757,0.0,100,47,0,,CPIYOY-23JUN-T4.3,greater,,4.3,,4.4% or higher,active,2022-12-23 13:39:17,2022-12-23
25,55,45,0,1671802758,0.0,55,45,0,,CPIYOY-23JUN-T4.2,greater,,4.2,,4.3% or higher,active,2022-12-23 13:39:18,2022-12-23
26,55,47,0,1671802762,0.0,53,45,0,,CPIYOY-23JUN-T4.0,greater,,4.0,,4.1% or higher,active,2022-12-23 13:39:22,2022-12-23
27,100,47,0,1671802763,0.0,53,0,0,,CPIYOY-23JUN-T3.5,greater,,3.5,,3.6% or higher,active,2022-12-23 13:39:23,2022-12-23
28,57,0,0,1671802763,0.0,100,43,0,,CPIYOY-23JUN-T4.6,greater,,4.6,,4.7% or higher,active,2022-12-23 13:39:23,2022-12-23
29,57,43,0,1671802765,0.0,57,43,0,,CPIYOY-23JUN-T4.7,greater,,4.7,,4.8% or higher,active,2022-12-23 13:39:25,2022-12-23
30,55,43,0,1671802766,0.0,57,45,0,,CPIYOY-23JUN-T4.7,greater,,4.7,,4.8% or higher,active,2022-12-23 13:39:26,2022-12-23
31,53,43,0,1671802766,0.0,57,47,0,,CPIYOY-23JUN-T4.7,greater,,4.7,,4.8% or higher,active,2022-12-23 13:39:26,2022-12-23
32,53,47,0,1671802766,0.0,53,47,0,,CPIYOY-23JUN-T4.7,greater,,4.7,,4.8% or higher,active,2022-12-23 13:39:26,2022-12-23
33,53,47,0,1671802767,0.0,53,47,0,,CPIYOY-23JUN-T3.3,greater,,3.3,,3.4% or higher,active,2022-12-23 13:39:27,2022-12-23
34,53,45,0,1671802768,0.0,55,47,0,,CPIYOY-23JUN-T4.3,greater,,4.3,,4.4% or higher,active,2022-12-23 13:39:28,2022-12-23
35,55,47,0,1671802769,0.0,53,45,0,,CPIYOY-23JUN-T4.2,greater,,4.2,,4.3% or higher,active,2022-12-23 13:39:29,2022-12-23
36,100,43,0,1671802771,0.0,57,0,0,,CPIYOY-23JUN-T4.4,greater,,4.4,,4.5% or higher,active,2022-12-23 13:39:31,2022-12-23
37,100,45,0,1671802772,0.0,55,0,0,,CPIYOY-23JUN-T3.8,greater,,3.8,,3.9% or higher,active,2022-12-23 13:39:32,2022-12-23
38,55,45,0,1671802772,0.0,55,45,0,,CPIYOY-23JUN-T3.8,greater,,3.8,,3.9% or higher,active,2022-12-23 13:39:32,2022-12-23
39,55,47,0,1671802772,0.0,53,45,0,,CPIYOY-23JUN-T3.8,greater,,3.8,,3.9% or higher,active,2022-12-23 13:39:32,2022-12-23
40,53,47,0,1671802772,0.0,53,47,0,,CPIYOY-23JUN-T3.8,greater,,3.8,,3.9% or higher,active,2022-12-23 13:39:32,2022-12-23
41,57,47,0,1671802775,0.0,53,43,0,,CPIYOY-23JUN-T4.6,greater,,4.6,,4.7% or higher,active,2022-12-23 13:39:35,2022-12-23
42,53,47,0,1671802777,0.0,53,47,0,,CPIYOY-23JUN-T4.1,greater,,4.099999,,4.2% or higher,active,2022-12-23 13:39:37,2022-12-23
43,55,43,0,1671802779,0.0,57,45,0,,CPIYOY-23JUN-T3.9,greater,,3.9,,4.0% or higher,active,2022-12-23 13:39:39,2022-12-23
44,55,47,0,1671802779,0.0,53,45,0,,CPIYOY-23JUN-T3.9,greater,,3.9,,4.0% or higher,active,2022-12-23 13:39:39,2022-12-23
45,53,47,0,1671802779,0.0,53,47,0,,CPIYOY-23JUN-T3.9,greater,,3.9,,4.0% or higher,active,2022-12-23 13:39:39,2022-12-23
46,53,47,0,1671802782,0.0,53,47,0,,CPIYOY-23JUN-T3.5,greater,,3.5,,3.6% or higher,active,2022-12-23 13:39:42,2022-12-23
47,53,47,0,1671802783,0.0,53,47,0,,CPIYOY-23JUN-T4.0,greater,,4.0,,4.1% or higher,active,2022-12-23 13:39:43,2022-12-23
48,53,47,0,1671802784,0.0,53,47,0,,CPIYOY-23JUN-T4.2,greater,,4.2,,4.3% or higher,active,2022-12-23 13:39:44,2022-12-23
49,55,47,0,1671802786,0.0,53,45,0,,CPIYOY-23JUN-T4.6,greater,,4.6,,4.7% or higher,active,2022-12-23 13:39:46,2022-12-23
50,53,47,0,1671802786,0.0,53,47,0,,CPIYOY-23JUN-T4.6,greater,,4.6,,4.7% or higher,active,2022-12-23 13:39:46,2022-12-23
51,100,45,0,1671802788,0.0,55,0,0,,CPIYOY-23JUN-T4.4,greater,,4.4,,4.5% or higher,active,2022-12-23 13:39:48,2022-12-23
52,55,45,0,1671802788,0.0,55,45,0,,CPIYOY-23JUN-T4.4,greater,,4.4,,4.5% or higher,active,2022-12-23 13:39:48,2022-12-23
53,55,47,0,1671802788,0.0,53,45,0,,CPIYOY-23JUN-T4.4,greater,,4.4,,4.5% or higher,active,2022-12-23 13:39:48,2022-12-23
54,100,47,0,1671802788,0.0,53,0,0,,CPIYOY-23JUN-T4.5,greater,,4.5,,4.6% or higher,active,2022-12-23 13:39:48,2022-12-23
55,53,47,0,1671802789,0.0,53,47,0,,CPIYOY-23JUN-T4.4,greater,,4.4,,4.5% or higher,active,2022-12-23 13:39:49,2022-12-23
56,55,47,0,1671802791,0.0,53,45,0,,CPIYOY-23JUN-T4.5,greater,,4.5,,4.6% or higher,active,2022-12-23 13:39:51,2022-12-23
57,53,47,0,1671802792,0.0,53,47,0,,CPIYOY-23JUN-T4.5,greater,,4.5,,4.6% or higher,active,2022-12-23 13:39:52,2022-12-23
58,53,47,0,1671802794,0.0,53,47,0,,CPIYOY-23JUN-T4.3,greater,,4.3,,4.4% or higher,active,2022-12-23 13:39:54,2022-12-23
59,53,45,0,1671973713,0.0,55,47,0,,CPIYOY-23JUN-T4.6,greater,,4.6,,4.7% or higher,active,2022-12-25 13:08:33,2022-12-25
60,55,47,0,1671973719,0.0,53,45,0,,CPIYOY-23JUN-T4.0,greater,,4.0,,4.1% or higher,active,2022-12-25 13:08:39,2022-12-25
61,55,47,0,1671973724,0.0,53,45,0,,CPIYOY-23JUN-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-25 13:08:44,2022-12-25
62,55,45,0,1671973724,0.0,55,45,0,,CPIYOY-23JUN-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-25 13:08:44,2022-12-25
63,100,45,0,1671973725,0.0,55,0,0,,CPIYOY-23JUN-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-25 13:08:45,2022-12-25
64,100,0,0,1671973725,0.0,100,0,0,,CPIYOY-23JUN-T3.4,greater,,3.4,,3.5% or higher,active,2022-12-25 13:08:45,2022-12-25
65,55,47,0,1671973727,0.0,53,45,0,,CPIYOY-23JUN-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-25 13:08:47,2022-12-25
66,57,47,0,1671973727,0.0,53,43,0,,CPIYOY-23JUN-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-25 13:08:47,2022-12-25
67,57,45,0,1671973727,0.0,55,43,0,,CPIYOY-23JUN-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-25 13:08:47,2022-12-25
68,100,45,0,1671973727,0.0,55,0,0,,CPIYOY-23JUN-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-25 13:08:47,2022-12-25
69,100,0,0,1671973728,0.0,100,0,0,,CPIYOY-23JUN-T3.7,greater,,3.7,,3.8% or higher,active,2022-12-25 13:08:48,2022-12-25
70,53,45,0,1671973728,0.0,55,47,0,,CPIYOY-23JUN-T3.9,greater,,3.9,,4.0% or higher,active,2022-12-25 13:08:48,2022-12-25
71,55,47,0,1671973730,0.0,53,45,0,,CPIYOY-23JUN-T4.3,greater,,4.3,,4.4% or higher,active,2022-12-25 13:08:50,2022-12-25
72,53,45,0,1671973731,0.0,55,47,0,,CPIYOY-23JUN-T4.7,greater,,4.7,,4.8% or higher,active,2022-12-25 13:08:51,2022-12-25
73,53,0,0,1671973737,0.0,100,47,0,,CPIYOY-23JUN-T4.4,greater,,4.4,,4.5% or higher,active,2022-12-25 13:08:57,2022-12-25
74,55,43,0,1671973738,0.0,57,45,0,,CPIYOY-23JUN-T4.0,greater,,4.0,,4.1% or higher,active,2022-12-25 13:08:58,2022-12-25
75,53,45,0,1671973738,0.0,55,47,0,,CPIYOY-23JUN-T4.2,greater,,4.2,,4.3% or higher,active,2022-12-25 13:08:58,2022-12-25
76,53,0,0,1671973739,0.0,100,47,0,,CPIYOY-23JUN-T4.7,greater,,4.7,,4.8% or higher,active,2022-12-25 13:08:59,2022-12-25
77,53,0,0,1671973740,0.0,100,47,0,,CPIYOY-23JUN-T3.8,greater,,3.8,,3.9% or higher,active,2022-12-25 13:09:00,2022-12-25
78,53,43,0,1671973740,0.0,57,47,0,,CPIYOY-23JUN-T3.9,greater,,3.9,,4.0% or higher,active,2022-12-25 13:09:00,2022-12-25
79,100,0,0,1671973740,0.0,100,0,0,,CPIYOY-23JUN-T4.7,greater,,4.7,,4.8% or higher,active,2022-12-25 13:09:00,2022-12-25
