,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,53,0,0,1671802753,0.0,100,47,0,,CPIYOY-23SEP-T2.8,greater,,2.9,,2.9% or higher,active,2022-12-23 13:39:13,2022-12-23
1,100,47,0,1671802753,0.0,53,0,0,,CPIYOY-23SEP-T3.2,greater,,3.3,,3.3% or higher,active,2022-12-23 13:39:13,2022-12-23
2,100,45,0,1671802754,0.0,55,0,0,,CPIYOY-23SEP-T3.9,greater,,4.0,,4.0% or higher,active,2022-12-23 13:39:14,2022-12-23
3,53,47,0,1671802756,0.0,53,47,0,,CPIYOY-23SEP-T3.2,greater,,3.3,,3.3% or higher,active,2022-12-23 13:39:16,2022-12-23
4,100,45,0,1671802756,0.0,55,0,0,,CPIYOY-23SEP-T3.4,greater,,3.5,,3.5% or higher,active,2022-12-23 13:39:16,2022-12-23
5,55,45,0,1671802756,0.0,55,45,0,,CPIYOY-23SEP-T3.4,greater,,3.5,,3.5% or higher,active,2022-12-23 13:39:16,2022-12-23
6,100,43,0,1671802758,0.0,57,0,0,,CPIYOY-23SEP-T3.0,greater,,3.1,,3.1% or higher,active,2022-12-23 13:39:18,2022-12-23
7,55,43,0,1671802758,0.0,57,45,0,,CPIYOY-23SEP-T3.0,greater,,3.1,,3.1% or higher,active,2022-12-23 13:39:18,2022-12-23
8,53,47,0,1671802758,0.0,53,47,0,,CPIYOY-23SEP-T3.0,greater,,3.1,,3.1% or higher,active,2022-12-23 13:39:18,2022-12-23
9,100,47,0,1671802758,0.0,53,0,0,,CPIYOY-23SEP-T3.6,greater,,3.7,,3.7% or higher,active,2022-12-23 13:39:18,2022-12-23
10,53,45,0,1671802760,0.0,55,47,0,,CPIYOY-23SEP-T3.4,greater,,3.5,,3.5% or higher,active,2022-12-23 13:39:20,2022-12-23
11,57,45,0,1671802762,0.0,55,43,0,,CPIYOY-23SEP-T3.9,greater,,4.0,,4.0% or higher,active,2022-12-23 13:39:22,2022-12-23
12,55,45,0,1671802763,0.0,55,45,0,,CPIYOY-23SEP-T3.9,greater,,4.0,,4.0% or higher,active,2022-12-23 13:39:23,2022-12-23
13,100,47,0,1671802764,0.0,53,0,0,,CPIYOY-23SEP-T2.6,greater,,2.7,,2.7% or higher,active,2022-12-23 13:39:24,2022-12-23
14,53,45,0,1671802764,0.0,55,47,0,,CPIYOY-23SEP-T3.9,greater,,4.0,,4.0% or higher,active,2022-12-23 13:39:24,2022-12-23
15,100,43,0,1671802765,0.0,57,0,0,,CPIYOY-23SEP-T3.5,greater,,3.6,,3.6% or higher,active,2022-12-23 13:39:25,2022-12-23
16,100,47,0,1671802766,0.0,53,0,0,,CPIYOY-23SEP-T2.7,greater,,2.8,,2.8% or higher,active,2022-12-23 13:39:26,2022-12-23
17,53,47,0,1671802766,0.0,53,47,0,,CPIYOY-23SEP-T3.9,greater,,4.0,,4.0% or higher,active,2022-12-23 13:39:26,2022-12-23
18,100,45,0,1671802766,0.0,55,0,0,,CPIYOY-23SEP-T4.0,greater,,4.1,,4.1% or higher,active,2022-12-23 13:39:26,2022-12-23
19,57,45,0,1671802766,0.0,55,43,0,,CPIYOY-23SEP-T4.0,greater,,4.1,,4.1% or higher,active,2022-12-23 13:39:26,2022-12-23
20,100,43,0,1671802767,0.0,57,0,0,,CPIYOY-23SEP-T3.7,greater,,3.8,,3.8% or higher,active,2022-12-23 13:39:27,2022-12-23
21,100,45,0,1671802767,0.0,55,0,0,,CPIYOY-23SEP-T3.8,greater,,3.9,,3.9% or higher,active,2022-12-23 13:39:27,2022-12-23
22,100,47,0,1671802767,0.0,53,0,0,,CPIYOY-23SEP-T3.8,greater,,3.9,,3.9% or higher,active,2022-12-23 13:39:27,2022-12-23
23,53,47,0,1671802767,0.0,53,47,0,,CPIYOY-23SEP-T3.8,greater,,3.9,,3.9% or higher,active,2022-12-23 13:39:27,2022-12-23
24,57,47,0,1671802767,0.0,53,43,0,,CPIYOY-23SEP-T4.0,greater,,4.1,,4.1% or higher,active,2022-12-23 13:39:27,2022-12-23
25,53,47,0,1671802767,0.0,53,47,0,,CPIYOY-23SEP-T4.0,greater,,4.1,,4.1% or higher,active,2022-12-23 13:39:27,2022-12-23
26,53,47,0,1671802771,0.0,53,47,0,,CPIYOY-23SEP-T2.8,greater,,2.9,,2.9% or higher,active,2022-12-23 13:39:31,2022-12-23
27,100,45,0,1671802771,0.0,55,0,0,,CPIYOY-23SEP-T3.1,greater,,3.2,,3.2% or higher,active,2022-12-23 13:39:31,2022-12-23
28,53,47,0,1671802771,0.0,53,47,0,,CPIYOY-23SEP-T3.4,greater,,3.5,,3.5% or higher,active,2022-12-23 13:39:31,2022-12-23
29,55,47,0,1671802771,0.0,53,45,0,,CPIYOY-23SEP-T3.6,greater,,3.7,,3.7% or higher,active,2022-12-23 13:39:31,2022-12-23
30,55,43,0,1671802773,0.0,57,45,0,,CPIYOY-23SEP-T3.7,greater,,3.8,,3.8% or higher,active,2022-12-23 13:39:33,2022-12-23
31,100,47,0,1671802775,0.0,53,0,0,,CPIYOY-23SEP-T3.5,greater,,3.6,,3.6% or higher,active,2022-12-23 13:39:35,2022-12-23
32,55,47,0,1671802777,0.0,53,45,0,,CPIYOY-23SEP-T2.7,greater,,2.8,,2.8% or higher,active,2022-12-23 13:39:37,2022-12-23
33,53,47,0,1671802777,0.0,53,47,0,,CPIYOY-23SEP-T2.7,greater,,2.8,,2.8% or higher,active,2022-12-23 13:39:37,2022-12-23
34,53,43,0,1671802781,0.0,57,47,0,,CPIYOY-23SEP-T3.7,greater,,3.8,,3.8% or higher,active,2022-12-23 13:39:41,2022-12-23
35,53,47,0,1671802782,0.0,53,47,0,,CPIYOY-23SEP-T2.6,greater,,2.7,,2.7% or higher,active,2022-12-23 13:39:42,2022-12-23
36,57,47,0,1671802782,0.0,53,43,0,,CPIYOY-23SEP-T3.5,greater,,3.6,,3.6% or higher,active,2022-12-23 13:39:42,2022-12-23
37,55,0,0,1671802783,0.0,100,45,0,,CPIYOY-23SEP-T2.9,greater,,3.0,,3.0% or higher,active,2022-12-23 13:39:43,2022-12-23
38,55,0,0,1671802786,0.0,100,45,0,,CPIYOY-23SEP-T3.3,greater,,3.4,,3.4% or higher,active,2022-12-23 13:39:46,2022-12-23
39,57,45,0,1671802789,0.0,55,43,0,,CPIYOY-23SEP-T3.1,greater,,3.2,,3.2% or higher,active,2022-12-23 13:39:49,2022-12-23
40,55,45,0,1671802789,0.0,55,45,0,,CPIYOY-23SEP-T3.1,greater,,3.2,,3.2% or higher,active,2022-12-23 13:39:49,2022-12-23
41,55,47,0,1671802790,0.0,53,45,0,,CPIYOY-23SEP-T3.1,greater,,3.2,,3.2% or higher,active,2022-12-23 13:39:50,2022-12-23
42,53,47,0,1671802790,0.0,53,47,0,,CPIYOY-23SEP-T3.7,greater,,3.8,,3.8% or higher,active,2022-12-23 13:39:50,2022-12-23
43,55,45,0,1671802792,0.0,55,45,0,,CPIYOY-23SEP-T2.9,greater,,3.0,,3.0% or higher,active,2022-12-23 13:39:52,2022-12-23
44,55,47,0,1671802792,0.0,53,45,0,,CPIYOY-23SEP-T2.9,greater,,3.0,,3.0% or higher,active,2022-12-23 13:39:52,2022-12-23
45,53,47,0,1671802792,0.0,53,47,0,,CPIYOY-23SEP-T3.1,greater,,3.2,,3.2% or higher,active,2022-12-23 13:39:52,2022-12-23
46,55,43,0,1671802792,0.0,57,45,0,,CPIYOY-23SEP-T3.3,greater,,3.4,,3.4% or higher,active,2022-12-23 13:39:52,2022-12-23
47,53,47,0,1671802792,0.0,53,47,0,,CPIYOY-23SEP-T3.5,greater,,3.6,,3.6% or higher,active,2022-12-23 13:39:52,2022-12-23
48,53,43,0,1671802794,0.0,57,47,0,,CPIYOY-23SEP-T3.3,greater,,3.4,,3.4% or higher,active,2022-12-23 13:39:54,2022-12-23
49,53,47,0,1671802794,0.0,53,47,0,,CPIYOY-23SEP-T3.3,greater,,3.4,,3.4% or higher,active,2022-12-23 13:39:54,2022-12-23
50,53,47,0,1671802795,0.0,53,47,0,,CPIYOY-23SEP-T2.9,greater,,3.0,,3.0% or higher,active,2022-12-23 13:39:55,2022-12-23
51,55,47,0,1671973714,0.0,53,45,0,,CPIYOY-23SEP-T2.7,greater,,2.8,,2.8% or higher,active,2022-12-25 13:08:34,2022-12-25
52,100,47,0,1671973715,0.0,53,0,0,,CPIYOY-23SEP-T3.0,greater,,3.1,,3.1% or higher,active,2022-12-25 13:08:35,2022-12-25
53,100,45,0,1671973715,0.0,55,0,0,,CPIYOY-23SEP-T3.0,greater,,3.1,,3.1% or higher,active,2022-12-25 13:08:35,2022-12-25
54,100,0,0,1671973715,0.0,100,0,0,,CPIYOY-23SEP-T3.0,greater,,3.1,,3.1% or higher,active,2022-12-25 13:08:35,2022-12-25
55,55,45,0,1671973722,0.0,55,45,0,,CPIYOY-23SEP-T2.7,greater,,2.8,,2.8% or higher,active,2022-12-25 13:08:42,2022-12-25
56,53,43,0,1671973726,0.0,57,47,0,,CPIYOY-23SEP-T3.4,greater,,3.5,,3.5% or higher,active,2022-12-25 13:08:46,2022-12-25
57,55,47,0,1671973728,0.0,53,45,0,,CPIYOY-23SEP-T3.3,greater,,3.4,,3.4% or higher,active,2022-12-25 13:08:48,2022-12-25
58,53,45,0,1671973729,0.0,55,47,0,,CPIYOY-23SEP-T2.8,greater,,2.9,,2.9% or higher,active,2022-12-25 13:08:49,2022-12-25
59,100,47,0,1671973731,0.0,53,0,0,,CPIYOY-23SEP-T3.8,greater,,3.9,,3.9% or higher,active,2022-12-25 13:08:51,2022-12-25
60,53,0,0,1671973732,0.0,100,47,0,,CPIYOY-23SEP-T3.7,greater,,3.8,,3.8% or higher,active,2022-12-25 13:08:52,2022-12-25
61,100,0,0,1671973732,0.0,100,0,0,,CPIYOY-23SEP-T3.7,greater,,3.8,,3.8% or higher,active,2022-12-25 13:08:52,2022-12-25
62,100,0,0,1671973734,0.0,100,0,0,,CPIYOY-23SEP-T3.8,greater,,3.9,,3.9% or higher,active,2022-12-25 13:08:54,2022-12-25
63,55,47,0,1671973734,0.0,53,45,0,,CPIYOY-23SEP-T3.9,greater,,4.0,,4.0% or higher,active,2022-12-25 13:08:54,2022-12-25
64,55,0,0,1671973734,0.0,100,45,0,,CPIYOY-23SEP-T3.9,greater,,4.0,,4.0% or higher,active,2022-12-25 13:08:54,2022-12-25
65,53,45,0,1671973736,0.0,55,47,0,,CPIYOY-23SEP-T4.0,greater,,4.1,,4.1% or higher,active,2022-12-25 13:08:56,2022-12-25
66,57,45,0,1671973736,0.0,55,43,0,,CPIYOY-23SEP-T4.0,greater,,4.1,,4.1% or higher,active,2022-12-25 13:08:56,2022-12-25
67,100,45,0,1671973736,0.0,55,0,0,,CPIYOY-23SEP-T4.0,greater,,4.1,,4.1% or higher,active,2022-12-25 13:08:56,2022-12-25
68,100,0,0,1671973736,0.0,100,0,0,,CPIYOY-23SEP-T4.0,greater,,4.1,,4.1% or higher,active,2022-12-25 13:08:56,2022-12-25
69,53,43,0,1671973737,0.0,57,47,0,,CPIYOY-23SEP-T2.8,greater,,2.9,,2.9% or higher,active,2022-12-25 13:08:57,2022-12-25
70,53,0,0,1671973737,0.0,100,47,0,,CPIYOY-23SEP-T2.8,greater,,2.9,,2.9% or higher,active,2022-12-25 13:08:57,2022-12-25
71,55,0,0,1671973737,0.0,100,45,0,,CPIYOY-23SEP-T2.8,greater,,2.9,,2.9% or higher,active,2022-12-25 13:08:57,2022-12-25
72,100,0,0,1671973737,0.0,100,0,0,,CPIYOY-23SEP-T2.8,greater,,2.9,,2.9% or higher,active,2022-12-25 13:08:57,2022-12-25
73,100,0,0,1671973737,0.0,100,0,0,,CPIYOY-23SEP-T3.9,greater,,4.0,,4.0% or higher,active,2022-12-25 13:08:57,2022-12-25
74,100,47,0,1671973738,0.0,53,0,0,,CPIYOY-23SEP-T2.9,greater,,3.0,,3.0% or higher,active,2022-12-25 13:08:58,2022-12-25
75,100,0,0,1671973740,0.0,100,0,0,,CPIYOY-23SEP-T2.9,greater,,3.0,,3.0% or higher,active,2022-12-25 13:09:00,2022-12-25
76,53,0,0,1671973740,0.0,100,47,0,,CPIYOY-23SEP-T3.6,greater,,3.7,,3.7% or higher,active,2022-12-25 13:09:00,2022-12-25
77,100,0,0,1671973740,0.0,100,0,0,,CPIYOY-23SEP-T3.6,greater,,3.7,,3.7% or higher,active,2022-12-25 13:09:00,2022-12-25
78,53,0,0,1671973741,0.0,100,47,0,,CPIYOY-23SEP-T2.6,greater,,2.7,,2.7% or higher,active,2022-12-25 13:09:01,2022-12-25
79,100,45,0,1671973747,0.0,55,0,0,,CPIYOY-23SEP-T2.7,greater,,2.8,,2.8% or higher,active,2022-12-25 13:09:07,2022-12-25
80,100,43,0,1671973747,0.0,57,0,0,,CPIYOY-23SEP-T2.7,greater,,2.8,,2.8% or higher,active,2022-12-25 13:09:07,2022-12-25
81,100,0,0,1671973747,0.0,100,0,0,,CPIYOY-23SEP-T2.7,greater,,2.8,,2.8% or higher,active,2022-12-25 13:09:07,2022-12-25
82,55,43,0,1671973749,0.0,57,45,0,,CPIYOY-23SEP-T3.4,greater,,3.5,,3.5% or higher,active,2022-12-25 13:09:09,2022-12-25
83,55,47,0,1671973750,0.0,53,45,0,,CPIYOY-23SEP-T3.2,greater,,3.3,,3.3% or higher,active,2022-12-25 13:09:10,2022-12-25
84,100,47,0,1671973750,0.0,53,0,0,,CPIYOY-23SEP-T3.2,greater,,3.3,,3.3% or higher,active,2022-12-25 13:09:10,2022-12-25
85,100,0,0,1671973750,0.0,100,0,0,,CPIYOY-23SEP-T3.2,greater,,3.3,,3.3% or higher,active,2022-12-25 13:09:10,2022-12-25
86,55,43,0,1671973751,0.0,57,45,0,,CPIYOY-23SEP-T3.3,greater,,3.4,,3.4% or higher,active,2022-12-25 13:09:11,2022-12-25
87,53,0,0,1671973752,0.0,100,47,0,,CPIYOY-23SEP-T3.1,greater,,3.2,,3.2% or higher,active,2022-12-25 13:09:12,2022-12-25
88,100,0,0,1671973752,0.0,100,0,0,,CPIYOY-23SEP-T3.1,greater,,3.2,,3.2% or higher,active,2022-12-25 13:09:12,2022-12-25
89,55,0,0,1671973752,0.0,100,45,0,,CPIYOY-23SEP-T3.3,greater,,3.4,,3.4% or higher,active,2022-12-25 13:09:12,2022-12-25
90,55,0,0,1671973754,0.0,100,45,0,,CPIYOY-23SEP-T3.4,greater,,3.5,,3.5% or higher,active,2022-12-25 13:09:14,2022-12-25
