,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,42,0,0,1649167871,0.0,100,58,0,,EURO-22APR08-T1.10,between,1.11,1.09,,Between 1.09 and 1.11,finalized,2022-04-05 14:11:11,2022-04-05
1,41,0,0,1649167871,0.0,100,59,0,,EURO-22APR08-T1.10,between,1.11,1.09,,Between 1.09 and 1.11,finalized,2022-04-05 14:11:11,2022-04-05
2,40,0,0,1649167871,0.0,100,60,0,,EURO-22APR08-T1.10,between,1.11,1.09,,Between 1.09 and 1.11,finalized,2022-04-05 14:11:11,2022-04-05
3,39,0,0,1649167871,0.0,100,61,0,,EURO-22APR08-T1.10,between,1.11,1.09,,Between 1.09 and 1.11,finalized,2022-04-05 14:11:11,2022-04-05
4,38,0,0,1649167871,0.0,100,62,0,,EURO-22APR08-T1.10,between,1.11,1.09,,Between 1.09 and 1.11,finalized,2022-04-05 14:11:11,2022-04-05
5,38,34,0,1649167871,0.0,66,62,0,,EURO-22APR08-T1.10,between,1.11,1.09,,Between 1.09 and 1.11,finalized,2022-04-05 14:11:11,2022-04-05
6,38,34,0,1649167871,0.0,66,62,0,,EURO-22APR08-T1.10,between,1.11,1.09,,Between 1.09 and 1.11,finalized,2022-04-05 14:11:11,2022-04-05
7,38,34,0,1649167871,0.0,66,62,0,,EURO-22APR08-T1.10,between,1.11,1.09,,Between 1.09 and 1.11,finalized,2022-04-05 14:11:11,2022-04-05
8,38,34,0,1649167871,0.0,66,62,0,,EURO-22APR08-T1.10,between,1.11,1.09,,Between 1.09 and 1.11,finalized,2022-04-05 14:11:11,2022-04-05
9,38,34,0,1649167871,0.0,66,62,0,,EURO-22APR08-T1.10,between,1.11,1.09,,Between 1.09 and 1.11,finalized,2022-04-05 14:11:11,2022-04-05
10,95,0,0,1649167874,0.0,100,5,0,,EURO-22APR08-T1.11,greater,,1.11,,>1.11,finalized,2022-04-05 14:11:14,2022-04-05
11,94,0,0,1649167874,0.0,100,6,0,,EURO-22APR08-T1.11,greater,,1.11,,>1.11,finalized,2022-04-05 14:11:14,2022-04-05
12,93,0,0,1649167874,0.0,100,7,0,,EURO-22APR08-T1.11,greater,,1.11,,>1.11,finalized,2022-04-05 14:11:14,2022-04-05
13,81,0,0,1649167875,0.0,100,19,0,,EURO-22APR08-T1.09,less,1.09,,,<1.09,finalized,2022-04-05 14:11:15,2022-04-05
14,80,0,0,1649167875,0.0,100,20,0,,EURO-22APR08-T1.09,less,1.09,,,<1.09,finalized,2022-04-05 14:11:15,2022-04-05
15,79,0,0,1649167875,0.0,100,21,0,,EURO-22APR08-T1.09,less,1.09,,,<1.09,finalized,2022-04-05 14:11:15,2022-04-05
16,78,0,0,1649167875,0.0,100,22,0,,EURO-22APR08-T1.09,less,1.09,,,<1.09,finalized,2022-04-05 14:11:15,2022-04-05
17,77,0,0,1649167875,0.0,100,23,0,,EURO-22APR08-T1.09,less,1.09,,,<1.09,finalized,2022-04-05 14:11:15,2022-04-05
18,77,73,0,1649167875,0.0,27,23,0,,EURO-22APR08-T1.09,less,1.09,,,<1.09,finalized,2022-04-05 14:11:15,2022-04-05
19,77,73,0,1649167875,0.0,27,23,0,,EURO-22APR08-T1.09,less,1.09,,,<1.09,finalized,2022-04-05 14:11:15,2022-04-05
20,77,73,0,1649167875,0.0,27,23,0,,EURO-22APR08-T1.09,less,1.09,,,<1.09,finalized,2022-04-05 14:11:15,2022-04-05
21,77,73,0,1649167875,0.0,27,23,0,,EURO-22APR08-T1.09,less,1.09,,,<1.09,finalized,2022-04-05 14:11:15,2022-04-05
22,77,73,0,1649167875,0.0,27,23,0,,EURO-22APR08-T1.09,less,1.09,,,<1.09,finalized,2022-04-05 14:11:15,2022-04-05
23,92,0,0,1649167875,0.0,100,8,0,,EURO-22APR08-T1.11,greater,,1.11,,>1.11,finalized,2022-04-05 14:11:15,2022-04-05
24,91,0,0,1649167875,0.0,100,9,0,,EURO-22APR08-T1.11,greater,,1.11,,>1.11,finalized,2022-04-05 14:11:15,2022-04-05
25,91,88,0,1649167875,0.0,12,9,0,,EURO-22APR08-T1.11,greater,,1.11,,>1.11,finalized,2022-04-05 14:11:15,2022-04-05
26,91,88,0,1649167875,0.0,12,9,0,,EURO-22APR08-T1.11,greater,,1.11,,>1.11,finalized,2022-04-05 14:11:15,2022-04-05
27,91,88,0,1649167875,0.0,12,9,0,,EURO-22APR08-T1.11,greater,,1.11,,>1.11,finalized,2022-04-05 14:11:15,2022-04-05
28,91,88,0,1649167875,0.0,12,9,0,,EURO-22APR08-T1.11,greater,,1.11,,>1.11,finalized,2022-04-05 14:11:15,2022-04-05
29,91,88,0,1649167875,0.0,12,9,0,,EURO-22APR08-T1.11,greater,,1.11,,>1.11,finalized,2022-04-05 14:11:15,2022-04-05
30,77,73,0,1649171114,0.0,27,23,0,,EURO-22APR08-T1.09,less,1.09,,,<1.09,finalized,2022-04-05 15:05:14,2022-04-05
31,77,73,0,1649171114,0.0,27,23,0,,EURO-22APR08-T1.09,less,1.09,,,<1.09,finalized,2022-04-05 15:05:14,2022-04-05
