,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,59,0,0,1656425794,0.0,100,41,0,,EURO-22JUL01-B1.055,between,1.06,1.05,,1.05-1.06,finalized,2022-06-28 14:16:34,2022-06-28
1,58,0,0,1656425794,0.0,100,42,0,,EURO-22JUL01-B1.055,between,1.06,1.05,,1.05-1.06,finalized,2022-06-28 14:16:34,2022-06-28
2,57,0,0,1656425795,0.0,100,43,0,,EURO-22JUL01-B1.055,between,1.06,1.05,,1.05-1.06,finalized,2022-06-28 14:16:35,2022-06-28
3,57,52,0,1656425795,0.0,48,43,0,,EURO-22JUL01-B1.055,between,1.06,1.05,,1.05-1.06,finalized,2022-06-28 14:16:35,2022-06-28
4,57,52,0,1656425795,0.0,48,43,0,,EURO-22JUL01-B1.055,between,1.06,1.05,,1.05-1.06,finalized,2022-06-28 14:16:35,2022-06-28
5,57,52,0,1656425795,0.0,48,43,0,,EURO-22JUL01-B1.055,between,1.06,1.05,,1.05-1.06,finalized,2022-06-28 14:16:35,2022-06-28
6,67,0,0,1656425795,0.0,100,33,0,,EURO-22JUL01-T1.05,less,1.05,,,<1.05,finalized,2022-06-28 14:16:35,2022-06-28
7,66,0,0,1656425795,0.0,100,34,0,,EURO-22JUL01-T1.05,less,1.05,,,<1.05,finalized,2022-06-28 14:16:35,2022-06-28
8,65,0,0,1656425795,0.0,100,35,0,,EURO-22JUL01-T1.05,less,1.05,,,<1.05,finalized,2022-06-28 14:16:35,2022-06-28
9,65,60,0,1656425795,0.0,40,35,0,,EURO-22JUL01-T1.05,less,1.05,,,<1.05,finalized,2022-06-28 14:16:35,2022-06-28
10,65,60,0,1656425795,0.0,40,35,0,,EURO-22JUL01-T1.05,less,1.05,,,<1.05,finalized,2022-06-28 14:16:35,2022-06-28
11,65,60,0,1656425795,0.0,40,35,0,,EURO-22JUL01-T1.05,less,1.05,,,<1.05,finalized,2022-06-28 14:16:35,2022-06-28
12,88,0,0,1656425795,0.0,100,12,0,,EURO-22JUL01-T1.06,greater,,1.06,,>1.06,finalized,2022-06-28 14:16:35,2022-06-28
13,87,0,0,1656425796,0.0,100,13,0,,EURO-22JUL01-T1.06,greater,,1.06,,>1.06,finalized,2022-06-28 14:16:36,2022-06-28
14,86,0,0,1656425796,0.0,100,14,0,,EURO-22JUL01-T1.06,greater,,1.06,,>1.06,finalized,2022-06-28 14:16:36,2022-06-28
15,86,82,0,1656425796,0.0,18,14,0,,EURO-22JUL01-T1.06,greater,,1.06,,>1.06,finalized,2022-06-28 14:16:36,2022-06-28
16,86,82,0,1656425796,0.0,18,14,0,,EURO-22JUL01-T1.06,greater,,1.06,,>1.06,finalized,2022-06-28 14:16:36,2022-06-28
17,86,82,0,1656425796,0.0,18,14,0,,EURO-22JUL01-T1.06,greater,,1.06,,>1.06,finalized,2022-06-28 14:16:36,2022-06-28
18,57,52,0,1656425871,0.0,48,43,0,,EURO-22JUL01-B1.055,between,1.06,1.05,,1.05-1.06,finalized,2022-06-28 14:17:51,2022-06-28
19,57,51,0,1656425871,0.0,49,43,0,,EURO-22JUL01-B1.055,between,1.06,1.05,,1.05-1.06,finalized,2022-06-28 14:17:51,2022-06-28
20,57,51,0,1656425871,0.0,49,43,0,,EURO-22JUL01-B1.055,between,1.06,1.05,,1.05-1.06,finalized,2022-06-28 14:17:51,2022-06-28
21,56,51,0,1656425871,0.0,49,44,0,,EURO-22JUL01-B1.055,between,1.06,1.05,,1.05-1.06,finalized,2022-06-28 14:17:51,2022-06-28
22,56,51,0,1656425871,0.0,49,44,0,,EURO-22JUL01-B1.055,between,1.06,1.05,,1.05-1.06,finalized,2022-06-28 14:17:51,2022-06-28
23,65,60,0,1656425871,0.0,40,35,0,,EURO-22JUL01-T1.05,less,1.05,,,<1.05,finalized,2022-06-28 14:17:51,2022-06-28
24,65,60,0,1656425871,0.0,40,35,0,,EURO-22JUL01-T1.05,less,1.05,,,<1.05,finalized,2022-06-28 14:17:51,2022-06-28
25,86,82,0,1656425871,0.0,18,14,0,,EURO-22JUL01-T1.06,greater,,1.06,,>1.06,finalized,2022-06-28 14:17:51,2022-06-28
26,86,82,0,1656425871,0.0,18,14,0,,EURO-22JUL01-T1.06,greater,,1.06,,>1.06,finalized,2022-06-28 14:17:51,2022-06-28
