,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,89,0,0,1654611338,0.0,100,11,0,,EURO-22JUN10-T1.060,less,1.06,,,<1.060,finalized,2022-06-07 14:15:38,2022-06-07
1,88,0,0,1654611338,0.0,100,12,0,,EURO-22JUN10-T1.060,less,1.06,,,<1.060,finalized,2022-06-07 14:15:38,2022-06-07
2,87,0,0,1654611338,0.0,100,13,0,,EURO-22JUN10-T1.060,less,1.06,,,<1.060,finalized,2022-06-07 14:15:38,2022-06-07
3,87,84,0,1654611338,0.0,16,13,0,,EURO-22JUN10-T1.060,less,1.06,,,<1.060,finalized,2022-06-07 14:15:38,2022-06-07
4,87,84,0,1654611338,0.0,16,13,0,,EURO-22JUN10-T1.060,less,1.06,,,<1.060,finalized,2022-06-07 14:15:38,2022-06-07
5,87,84,0,1654611338,0.0,16,13,0,,EURO-22JUN10-T1.060,less,1.06,,,<1.060,finalized,2022-06-07 14:15:38,2022-06-07
6,67,0,0,1654611338,0.0,100,33,0,,EURO-22JUN10-T1.070,greater,,1.07,,>1.070,finalized,2022-06-07 14:15:38,2022-06-07
7,66,0,0,1654611338,0.0,100,34,0,,EURO-22JUN10-T1.070,greater,,1.07,,>1.070,finalized,2022-06-07 14:15:38,2022-06-07
8,65,0,0,1654611338,0.0,100,35,0,,EURO-22JUN10-T1.070,greater,,1.07,,>1.070,finalized,2022-06-07 14:15:38,2022-06-07
9,65,61,0,1654611338,0.0,39,35,0,,EURO-22JUN10-T1.070,greater,,1.07,,>1.070,finalized,2022-06-07 14:15:38,2022-06-07
10,65,61,0,1654611338,0.0,39,35,0,,EURO-22JUN10-T1.070,greater,,1.07,,>1.070,finalized,2022-06-07 14:15:38,2022-06-07
11,65,61,0,1654611338,0.0,39,35,0,,EURO-22JUN10-T1.070,greater,,1.07,,>1.070,finalized,2022-06-07 14:15:38,2022-06-07
12,87,83,0,1654611450,0.0,17,13,0,,EURO-22JUN10-T1.060,less,1.06,,,<1.060,finalized,2022-06-07 14:17:30,2022-06-07
13,87,83,0,1654611450,0.0,17,13,0,,EURO-22JUN10-T1.060,less,1.06,,,<1.060,finalized,2022-06-07 14:17:30,2022-06-07
14,87,83,0,1654611450,0.0,17,13,0,,EURO-22JUN10-T1.060,less,1.06,,,<1.060,finalized,2022-06-07 14:17:30,2022-06-07
15,87,83,0,1654611450,0.0,17,13,0,,EURO-22JUN10-T1.060,less,1.06,,,<1.060,finalized,2022-06-07 14:17:30,2022-06-07
16,66,61,0,1654611451,0.0,39,34,0,,EURO-22JUN10-T1.070,greater,,1.07,,>1.070,finalized,2022-06-07 14:17:31,2022-06-07
17,66,61,0,1654611451,0.0,39,34,0,,EURO-22JUN10-T1.070,greater,,1.07,,>1.070,finalized,2022-06-07 14:17:31,2022-06-07
18,66,61,0,1654611451,0.0,39,34,0,,EURO-22JUN10-T1.070,greater,,1.07,,>1.070,finalized,2022-06-07 14:17:31,2022-06-07
19,66,61,0,1654611451,0.0,39,34,0,,EURO-22JUN10-T1.070,greater,,1.07,,>1.070,finalized,2022-06-07 14:17:31,2022-06-07
