,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,98,0,0,1647528561,0.0,100,2,0,,EURO-22MAR25-T1.13,greater,,1.13,,>1.13,finalized,2022-03-17 14:49:21,2022-03-17
1,97,0,0,1647528561,0.0,100,3,0,,EURO-22MAR25-T1.13,greater,,1.13,,>1.13,finalized,2022-03-17 14:49:21,2022-03-17
2,96,0,0,1647528561,0.0,100,4,0,,EURO-22MAR25-T1.13,greater,,1.13,,>1.13,finalized,2022-03-17 14:49:21,2022-03-17
3,95,0,0,1647528561,0.0,100,5,0,,EURO-22MAR25-T1.13,greater,,1.13,,>1.13,finalized,2022-03-17 14:49:21,2022-03-17
4,94,0,0,1647528561,0.0,100,6,0,,EURO-22MAR25-T1.13,greater,,1.13,,>1.13,finalized,2022-03-17 14:49:21,2022-03-17
5,94,91,0,1647528562,0.0,9,6,0,,EURO-22MAR25-T1.13,greater,,1.13,,>1.13,finalized,2022-03-17 14:49:22,2022-03-17
6,94,91,0,1647528562,0.0,9,6,0,,EURO-22MAR25-T1.13,greater,,1.13,,>1.13,finalized,2022-03-17 14:49:22,2022-03-17
7,94,91,0,1647528562,0.0,9,6,0,,EURO-22MAR25-T1.13,greater,,1.13,,>1.13,finalized,2022-03-17 14:49:22,2022-03-17
8,94,91,0,1647528562,0.0,9,6,0,,EURO-22MAR25-T1.13,greater,,1.13,,>1.13,finalized,2022-03-17 14:49:22,2022-03-17
9,94,91,0,1647528562,0.0,9,6,0,,EURO-22MAR25-T1.13,greater,,1.13,,>1.13,finalized,2022-03-17 14:49:22,2022-03-17
10,18,0,0,1647528564,0.0,100,82,0,,EURO-22MAR25-B1.105,between,1.13,1.08,,Between 1.08 and 1.13,finalized,2022-03-17 14:49:24,2022-03-17
11,17,0,0,1647528564,0.0,100,83,0,,EURO-22MAR25-B1.105,between,1.13,1.08,,Between 1.08 and 1.13,finalized,2022-03-17 14:49:24,2022-03-17
12,16,0,0,1647528564,0.0,100,84,0,,EURO-22MAR25-B1.105,between,1.13,1.08,,Between 1.08 and 1.13,finalized,2022-03-17 14:49:24,2022-03-17
13,15,0,0,1647528564,0.0,100,85,0,,EURO-22MAR25-B1.105,between,1.13,1.08,,Between 1.08 and 1.13,finalized,2022-03-17 14:49:24,2022-03-17
14,14,0,0,1647528564,0.0,100,86,0,,EURO-22MAR25-B1.105,between,1.13,1.08,,Between 1.08 and 1.13,finalized,2022-03-17 14:49:24,2022-03-17
