,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,93,0,0,1652191644,0.0,100,7,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:07:24,2022-05-10
1,92,0,0,1652191644,0.0,100,8,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:07:24,2022-05-10
2,91,0,0,1652191644,0.0,100,9,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:07:24,2022-05-10
3,91,88,0,1652191644,0.0,12,9,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:07:24,2022-05-10
4,91,88,0,1652191644,0.0,12,9,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:07:24,2022-05-10
5,91,88,0,1652191644,0.0,12,9,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:07:24,2022-05-10
6,74,0,0,1652191648,0.0,100,26,0,,EURO-22MAY13-T1.06,greater,,1.06,,>1.06,finalized,2022-05-10 14:07:28,2022-05-10
7,73,0,0,1652191649,0.0,100,27,0,,EURO-22MAY13-T1.06,greater,,1.06,,>1.06,finalized,2022-05-10 14:07:29,2022-05-10
8,72,0,0,1652191649,0.0,100,28,0,,EURO-22MAY13-T1.06,greater,,1.06,,>1.06,finalized,2022-05-10 14:07:29,2022-05-10
9,72,69,0,1652191649,0.0,31,28,0,,EURO-22MAY13-T1.06,greater,,1.06,,>1.06,finalized,2022-05-10 14:07:29,2022-05-10
10,72,69,0,1652191649,0.0,31,28,0,,EURO-22MAY13-T1.06,greater,,1.06,,>1.06,finalized,2022-05-10 14:07:29,2022-05-10
11,72,69,0,1652191649,0.0,31,28,0,,EURO-22MAY13-T1.06,greater,,1.06,,>1.06,finalized,2022-05-10 14:07:29,2022-05-10
12,44,0,0,1652191653,0.0,100,56,0,,EURO-22MAY13-B1.05,between,1.06,1.04,,Between 1.04 and 1.06,finalized,2022-05-10 14:07:33,2022-05-10
13,43,0,0,1652191653,0.0,100,57,0,,EURO-22MAY13-B1.05,between,1.06,1.04,,Between 1.04 and 1.06,finalized,2022-05-10 14:07:33,2022-05-10
14,42,0,0,1652191653,0.0,100,58,0,,EURO-22MAY13-B1.05,between,1.06,1.04,,Between 1.04 and 1.06,finalized,2022-05-10 14:07:33,2022-05-10
15,42,38,0,1652191653,0.0,62,58,0,,EURO-22MAY13-B1.05,between,1.06,1.04,,Between 1.04 and 1.06,finalized,2022-05-10 14:07:33,2022-05-10
16,42,38,0,1652191653,0.0,62,58,0,,EURO-22MAY13-B1.05,between,1.06,1.04,,Between 1.04 and 1.06,finalized,2022-05-10 14:07:33,2022-05-10
17,42,38,0,1652191653,0.0,62,58,0,,EURO-22MAY13-B1.05,between,1.06,1.04,,Between 1.04 and 1.06,finalized,2022-05-10 14:07:33,2022-05-10
18,91,88,0,1652191705,0.0,12,9,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:08:25,2022-05-10
19,92,88,0,1652191705,0.0,12,8,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:08:25,2022-05-10
20,92,88,0,1652191705,0.0,12,8,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:08:25,2022-05-10
21,92,88,0,1652191705,0.0,12,8,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:08:25,2022-05-10
22,91,88,0,1652191706,0.0,12,9,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:08:26,2022-05-10
23,91,88,0,1652191706,0.0,12,9,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:08:26,2022-05-10
24,72,69,0,1652191709,0.0,31,28,0,,EURO-22MAY13-T1.06,greater,,1.06,,>1.06,finalized,2022-05-10 14:08:29,2022-05-10
25,72,69,0,1652191709,0.0,31,28,0,,EURO-22MAY13-T1.06,greater,,1.06,,>1.06,finalized,2022-05-10 14:08:29,2022-05-10
26,73,69,0,1652191709,0.0,31,27,0,,EURO-22MAY13-T1.06,greater,,1.06,,>1.06,finalized,2022-05-10 14:08:29,2022-05-10
27,73,68,0,1652191709,0.0,32,27,0,,EURO-22MAY13-T1.06,greater,,1.06,,>1.06,finalized,2022-05-10 14:08:29,2022-05-10
28,73,68,0,1652191709,0.0,32,27,0,,EURO-22MAY13-T1.06,greater,,1.06,,>1.06,finalized,2022-05-10 14:08:29,2022-05-10
29,73,68,0,1652191709,0.0,32,27,0,,EURO-22MAY13-T1.06,greater,,1.06,,>1.06,finalized,2022-05-10 14:08:29,2022-05-10
30,73,68,0,1652191709,0.0,32,27,0,,EURO-22MAY13-T1.06,greater,,1.06,,>1.06,finalized,2022-05-10 14:08:29,2022-05-10
31,73,69,0,1652191709,0.0,31,27,0,,EURO-22MAY13-T1.06,greater,,1.06,,>1.06,finalized,2022-05-10 14:08:29,2022-05-10
32,42,38,0,1652191713,0.0,62,58,0,,EURO-22MAY13-B1.05,between,1.06,1.04,,Between 1.04 and 1.06,finalized,2022-05-10 14:08:33,2022-05-10
33,43,38,0,1652191713,0.0,62,57,0,,EURO-22MAY13-B1.05,between,1.06,1.04,,Between 1.04 and 1.06,finalized,2022-05-10 14:08:33,2022-05-10
34,43,38,0,1652191713,0.0,62,57,0,,EURO-22MAY13-B1.05,between,1.06,1.04,,Between 1.04 and 1.06,finalized,2022-05-10 14:08:33,2022-05-10
35,43,38,0,1652191713,0.0,62,57,0,,EURO-22MAY13-B1.05,between,1.06,1.04,,Between 1.04 and 1.06,finalized,2022-05-10 14:08:33,2022-05-10
36,42,38,0,1652191713,0.0,62,58,0,,EURO-22MAY13-B1.05,between,1.06,1.04,,Between 1.04 and 1.06,finalized,2022-05-10 14:08:33,2022-05-10
37,42,38,0,1652191713,0.0,62,58,0,,EURO-22MAY13-B1.05,between,1.06,1.04,,Between 1.04 and 1.06,finalized,2022-05-10 14:08:33,2022-05-10
38,91,88,0,1652191849,0.0,12,9,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:10:49,2022-05-10
39,91,88,0,1652191849,0.0,12,9,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:10:49,2022-05-10
40,91,88,0,1652191849,0.0,12,9,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:10:49,2022-05-10
41,91,88,0,1652191849,0.0,12,9,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:10:49,2022-05-10
42,91,88,0,1652191849,0.0,12,9,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:10:49,2022-05-10
43,42,38,0,1652191856,0.0,62,58,0,,EURO-22MAY13-B1.05,between,1.06,1.04,,Between 1.04 and 1.06,finalized,2022-05-10 14:10:56,2022-05-10
44,42,38,0,1652191856,0.0,62,58,0,,EURO-22MAY13-B1.05,between,1.06,1.04,,Between 1.04 and 1.06,finalized,2022-05-10 14:10:56,2022-05-10
45,42,38,0,1652191856,0.0,62,58,0,,EURO-22MAY13-B1.05,between,1.06,1.04,,Between 1.04 and 1.06,finalized,2022-05-10 14:10:56,2022-05-10
46,42,38,0,1652191856,0.0,62,58,0,,EURO-22MAY13-B1.05,between,1.06,1.04,,Between 1.04 and 1.06,finalized,2022-05-10 14:10:56,2022-05-10
47,91,88,0,1652191959,0.0,12,9,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:12:39,2022-05-10
48,91,88,0,1652191959,0.0,12,9,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:12:39,2022-05-10
49,91,88,0,1652191959,0.0,12,9,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:12:39,2022-05-10
50,91,87,0,1652191959,0.0,13,9,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:12:39,2022-05-10
51,91,87,0,1652191959,0.0,13,9,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:12:39,2022-05-10
52,91,87,0,1652191959,0.0,13,9,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:12:39,2022-05-10
53,91,88,0,1652191959,0.0,12,9,0,,EURO-22MAY13-T1.04,less,1.04,,,<1.04,finalized,2022-05-10 14:12:39,2022-05-10
54,73,69,0,1652191961,0.0,31,27,0,,EURO-22MAY13-T1.06,greater,,1.06,,>1.06,finalized,2022-05-10 14:12:41,2022-05-10
55,73,69,0,1652191961,0.0,31,27,0,,EURO-22MAY13-T1.06,greater,,1.06,,>1.06,finalized,2022-05-10 14:12:41,2022-05-10
56,74,69,0,1652191961,0.0,31,26,0,,EURO-22MAY13-T1.06,greater,,1.06,,>1.06,finalized,2022-05-10 14:12:41,2022-05-10
