,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,24,0,1659631072,0.0,76,0,0,,EUROIMF-05AUG22-T1.020,greater,,1.02,,>1.020,finalized,2022-08-04 16:37:52,2022-08-04
1,29,24,0,1659631072,0.0,76,71,0,,EUROIMF-05AUG22-T1.020,greater,,1.02,,>1.020,finalized,2022-08-04 16:37:52,2022-08-04
2,29,24,0,1659631072,0.0,76,71,0,,EUROIMF-05AUG22-T1.020,greater,,1.02,,>1.020,finalized,2022-08-04 16:37:52,2022-08-04
3,29,24,0,1659631072,0.0,76,71,0,,EUROIMF-05AUG22-T1.020,greater,,1.02,,>1.020,finalized,2022-08-04 16:37:52,2022-08-04
4,29,24,0,1659631072,0.0,76,71,0,,EUROIMF-05AUG22-T1.020,greater,,1.02,,>1.020,finalized,2022-08-04 16:37:52,2022-08-04
5,100,60,0,1659631072,0.0,40,0,0,,EUROIMF-05AUG22-T1.025,greater,,1.025,,>1.025,finalized,2022-08-04 16:37:52,2022-08-04
6,100,62,0,1659631072,0.0,38,0,0,,EUROIMF-05AUG22-T1.025,greater,,1.025,,>1.025,finalized,2022-08-04 16:37:52,2022-08-04
7,68,62,0,1659631072,0.0,38,32,0,,EUROIMF-05AUG22-T1.025,greater,,1.025,,>1.025,finalized,2022-08-04 16:37:52,2022-08-04
8,29,24,0,1659631073,0.0,76,71,0,,EUROIMF-05AUG22-T1.020,greater,,1.02,,>1.020,finalized,2022-08-04 16:37:53,2022-08-04
9,68,62,0,1659631073,0.0,38,32,0,,EUROIMF-05AUG22-T1.025,greater,,1.025,,>1.025,finalized,2022-08-04 16:37:53,2022-08-04
10,67,62,0,1659631073,0.0,38,33,0,,EUROIMF-05AUG22-T1.025,greater,,1.025,,>1.025,finalized,2022-08-04 16:37:53,2022-08-04
11,67,62,0,1659631073,0.0,38,33,0,,EUROIMF-05AUG22-T1.025,greater,,1.025,,>1.025,finalized,2022-08-04 16:37:53,2022-08-04
12,13,0,0,1659631117,0.0,100,87,0,,EUROIMF-05AUG22-T1.015,greater,,1.015,,>1.015,finalized,2022-08-04 16:38:37,2022-08-04
13,12,0,0,1659631117,0.0,100,88,0,,EUROIMF-05AUG22-T1.015,greater,,1.015,,>1.015,finalized,2022-08-04 16:38:37,2022-08-04
14,11,0,0,1659631117,0.0,100,89,0,,EUROIMF-05AUG22-T1.015,greater,,1.015,,>1.015,finalized,2022-08-04 16:38:37,2022-08-04
15,11,7,0,1659631118,0.0,93,89,0,,EUROIMF-05AUG22-T1.015,greater,,1.015,,>1.015,finalized,2022-08-04 16:38:38,2022-08-04
16,11,7,0,1659631118,0.0,93,89,0,,EUROIMF-05AUG22-T1.015,greater,,1.015,,>1.015,finalized,2022-08-04 16:38:38,2022-08-04
17,11,7,0,1659631118,0.0,93,89,0,,EUROIMF-05AUG22-T1.015,greater,,1.015,,>1.015,finalized,2022-08-04 16:38:38,2022-08-04
18,10,7,0,1659631184,0.0,93,90,0,,EUROIMF-05AUG22-T1.015,greater,,1.015,,>1.015,finalized,2022-08-04 16:39:44,2022-08-04
19,10,6,0,1659631184,0.0,94,90,0,,EUROIMF-05AUG22-T1.015,greater,,1.015,,>1.015,finalized,2022-08-04 16:39:44,2022-08-04
20,10,6,0,1659631184,0.0,94,90,0,,EUROIMF-05AUG22-T1.015,greater,,1.015,,>1.015,finalized,2022-08-04 16:39:44,2022-08-04
21,10,6,0,1659631184,0.0,94,90,0,,EUROIMF-05AUG22-T1.015,greater,,1.015,,>1.015,finalized,2022-08-04 16:39:44,2022-08-04
22,29,24,0,1659631184,0.0,76,71,0,,EUROIMF-05AUG22-T1.020,greater,,1.02,,>1.020,finalized,2022-08-04 16:39:44,2022-08-04
23,29,22,0,1659631184,0.0,78,71,0,,EUROIMF-05AUG22-T1.020,greater,,1.02,,>1.020,finalized,2022-08-04 16:39:44,2022-08-04
24,29,22,0,1659631184,0.0,78,71,0,,EUROIMF-05AUG22-T1.020,greater,,1.02,,>1.020,finalized,2022-08-04 16:39:44,2022-08-04
25,27,22,0,1659631184,0.0,78,73,0,,EUROIMF-05AUG22-T1.020,greater,,1.02,,>1.020,finalized,2022-08-04 16:39:44,2022-08-04
26,27,22,0,1659631184,0.0,78,73,0,,EUROIMF-05AUG22-T1.020,greater,,1.02,,>1.020,finalized,2022-08-04 16:39:44,2022-08-04
27,27,22,0,1659631184,0.0,78,73,0,,EUROIMF-05AUG22-T1.020,greater,,1.02,,>1.020,finalized,2022-08-04 16:39:44,2022-08-04
28,27,22,0,1659631184,0.0,78,73,0,,EUROIMF-05AUG22-T1.020,greater,,1.02,,>1.020,finalized,2022-08-04 16:39:44,2022-08-04
29,27,22,0,1659631184,0.0,78,73,0,,EUROIMF-05AUG22-T1.020,greater,,1.02,,>1.020,finalized,2022-08-04 16:39:44,2022-08-04
30,67,62,0,1659631184,0.0,38,33,0,,EUROIMF-05AUG22-T1.025,greater,,1.025,,>1.025,finalized,2022-08-04 16:39:44,2022-08-04
31,67,61,0,1659631184,0.0,39,33,0,,EUROIMF-05AUG22-T1.025,greater,,1.025,,>1.025,finalized,2022-08-04 16:39:44,2022-08-04
32,67,60,0,1659631184,0.0,40,33,0,,EUROIMF-05AUG22-T1.025,greater,,1.025,,>1.025,finalized,2022-08-04 16:39:44,2022-08-04
33,67,60,0,1659631184,0.0,40,33,0,,EUROIMF-05AUG22-T1.025,greater,,1.025,,>1.025,finalized,2022-08-04 16:39:44,2022-08-04
