,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,45,0,0,1658153335,0.0,100,55,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:08:55,2022-07-18
1,44,0,0,1658153335,0.0,100,56,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:08:55,2022-07-18
2,43,0,0,1658153335,0.0,100,57,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:08:55,2022-07-18
3,43,38,0,1658153335,0.0,62,57,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:08:55,2022-07-18
4,43,38,0,1658153335,0.0,62,57,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:08:55,2022-07-18
5,43,38,0,1658153335,0.0,62,57,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:08:55,2022-07-18
6,43,38,0,1658154529,0.0,62,57,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:28:49,2022-07-18
7,43,38,0,1658154529,0.0,62,57,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:28:49,2022-07-18
8,100,38,0,1658154529,0.0,62,0,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:28:49,2022-07-18
9,100,37,0,1658154529,0.0,63,0,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:28:49,2022-07-18
10,16,0,0,1658154530,0.0,100,84,0,,EUROIMF-19JUL22-T1.01,greater,,1.01,,>1.01,finalized,2022-07-18 14:28:50,2022-07-18
11,15,0,0,1658154530,0.0,100,85,0,,EUROIMF-19JUL22-T1.01,greater,,1.01,,>1.01,finalized,2022-07-18 14:28:50,2022-07-18
12,14,0,0,1658154530,0.0,100,86,0,,EUROIMF-19JUL22-T1.01,greater,,1.01,,>1.01,finalized,2022-07-18 14:28:50,2022-07-18
13,14,10,0,1658154530,0.0,90,86,0,,EUROIMF-19JUL22-T1.01,greater,,1.01,,>1.01,finalized,2022-07-18 14:28:50,2022-07-18
14,14,10,0,1658154530,0.0,90,86,0,,EUROIMF-19JUL22-T1.01,greater,,1.01,,>1.01,finalized,2022-07-18 14:28:50,2022-07-18
15,14,10,0,1658154530,0.0,90,86,0,,EUROIMF-19JUL22-T1.01,greater,,1.01,,>1.01,finalized,2022-07-18 14:28:50,2022-07-18
16,100,36,0,1658154530,0.0,64,0,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:28:50,2022-07-18
17,100,0,0,1658154530,0.0,100,0,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:28:50,2022-07-18
18,36,0,0,1658154530,0.0,100,64,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:28:50,2022-07-18
19,35,0,0,1658154530,0.0,100,65,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:28:50,2022-07-18
20,34,0,0,1658154530,0.0,100,66,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:28:50,2022-07-18
21,34,29,0,1658154530,0.0,71,66,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:28:50,2022-07-18
22,34,29,0,1658154530,0.0,71,66,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:28:50,2022-07-18
23,34,29,0,1658154530,0.0,71,66,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:28:50,2022-07-18
24,34,29,0,1658154894,0.0,71,66,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:34:54,2022-07-18
25,34,29,0,1658154894,0.0,71,66,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:34:54,2022-07-18
26,34,30,0,1658154894,0.0,70,66,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:34:54,2022-07-18
27,34,30,0,1658154894,0.0,70,66,0,,EUROIMF-19JUL22-T1.015,greater,,1.015,,>1.015,finalized,2022-07-18 14:34:54,2022-07-18
