,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,84,0,1660261782,0.0,16,0,0,,EURUSD-22AUG12--10-T1.0280,less,1.028,,,<1.0280,finalized,2022-08-11 23:49:42,2022-08-11
1,100,84,0,1660261793,0.0,16,0,0,,EURUSD-22AUG12--10-B1.0290,between,1.0299,1.028,,1.0280-1.0299,finalized,2022-08-11 23:49:53,2022-08-11
2,100,84,0,1660261803,0.0,16,0,0,,EURUSD-22AUG12--10-B1.0310,between,1.0319,1.03,,1.030-1.0319,finalized,2022-08-11 23:50:03,2022-08-11
3,100,84,0,1660261808,0.0,16,0,0,,EURUSD-22AUG12--10-B1.0330,between,1.0339,1.032,,1.0320-1.0339,finalized,2022-08-11 23:50:08,2022-08-11
4,100,84,0,1660261813,0.0,16,0,0,,EURUSD-22AUG12--10-B1.0350,between,1.0359,1.034,,1.0340-1.0359,finalized,2022-08-11 23:50:13,2022-08-11
5,100,84,0,1660261819,0.0,16,0,0,,EURUSD-22AUG12--10-B1.0370,between,1.038,1.036,,1.0360-1.0380,finalized,2022-08-11 23:50:19,2022-08-11
6,100,84,0,1660261826,0.0,16,0,0,,EURUSD-22AUG12--10-T1.0380,greater,,1.038,,>1.0380,finalized,2022-08-11 23:50:26,2022-08-11
7,100,84,0,1660262682,0.0,16,0,0,,EURUSD-22AUG12--10-T1.0280,less,1.028,,,<1.0280,finalized,2022-08-12 00:04:42,2022-08-12
8,100,0,0,1660263677,0.0,100,0,0,,EURUSD-22AUG12--10-B1.0290,between,1.0299,1.028,,1.0280-1.0299,finalized,2022-08-12 00:21:17,2022-08-12
9,100,0,0,1660263677,0.0,100,0,0,,EURUSD-22AUG12--10-B1.0310,between,1.0319,1.03,,1.030-1.0319,finalized,2022-08-12 00:21:17,2022-08-12
10,100,0,0,1660263677,0.0,100,0,0,,EURUSD-22AUG12--10-B1.0330,between,1.0339,1.032,,1.0320-1.0339,finalized,2022-08-12 00:21:17,2022-08-12
11,100,0,0,1660263677,0.0,100,0,0,,EURUSD-22AUG12--10-B1.0350,between,1.0359,1.034,,1.0340-1.0359,finalized,2022-08-12 00:21:17,2022-08-12
12,100,0,0,1660263677,0.0,100,0,0,,EURUSD-22AUG12--10-B1.0370,between,1.038,1.036,,1.0360-1.0380,finalized,2022-08-12 00:21:17,2022-08-12
13,100,0,0,1660263677,0.0,100,0,0,,EURUSD-22AUG12--10-T1.0280,less,1.028,,,<1.0280,finalized,2022-08-12 00:21:17,2022-08-12
14,100,0,0,1660263677,0.0,100,0,0,,EURUSD-22AUG12--10-T1.0380,greater,,1.038,,>1.0380,finalized,2022-08-12 00:21:17,2022-08-12
15,100,65,0,1660263961,0.0,35,0,0,,EURUSD-22AUG12--10-T1.0280,less,1.028,,,<1.0280,finalized,2022-08-12 00:26:01,2022-08-12
16,100,65,0,1660263976,0.0,35,0,0,,EURUSD-22AUG12--10-B1.0290,between,1.0299,1.028,,1.0280-1.0299,finalized,2022-08-12 00:26:16,2022-08-12
17,100,65,0,1660263983,0.0,35,0,0,,EURUSD-22AUG12--10-B1.0310,between,1.0319,1.03,,1.030-1.0319,finalized,2022-08-12 00:26:23,2022-08-12
18,100,65,0,1660263990,0.0,35,0,0,,EURUSD-22AUG12--10-B1.0330,between,1.0339,1.032,,1.0320-1.0339,finalized,2022-08-12 00:26:30,2022-08-12
19,100,65,0,1660263996,0.0,35,0,0,,EURUSD-22AUG12--10-B1.0350,between,1.0359,1.034,,1.0340-1.0359,finalized,2022-08-12 00:26:36,2022-08-12
20,100,65,0,1660264002,0.0,35,0,0,,EURUSD-22AUG12--10-B1.0370,between,1.038,1.036,,1.0360-1.0380,finalized,2022-08-12 00:26:42,2022-08-12
21,100,65,0,1660264009,0.0,35,0,0,,EURUSD-22AUG12--10-T1.0380,greater,,1.038,,>1.0380,finalized,2022-08-12 00:26:49,2022-08-12
22,100,65,5,1660264238,5.0,35,0,35,,EURUSD-22AUG12--10-T1.0280,less,1.028,,,<1.0280,finalized,2022-08-12 00:30:38,2022-08-12
23,100,65,5,1660264262,5.0,35,0,35,,EURUSD-22AUG12--10-B1.0290,between,1.0299,1.028,,1.0280-1.0299,finalized,2022-08-12 00:31:02,2022-08-12
24,100,65,5,1660267114,0.0,35,0,35,,EURUSD-22AUG12--10-T1.0280,less,1.028,,,<1.0280,finalized,2022-08-12 01:18:34,2022-08-12
25,69,65,5,1660305697,0.0,35,31,35,,EURUSD-22AUG12--10-B1.0290,between,1.0299,1.028,,1.0280-1.0299,finalized,2022-08-12 12:01:37,2022-08-12
26,69,65,5,1660305698,0.0,35,31,35,,EURUSD-22AUG12--10-B1.0290,between,1.0299,1.028,,1.0280-1.0299,finalized,2022-08-12 12:01:38,2022-08-12
27,69,65,5,1660305698,0.0,35,31,35,,EURUSD-22AUG12--10-B1.0290,between,1.0299,1.028,,1.0280-1.0299,finalized,2022-08-12 12:01:38,2022-08-12
28,69,65,5,1660305698,0.0,35,31,35,,EURUSD-22AUG12--10-B1.0290,between,1.0299,1.028,,1.0280-1.0299,finalized,2022-08-12 12:01:38,2022-08-12
29,69,65,5,1660305698,0.0,35,31,35,,EURUSD-22AUG12--10-B1.0290,between,1.0299,1.028,,1.0280-1.0299,finalized,2022-08-12 12:01:38,2022-08-12
30,68,65,5,1660305698,0.0,35,32,35,,EURUSD-22AUG12--10-B1.0290,between,1.0299,1.028,,1.0280-1.0299,finalized,2022-08-12 12:01:38,2022-08-12
31,94,65,0,1660305698,0.0,35,6,0,,EURUSD-22AUG12--10-B1.0310,between,1.0319,1.03,,1.030-1.0319,finalized,2022-08-12 12:01:38,2022-08-12
32,94,91,0,1660305698,0.0,9,6,0,,EURUSD-22AUG12--10-B1.0310,between,1.0319,1.03,,1.030-1.0319,finalized,2022-08-12 12:01:38,2022-08-12
33,94,91,0,1660305698,0.0,9,6,0,,EURUSD-22AUG12--10-B1.0310,between,1.0319,1.03,,1.030-1.0319,finalized,2022-08-12 12:01:38,2022-08-12
34,94,91,0,1660305698,0.0,9,6,0,,EURUSD-22AUG12--10-B1.0310,between,1.0319,1.03,,1.030-1.0319,finalized,2022-08-12 12:01:38,2022-08-12
35,94,91,0,1660305698,0.0,9,6,0,,EURUSD-22AUG12--10-B1.0310,between,1.0319,1.03,,1.030-1.0319,finalized,2022-08-12 12:01:38,2022-08-12
36,94,91,0,1660305698,0.0,9,6,0,,EURUSD-22AUG12--10-B1.0310,between,1.0319,1.03,,1.030-1.0319,finalized,2022-08-12 12:01:38,2022-08-12
37,99,65,0,1660305698,0.0,35,1,0,,EURUSD-22AUG12--10-B1.0330,between,1.0339,1.032,,1.0320-1.0339,finalized,2022-08-12 12:01:38,2022-08-12
38,99,94,0,1660305699,0.0,6,1,0,,EURUSD-22AUG12--10-B1.0330,between,1.0339,1.032,,1.0320-1.0339,finalized,2022-08-12 12:01:39,2022-08-12
