,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,99,0,0,1660661262,0.0,100,1,0,,EURUSD-22AUG16-18-B1.0170,between,1.0179,1.016,,1.0160-1.0179,finalized,2022-08-16 14:47:42,2022-08-16
1,98,0,0,1660661266,0.0,100,2,0,,EURUSD-22AUG16-18-B1.0170,between,1.0179,1.016,,1.0160-1.0179,finalized,2022-08-16 14:47:46,2022-08-16
2,98,1,0,1660661273,0.0,99,2,0,,EURUSD-22AUG16-18-B1.0170,between,1.0179,1.016,,1.0160-1.0179,finalized,2022-08-16 14:47:53,2022-08-16
3,98,2,0,1660661276,0.0,98,2,0,,EURUSD-22AUG16-18-B1.0170,between,1.0179,1.016,,1.0160-1.0179,finalized,2022-08-16 14:47:56,2022-08-16
4,98,6,0,1660661279,0.0,94,2,0,,EURUSD-22AUG16-18-B1.0170,between,1.0179,1.016,,1.0160-1.0179,finalized,2022-08-16 14:47:59,2022-08-16
5,98,12,0,1660661283,0.0,88,2,0,,EURUSD-22AUG16-18-B1.0170,between,1.0179,1.016,,1.0160-1.0179,finalized,2022-08-16 14:48:03,2022-08-16
6,99,0,0,1660661289,0.0,100,1,0,,EURUSD-22AUG16-18-B1.0190,between,1.0199,1.018,,1.0180-1.0199,finalized,2022-08-16 14:48:09,2022-08-16
7,98,0,0,1660661294,0.0,100,2,0,,EURUSD-22AUG16-18-B1.0190,between,1.0199,1.018,,1.0180-1.0199,finalized,2022-08-16 14:48:14,2022-08-16
8,98,1,0,1660661304,0.0,99,2,0,,EURUSD-22AUG16-18-B1.0190,between,1.0199,1.018,,1.0180-1.0199,finalized,2022-08-16 14:48:24,2022-08-16
9,98,2,0,1660661312,0.0,98,2,0,,EURUSD-22AUG16-18-B1.0190,between,1.0199,1.018,,1.0180-1.0199,finalized,2022-08-16 14:48:32,2022-08-16
10,98,6,0,1660661315,0.0,94,2,0,,EURUSD-22AUG16-18-B1.0190,between,1.0199,1.018,,1.0180-1.0199,finalized,2022-08-16 14:48:35,2022-08-16
11,98,12,0,1660661319,0.0,88,2,0,,EURUSD-22AUG16-18-B1.0190,between,1.0199,1.018,,1.0180-1.0199,finalized,2022-08-16 14:48:39,2022-08-16
12,99,0,0,1660661328,0.0,100,1,0,,EURUSD-22AUG16-18-B1.0210,between,1.0219,1.02,,1.0200-1.0219,finalized,2022-08-16 14:48:48,2022-08-16
13,98,0,0,1660661333,0.0,100,2,0,,EURUSD-22AUG16-18-B1.0210,between,1.0219,1.02,,1.0200-1.0219,finalized,2022-08-16 14:48:53,2022-08-16
14,99,0,0,1660661334,0.0,100,1,0,,EURUSD-22AUG16-18-B1.0150,between,1.0159,1.014,,1.0140-1.0159,finalized,2022-08-16 14:48:54,2022-08-16
15,98,0,0,1660661334,0.0,100,2,0,,EURUSD-22AUG16-18-B1.0150,between,1.0159,1.014,,1.0140-1.0159,finalized,2022-08-16 14:48:54,2022-08-16
16,98,1,0,1660661339,0.0,99,2,0,,EURUSD-22AUG16-18-B1.0210,between,1.0219,1.02,,1.0200-1.0219,finalized,2022-08-16 14:48:59,2022-08-16
17,98,2,0,1660661343,0.0,98,2,0,,EURUSD-22AUG16-18-B1.0210,between,1.0219,1.02,,1.0200-1.0219,finalized,2022-08-16 14:49:03,2022-08-16
18,98,6,0,1660661348,0.0,94,2,0,,EURUSD-22AUG16-18-B1.0210,between,1.0219,1.02,,1.0200-1.0219,finalized,2022-08-16 14:49:08,2022-08-16
19,98,12,0,1660661351,0.0,88,2,0,,EURUSD-22AUG16-18-B1.0210,between,1.0219,1.02,,1.0200-1.0219,finalized,2022-08-16 14:49:11,2022-08-16
20,100,1,0,1660661359,0.0,99,0,0,,EURUSD-22AUG16-18-B1.0230,between,1.024,1.022,,1.0220-1.0240,finalized,2022-08-16 14:49:19,2022-08-16
21,100,2,0,1660661363,0.0,98,0,0,,EURUSD-22AUG16-18-B1.0230,between,1.024,1.022,,1.0220-1.0240,finalized,2022-08-16 14:49:23,2022-08-16
22,100,6,0,1660661366,0.0,94,0,0,,EURUSD-22AUG16-18-B1.0230,between,1.024,1.022,,1.0220-1.0240,finalized,2022-08-16 14:49:26,2022-08-16
23,100,12,0,1660661369,0.0,88,0,0,,EURUSD-22AUG16-18-B1.0230,between,1.024,1.022,,1.0220-1.0240,finalized,2022-08-16 14:49:29,2022-08-16
24,98,1,0,1660661375,0.0,99,2,0,,EURUSD-22AUG16-18-B1.0150,between,1.0159,1.014,,1.0140-1.0159,finalized,2022-08-16 14:49:35,2022-08-16
25,98,2,0,1660661382,0.0,98,2,0,,EURUSD-22AUG16-18-B1.0150,between,1.0159,1.014,,1.0140-1.0159,finalized,2022-08-16 14:49:42,2022-08-16
26,98,6,0,1660661384,0.0,94,2,0,,EURUSD-22AUG16-18-B1.0150,between,1.0159,1.014,,1.0140-1.0159,finalized,2022-08-16 14:49:44,2022-08-16
27,98,12,0,1660661388,0.0,88,2,0,,EURUSD-22AUG16-18-B1.0150,between,1.0159,1.014,,1.0140-1.0159,finalized,2022-08-16 14:49:48,2022-08-16
28,98,22,0,1660661392,0.0,78,2,0,,EURUSD-22AUG16-18-B1.0150,between,1.0159,1.014,,1.0140-1.0159,finalized,2022-08-16 14:49:52,2022-08-16
29,98,22,0,1660661397,0.0,78,2,0,,EURUSD-22AUG16-18-B1.0170,between,1.0179,1.016,,1.0160-1.0179,finalized,2022-08-16 14:49:57,2022-08-16
