,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,90,0,0,1672102849,0.0,100,10,0,,EURUSD-22DEC2710-1.05800,less,1.058,,,1.05799 or lower,finalized,2022-12-27 01:00:49,2022-12-27
1,90,83,0,1672102849,0.0,17,10,0,,EURUSD-22DEC2710-1.05800,less,1.058,,,1.05799 or lower,finalized,2022-12-27 01:00:49,2022-12-27
2,90,86,0,1672102849,0.0,14,10,0,,EURUSD-22DEC2710-1.05800,less,1.058,,,1.05799 or lower,finalized,2022-12-27 01:00:49,2022-12-27
3,95,0,0,1672102849,0.0,100,5,0,,EURUSD-22DEC2710-1.059,between,1.05999,1.058,,1.058 to 1.05999,finalized,2022-12-27 01:00:49,2022-12-27
4,95,88,0,1672102849,0.0,12,5,0,,EURUSD-22DEC2710-1.059,between,1.05999,1.058,,1.058 to 1.05999,finalized,2022-12-27 01:00:49,2022-12-27
5,92,0,0,1672102849,0.0,100,8,0,,EURUSD-22DEC2710-1.061,between,1.06199,1.06,,1.06 to 1.06199,finalized,2022-12-27 01:00:49,2022-12-27
6,92,83,0,1672102849,0.0,17,8,0,,EURUSD-22DEC2710-1.061,between,1.06199,1.06,,1.06 to 1.06199,finalized,2022-12-27 01:00:49,2022-12-27
7,91,83,0,1672102849,0.0,17,9,0,,EURUSD-22DEC2710-1.061,between,1.06199,1.06,,1.06 to 1.06199,finalized,2022-12-27 01:00:49,2022-12-27
8,91,86,0,1672102849,0.0,14,9,0,,EURUSD-22DEC2710-1.061,between,1.06199,1.06,,1.06 to 1.06199,finalized,2022-12-27 01:00:49,2022-12-27
9,88,0,0,1672102849,0.0,100,12,0,,EURUSD-22DEC2710-1.063,between,1.06399,1.062,,1.062 to 1.06399,finalized,2022-12-27 01:00:49,2022-12-27
10,88,79,0,1672102849,0.0,21,12,0,,EURUSD-22DEC2710-1.063,between,1.06399,1.062,,1.062 to 1.06399,finalized,2022-12-27 01:00:49,2022-12-27
11,88,81,0,1672102849,0.0,19,12,0,,EURUSD-22DEC2710-1.063,between,1.06399,1.062,,1.062 to 1.06399,finalized,2022-12-27 01:00:49,2022-12-27
12,87,81,0,1672102849,0.0,19,13,0,,EURUSD-22DEC2710-1.063,between,1.06399,1.062,,1.062 to 1.06399,finalized,2022-12-27 01:00:49,2022-12-27
13,87,83,0,1672102849,0.0,17,13,0,,EURUSD-22DEC2710-1.063,between,1.06399,1.062,,1.062 to 1.06399,finalized,2022-12-27 01:00:49,2022-12-27
14,87,0,0,1672102849,0.0,100,13,0,,EURUSD-22DEC2710-1.065,between,1.06599,1.064,,1.064 to 1.06599,finalized,2022-12-27 01:00:49,2022-12-27
