,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,80,0,0,1667513293,0.0,100,20,0,,EURUSD-22NOV0410-T0.9700,less,0.97,,,<0.9700,finalized,2022-11-03 22:08:13,2022-11-03
1,87,0,0,1667513300,0.0,100,13,0,,EURUSD-22NOV0410-B0.710,between,0.9719,0.97,,0.9700-0.9719,finalized,2022-11-03 22:08:20,2022-11-03
2,93,0,0,1667513305,0.0,100,7,0,,EURUSD-22NOV0410-B0.9730,between,0.9739,0.972,,0.9720-0.9739,finalized,2022-11-03 22:08:25,2022-11-03
3,83,0,0,1667513312,0.0,100,17,0,,EURUSD-22NOV0410-B0.9750,between,0.9759,0.974,,0.9740-0.9759,finalized,2022-11-03 22:08:32,2022-11-03
4,85,0,0,1667513317,0.0,100,15,0,,EURUSD-22NOV0410-B0.9770,between,0.9779,0.976,,0.9760-0.9779,finalized,2022-11-03 22:08:37,2022-11-03
5,91,0,0,1667513323,0.0,100,9,0,,EURUSD-22NOV0410-B0.9790,between,0.98,0.978,,0.9780-0.9800,finalized,2022-11-03 22:08:43,2022-11-03
6,93,0,0,1667513329,0.0,100,7,0,,EURUSD-22NOV0410-T0.9800,greater,,0.98,,>0.9800,finalized,2022-11-03 22:08:49,2022-11-03
7,80,18,0,1667513524,0.0,82,20,0,,EURUSD-22NOV0410-T0.9700,less,0.97,,,<0.9700,finalized,2022-11-03 22:12:04,2022-11-03
8,87,18,0,1667513532,0.0,82,13,0,,EURUSD-22NOV0410-B0.710,between,0.9719,0.97,,0.9700-0.9719,finalized,2022-11-03 22:12:12,2022-11-03
9,93,18,0,1667513540,0.0,82,7,0,,EURUSD-22NOV0410-B0.9730,between,0.9739,0.972,,0.9720-0.9739,finalized,2022-11-03 22:12:20,2022-11-03
10,83,18,0,1667513547,0.0,82,17,0,,EURUSD-22NOV0410-B0.9750,between,0.9759,0.974,,0.9740-0.9759,finalized,2022-11-03 22:12:27,2022-11-03
11,85,18,0,1667513552,0.0,82,15,0,,EURUSD-22NOV0410-B0.9770,between,0.9779,0.976,,0.9760-0.9779,finalized,2022-11-03 22:12:32,2022-11-03
12,91,18,0,1667513560,0.0,82,9,0,,EURUSD-22NOV0410-B0.9790,between,0.98,0.978,,0.9780-0.9800,finalized,2022-11-03 22:12:40,2022-11-03
13,93,18,0,1667513566,0.0,82,7,0,,EURUSD-22NOV0410-T0.9800,greater,,0.98,,>0.9800,finalized,2022-11-03 22:12:46,2022-11-03
