,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,79,0,0,1666216832,0.0,100,21,0,,EURUSD-22OCT2010-T0.9720,less,0.972,,,<0.9720,finalized,2022-10-19 22:00:32,2022-10-19
1,84,0,0,1666216841,0.0,100,16,0,,EURUSD-22OCT2010-B0.9730,between,0.9739,0.972,,0.9720-0.9739,finalized,2022-10-19 22:00:41,2022-10-19
2,91,0,0,1666216848,0.0,100,9,0,,EURUSD-22OCT2010-B0.9750,between,0.9759,0.974,,0.9740-0.9759,finalized,2022-10-19 22:00:48,2022-10-19
3,84,0,0,1666216856,0.0,100,16,0,,EURUSD-22OCT2010-B0.9770,between,0.9779,0.976,,0.9760-0.9779,finalized,2022-10-19 22:00:56,2022-10-19
4,89,0,0,1666216866,0.0,100,11,0,,EURUSD-22OCT2010-B0.9790,between,0.9799,0.978,,0.9780-0.9799,finalized,2022-10-19 22:01:06,2022-10-19
5,91,0,0,1666216874,0.0,100,9,0,,EURUSD-22OCT2010-B0.9810,between,0.982,0.98,,0.9800-0.9820,finalized,2022-10-19 22:01:14,2022-10-19
6,93,0,0,1666216880,0.0,100,7,0,,EURUSD-22OCT2010-T0.9820,greater,,0.982,,>0.9820,finalized,2022-10-19 22:01:20,2022-10-19
7,90,0,0,1666216955,0.0,100,10,0,,EURUSD-22OCT2010-B0.9750,between,0.9759,0.974,,0.9740-0.9759,finalized,2022-10-19 22:02:35,2022-10-19
8,84,81,0,1666217927,0.0,19,16,0,,EURUSD-22OCT2010-B0.9770,between,0.9779,0.976,,0.9760-0.9779,finalized,2022-10-19 22:18:47,2022-10-19
9,84,83,0,1666217927,0.0,17,16,0,,EURUSD-22OCT2010-B0.9770,between,0.9779,0.976,,0.9760-0.9779,finalized,2022-10-19 22:18:47,2022-10-19
10,89,80,0,1666217927,0.0,20,11,0,,EURUSD-22OCT2010-B0.9790,between,0.9799,0.978,,0.9780-0.9799,finalized,2022-10-19 22:18:47,2022-10-19
11,88,80,0,1666217927,0.0,20,12,0,,EURUSD-22OCT2010-B0.9790,between,0.9799,0.978,,0.9780-0.9799,finalized,2022-10-19 22:18:47,2022-10-19
12,88,82,0,1666217927,0.0,18,12,0,,EURUSD-22OCT2010-B0.9790,between,0.9799,0.978,,0.9780-0.9799,finalized,2022-10-19 22:18:47,2022-10-19
13,91,87,0,1666217927,0.0,13,9,0,,EURUSD-22OCT2010-B0.9810,between,0.982,0.98,,0.9800-0.9820,finalized,2022-10-19 22:18:47,2022-10-19
14,79,76,0,1666217927,0.0,24,21,0,,EURUSD-22OCT2010-T0.9720,less,0.972,,,<0.9720,finalized,2022-10-19 22:18:47,2022-10-19
15,79,78,0,1666217927,0.0,22,21,0,,EURUSD-22OCT2010-T0.9720,less,0.972,,,<0.9720,finalized,2022-10-19 22:18:47,2022-10-19
16,85,80,5,1666217927,5.0,20,15,21,,EURUSD-22OCT2010-T0.9720,less,0.972,,,<0.9720,finalized,2022-10-19 22:18:47,2022-10-19
17,88,84,0,1666217928,0.0,16,12,0,,EURUSD-22OCT2010-B0.9790,between,0.9799,0.978,,0.9780-0.9799,finalized,2022-10-19 22:18:48,2022-10-19
18,90,86,5,1666217931,5.0,14,10,16,,EURUSD-22OCT2010-B0.9730,between,0.9739,0.972,,0.9720-0.9739,finalized,2022-10-19 22:18:51,2022-10-19
19,90,87,5,1666217931,0.0,13,10,16,,EURUSD-22OCT2010-B0.9730,between,0.9739,0.972,,0.9720-0.9739,finalized,2022-10-19 22:18:51,2022-10-19
20,90,83,0,1666217931,0.0,17,10,0,,EURUSD-22OCT2010-B0.9750,between,0.9759,0.974,,0.9740-0.9759,finalized,2022-10-19 22:18:51,2022-10-19
21,89,83,0,1666217931,0.0,17,11,0,,EURUSD-22OCT2010-B0.9750,between,0.9759,0.974,,0.9740-0.9759,finalized,2022-10-19 22:18:51,2022-10-19
22,89,85,0,1666217931,0.0,15,11,0,,EURUSD-22OCT2010-B0.9750,between,0.9759,0.974,,0.9740-0.9759,finalized,2022-10-19 22:18:51,2022-10-19
23,84,0,0,1666217931,0.0,100,16,0,,EURUSD-22OCT2010-T0.9820,greater,,0.982,,>0.9820,finalized,2022-10-19 22:18:51,2022-10-19
24,84,77,0,1666217931,0.0,23,16,0,,EURUSD-22OCT2010-T0.9820,greater,,0.982,,>0.9820,finalized,2022-10-19 22:18:51,2022-10-19
