,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,98,0,0,1662041736,0.0,100,2,0,,EURUSD-22SEP01-18-T0.9920,less,0.992,,,<0.9920,finalized,2022-09-01 14:15:36,2022-09-01
1,98,0,0,1662041745,0.0,100,2,0,,EURUSD-22SEP01-18-B0.9930,between,0.9939,0.992,,0.9920-0.9939,finalized,2022-09-01 14:15:45,2022-09-01
2,78,0,0,1662041800,0.0,100,22,0,,EURUSD-22SEP01-18-B0.9930,between,0.9939,0.992,,0.9920-0.9939,finalized,2022-09-01 14:16:40,2022-09-01
3,78,0,0,1662041800,0.0,100,22,0,,EURUSD-22SEP01-18-B0.9930,between,0.9939,0.992,,0.9920-0.9939,finalized,2022-09-01 14:16:40,2022-09-01
4,100,94,0,1662041800,0.0,6,0,0,,EURUSD-22SEP01-18-B0.9990,between,0.9999,0.998,,0.9980-0.9999,finalized,2022-09-01 14:16:40,2022-09-01
5,100,94,0,1662041800,0.0,6,0,0,,EURUSD-22SEP01-18-B0.9990,between,0.9999,0.998,,0.9980-0.9999,finalized,2022-09-01 14:16:40,2022-09-01
6,97,94,0,1662041800,0.0,6,3,0,,EURUSD-22SEP01-18-B0.9990,between,0.9999,0.998,,0.9980-0.9999,finalized,2022-09-01 14:16:40,2022-09-01
7,97,94,0,1662041800,0.0,6,3,0,,EURUSD-22SEP01-18-B0.9990,between,0.9999,0.998,,0.9980-0.9999,finalized,2022-09-01 14:16:40,2022-09-01
8,100,96,0,1662041800,0.0,4,0,0,,EURUSD-22SEP01-18-B1.0010,between,1.002,1.0,,1.0000-1.0020,finalized,2022-09-01 14:16:40,2022-09-01
9,100,96,0,1662041800,0.0,4,0,0,,EURUSD-22SEP01-18-B1.0010,between,1.002,1.0,,1.0000-1.0020,finalized,2022-09-01 14:16:40,2022-09-01
10,100,96,0,1662041800,0.0,4,0,0,,EURUSD-22SEP01-18-B1.0010,between,1.002,1.0,,1.0000-1.0020,finalized,2022-09-01 14:16:40,2022-09-01
11,72,0,0,1662041800,0.0,100,28,0,,EURUSD-22SEP01-18-T0.9920,less,0.992,,,<0.9920,finalized,2022-09-01 14:16:40,2022-09-01
12,72,60,0,1662041800,0.0,40,28,0,,EURUSD-22SEP01-18-T0.9920,less,0.992,,,<0.9920,finalized,2022-09-01 14:16:40,2022-09-01
13,72,60,0,1662041800,0.0,40,28,0,,EURUSD-22SEP01-18-T0.9920,less,0.992,,,<0.9920,finalized,2022-09-01 14:16:40,2022-09-01
14,68,60,0,1662041800,0.0,40,32,0,,EURUSD-22SEP01-18-T0.9920,less,0.992,,,<0.9920,finalized,2022-09-01 14:16:40,2022-09-01
15,68,60,0,1662041800,0.0,40,32,0,,EURUSD-22SEP01-18-T0.9920,less,0.992,,,<0.9920,finalized,2022-09-01 14:16:40,2022-09-01
16,97,94,0,1662041801,0.0,6,3,0,,EURUSD-22SEP01-18-B0.9990,between,0.9999,0.998,,0.9980-0.9999,finalized,2022-09-01 14:16:41,2022-09-01
17,97,94,0,1662041801,0.0,6,3,0,,EURUSD-22SEP01-18-B0.9990,between,0.9999,0.998,,0.9980-0.9999,finalized,2022-09-01 14:16:41,2022-09-01
18,68,63,0,1662041801,0.0,37,32,0,,EURUSD-22SEP01-18-T0.9920,less,0.992,,,<0.9920,finalized,2022-09-01 14:16:41,2022-09-01
19,78,71,0,1662041802,0.0,29,22,0,,EURUSD-22SEP01-18-B0.9930,between,0.9939,0.992,,0.9920-0.9939,finalized,2022-09-01 14:16:42,2022-09-01
20,78,71,0,1662041802,0.0,29,22,0,,EURUSD-22SEP01-18-B0.9930,between,0.9939,0.992,,0.9920-0.9939,finalized,2022-09-01 14:16:42,2022-09-01
21,78,71,0,1662041802,0.0,29,22,0,,EURUSD-22SEP01-18-B0.9930,between,0.9939,0.992,,0.9920-0.9939,finalized,2022-09-01 14:16:42,2022-09-01
22,100,76,0,1662041802,0.0,24,0,0,,EURUSD-22SEP01-18-B0.9950,between,0.9959,0.994,,0.9940-0.9959,finalized,2022-09-01 14:16:42,2022-09-01
23,84,76,0,1662041802,0.0,24,16,0,,EURUSD-22SEP01-18-B0.9950,between,0.9959,0.994,,0.9940-0.9959,finalized,2022-09-01 14:16:42,2022-09-01
