,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,0,0,1662674784,0.0,100,0,0,,EURUSD-22SEP0910-B0.9990,between,0.9999,0.998,,0.9980-0.9999,finalized,2022-09-08 22:06:24,2022-09-08
1,100,76,0,1662675814,0.0,24,0,0,,EURUSD-22SEP0910-B0.9990,between,0.9999,0.998,,0.9980-0.9999,finalized,2022-09-08 22:23:34,2022-09-08
2,86,76,0,1662675814,0.0,24,14,0,,EURUSD-22SEP0910-B0.9990,between,0.9999,0.998,,0.9980-0.9999,finalized,2022-09-08 22:23:34,2022-09-08
3,86,78,0,1662675814,0.0,22,14,0,,EURUSD-22SEP0910-B0.9990,between,0.9999,0.998,,0.9980-0.9999,finalized,2022-09-08 22:23:34,2022-09-08
4,86,78,0,1662675814,0.0,22,14,0,,EURUSD-22SEP0910-B0.9990,between,0.9999,0.998,,0.9980-0.9999,finalized,2022-09-08 22:23:34,2022-09-08
5,86,80,0,1662675814,0.0,20,14,0,,EURUSD-22SEP0910-B0.9990,between,0.9999,0.998,,0.9980-0.9999,finalized,2022-09-08 22:23:34,2022-09-08
6,100,79,0,1662675814,0.0,21,0,0,,EURUSD-22SEP0910-B1.0010,between,1.0019,1.0,,1.0000-1.0019,finalized,2022-09-08 22:23:34,2022-09-08
7,100,79,0,1662675814,0.0,21,0,0,,EURUSD-22SEP0910-B1.0010,between,1.0019,1.0,,1.0000-1.0019,finalized,2022-09-08 22:23:34,2022-09-08
8,100,79,0,1662675814,0.0,21,0,0,,EURUSD-22SEP0910-B1.0010,between,1.0019,1.0,,1.0000-1.0019,finalized,2022-09-08 22:23:34,2022-09-08
9,86,79,0,1662675814,0.0,21,14,0,,EURUSD-22SEP0910-B1.0010,between,1.0019,1.0,,1.0000-1.0019,finalized,2022-09-08 22:23:34,2022-09-08
10,84,79,0,1662675814,0.0,21,16,0,,EURUSD-22SEP0910-B1.0010,between,1.0019,1.0,,1.0000-1.0019,finalized,2022-09-08 22:23:34,2022-09-08
11,100,76,0,1662675814,0.0,24,0,0,,EURUSD-22SEP0910-T0.9960,less,0.996,,,<0.9960,finalized,2022-09-08 22:23:34,2022-09-08
12,86,76,0,1662675814,0.0,24,14,0,,EURUSD-22SEP0910-T0.9960,less,0.996,,,<0.9960,finalized,2022-09-08 22:23:34,2022-09-08
13,86,78,0,1662675814,0.0,22,14,0,,EURUSD-22SEP0910-T0.9960,less,0.996,,,<0.9960,finalized,2022-09-08 22:23:34,2022-09-08
14,86,80,0,1662675814,0.0,20,14,0,,EURUSD-22SEP0910-T0.9960,less,0.996,,,<0.9960,finalized,2022-09-08 22:23:34,2022-09-08
15,86,80,0,1662675814,0.0,20,14,0,,EURUSD-22SEP0910-T0.9960,less,0.996,,,<0.9960,finalized,2022-09-08 22:23:34,2022-09-08
