,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,1,0,1675126846,0.0,99,0,0,,EURUSD-23JAN3110-1.081,between,1.08199,1.08,,1.08 to 1.08199,finalized,2023-01-31 01:00:46,2023-01-31
1,86,0,0,1675126846,0.0,100,14,0,,EURUSD-23JAN3110-1.083,between,1.08399,1.082,,1.082 to 1.08399,finalized,2023-01-31 01:00:46,2023-01-31
2,100,1,0,1675126846,0.0,99,0,0,,EURUSD-23JAN3110-1.085,between,1.08599,1.084,,1.084 to 1.08599,finalized,2023-01-31 01:00:46,2023-01-31
3,100,77,0,1675126846,0.0,23,0,0,,EURUSD-23JAN3110-1.085,between,1.08599,1.084,,1.084 to 1.08599,finalized,2023-01-31 01:00:46,2023-01-31
4,91,0,0,1675126846,0.0,100,9,0,,EURUSD-23JAN3110-1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-01-31 01:00:46,2023-01-31
5,91,83,0,1675126846,0.0,17,9,0,,EURUSD-23JAN3110-1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-01-31 01:00:46,2023-01-31
6,90,83,0,1675126846,0.0,17,10,0,,EURUSD-23JAN3110-1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-01-31 01:00:46,2023-01-31
7,100,82,0,1675126846,0.0,18,0,0,,EURUSD-23JAN3110-1.08999,greater,,1.08999,,1.09 or above,finalized,2023-01-31 01:00:46,2023-01-31
8,90,82,0,1675126846,0.0,18,10,0,,EURUSD-23JAN3110-1.08999,greater,,1.08999,,1.09 or above,finalized,2023-01-31 01:00:46,2023-01-31
9,100,82,0,1675126847,0.0,18,0,0,,EURUSD-23JAN3110-1.08000,less,1.08,,,1.07999 or below,finalized,2023-01-31 01:00:47,2023-01-31
10,100,84,0,1675126847,0.0,16,0,0,,EURUSD-23JAN3110-1.08000,less,1.08,,,1.07999 or below,finalized,2023-01-31 01:00:47,2023-01-31
11,100,86,0,1675126847,0.0,14,0,0,,EURUSD-23JAN3110-1.08000,less,1.08,,,1.07999 or below,finalized,2023-01-31 01:00:47,2023-01-31
12,92,86,0,1675126847,0.0,14,8,0,,EURUSD-23JAN3110-1.08000,less,1.08,,,1.07999 or below,finalized,2023-01-31 01:00:47,2023-01-31
13,90,86,0,1675126847,0.0,14,10,0,,EURUSD-23JAN3110-1.08000,less,1.08,,,1.07999 or below,finalized,2023-01-31 01:00:47,2023-01-31
14,100,87,0,1675126847,0.0,13,0,0,,EURUSD-23JAN3110-1.081,between,1.08199,1.08,,1.08 to 1.08199,finalized,2023-01-31 01:00:47,2023-01-31
15,91,87,0,1675126847,0.0,13,9,0,,EURUSD-23JAN3110-1.081,between,1.08199,1.08,,1.08 to 1.08199,finalized,2023-01-31 01:00:47,2023-01-31
16,86,82,0,1675126847,0.0,18,14,0,,EURUSD-23JAN3110-1.083,between,1.08399,1.082,,1.082 to 1.08399,finalized,2023-01-31 01:00:47,2023-01-31
17,83,77,0,1675126847,0.0,23,17,0,,EURUSD-23JAN3110-1.085,between,1.08599,1.084,,1.084 to 1.08599,finalized,2023-01-31 01:00:47,2023-01-31
18,83,79,0,1675126847,0.0,21,17,0,,EURUSD-23JAN3110-1.085,between,1.08599,1.084,,1.084 to 1.08599,finalized,2023-01-31 01:00:47,2023-01-31
19,100,77,0,1675126847,0.0,23,0,0,,EURUSD-23JAN3110-1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-01-31 01:00:47,2023-01-31
20,86,77,0,1675126847,0.0,23,14,0,,EURUSD-23JAN3110-1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-01-31 01:00:47,2023-01-31
21,86,79,0,1675126847,0.0,21,14,0,,EURUSD-23JAN3110-1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-01-31 01:00:47,2023-01-31
22,86,81,0,1675126847,0.0,19,14,0,,EURUSD-23JAN3110-1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-01-31 01:00:47,2023-01-31
23,85,81,0,1675126847,0.0,19,15,0,,EURUSD-23JAN3110-1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-01-31 01:00:47,2023-01-31
24,90,86,0,1675126847,0.0,14,10,0,,EURUSD-23JAN3110-1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-01-31 01:00:47,2023-01-31
25,89,82,0,1675126847,0.0,18,11,0,,EURUSD-23JAN3110-1.08999,greater,,1.08999,,1.09 or above,finalized,2023-01-31 01:00:47,2023-01-31
26,89,84,0,1675126847,0.0,16,11,0,,EURUSD-23JAN3110-1.08999,greater,,1.08999,,1.09 or above,finalized,2023-01-31 01:00:47,2023-01-31
27,88,84,0,1675126847,0.0,16,12,0,,EURUSD-23JAN3110-1.08999,greater,,1.08999,,1.09 or above,finalized,2023-01-31 01:00:47,2023-01-31
28,92,87,0,1675126876,0.0,13,8,0,,EURUSD-23JAN3110-1.081,between,1.08199,1.08,,1.08 to 1.08199,finalized,2023-01-31 01:01:16,2023-01-31
29,90,87,0,1675126877,0.0,13,10,0,,EURUSD-23JAN3110-1.08000,less,1.08,,,1.07999 or below,finalized,2023-01-31 01:01:17,2023-01-31
