,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,1,0,1680128181,0.0,99,0,0,,EURUSD-23MAR3010-B1.081,between,1.08199,1.08,,1.08 to 1.08199,finalized,2023-03-29 22:16:21,2023-03-29
1,100,1,0,1680128181,0.0,99,0,0,,EURUSD-23MAR3010-B1.083,between,1.08399,1.082,,1.082 to 1.08399,finalized,2023-03-29 22:16:21,2023-03-29
2,100,1,0,1680128181,0.0,99,0,0,,EURUSD-23MAR3010-B1.085,between,1.08599,1.084,,1.084 to 1.08599,finalized,2023-03-29 22:16:21,2023-03-29
3,100,1,0,1680128181,0.0,99,0,0,,EURUSD-23MAR3010-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-03-29 22:16:21,2023-03-29
4,93,0,0,1680128181,0.0,100,7,0,,EURUSD-23MAR3010-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-03-29 22:16:21,2023-03-29
5,92,0,0,1680128181,0.0,100,8,0,,EURUSD-23MAR3010-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-03-29 22:16:21,2023-03-29
6,91,0,0,1680128181,0.0,100,9,0,,EURUSD-23MAR3010-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-03-29 22:16:21,2023-03-29
7,91,87,0,1680128181,0.0,13,9,0,,EURUSD-23MAR3010-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-03-29 22:16:21,2023-03-29
8,100,1,0,1680128181,0.0,99,0,0,,EURUSD-23MAR3010-T1.08000,less,1.08,,,1.07999 or below,finalized,2023-03-29 22:16:21,2023-03-29
9,87,1,0,1680128181,0.0,99,13,0,,EURUSD-23MAR3010-T1.08000,less,1.08,,,1.07999 or below,finalized,2023-03-29 22:16:21,2023-03-29
10,100,1,0,1680128181,0.0,99,0,0,,EURUSD-23MAR3010-T1.08999,greater,,1.08999,,1.09 or above,finalized,2023-03-29 22:16:21,2023-03-29
11,91,1,0,1680128182,0.0,99,9,0,,EURUSD-23MAR3010-B1.081,between,1.08199,1.08,,1.08 to 1.08199,finalized,2023-03-29 22:16:22,2023-03-29
12,90,1,0,1680128182,0.0,99,10,0,,EURUSD-23MAR3010-B1.081,between,1.08199,1.08,,1.08 to 1.08199,finalized,2023-03-29 22:16:22,2023-03-29
13,89,1,0,1680128182,0.0,99,11,0,,EURUSD-23MAR3010-B1.081,between,1.08199,1.08,,1.08 to 1.08199,finalized,2023-03-29 22:16:22,2023-03-29
14,89,83,0,1680128182,0.0,17,11,0,,EURUSD-23MAR3010-B1.081,between,1.08199,1.08,,1.08 to 1.08199,finalized,2023-03-29 22:16:22,2023-03-29
15,89,84,0,1680128182,0.0,16,11,0,,EURUSD-23MAR3010-B1.081,between,1.08199,1.08,,1.08 to 1.08199,finalized,2023-03-29 22:16:22,2023-03-29
