,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,95,0,0,1683843380,0.0,100,5,0,,EURUSD-23MAY1210-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-05-11 22:16:20,2023-05-11
1,93,0,0,1683843380,0.0,100,7,0,,EURUSD-23MAY1210-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-05-11 22:16:20,2023-05-11
2,93,88,0,1683843380,0.0,12,7,0,,EURUSD-23MAY1210-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-05-11 22:16:20,2023-05-11
3,93,89,0,1683843380,0.0,11,7,0,,EURUSD-23MAY1210-B1.087,between,1.08799,1.086,,1.086 to 1.08799,finalized,2023-05-11 22:16:20,2023-05-11
4,88,0,0,1683843380,0.0,100,12,0,,EURUSD-23MAY1210-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-05-11 22:16:20,2023-05-11
5,87,0,0,1683843380,0.0,100,13,0,,EURUSD-23MAY1210-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-05-11 22:16:20,2023-05-11
6,86,0,0,1683843380,0.0,100,14,0,,EURUSD-23MAY1210-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-05-11 22:16:20,2023-05-11
7,86,83,0,1683843380,0.0,17,14,0,,EURUSD-23MAY1210-B1.089,between,1.08999,1.088,,1.088 to 1.08999,finalized,2023-05-11 22:16:20,2023-05-11
8,84,0,0,1683843380,0.0,100,16,0,,EURUSD-23MAY1210-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-05-11 22:16:20,2023-05-11
9,83,0,0,1683843380,0.0,100,17,0,,EURUSD-23MAY1210-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-05-11 22:16:20,2023-05-11
10,83,75,0,1683843380,0.0,25,17,0,,EURUSD-23MAY1210-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-05-11 22:16:20,2023-05-11
11,83,76,0,1683843380,0.0,24,17,0,,EURUSD-23MAY1210-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-05-11 22:16:20,2023-05-11
12,83,78,0,1683843380,0.0,22,17,0,,EURUSD-23MAY1210-B1.091,between,1.09199,1.09,,1.09 to 1.09199,finalized,2023-05-11 22:16:20,2023-05-11
13,100,1,0,1683843380,0.0,99,0,0,,EURUSD-23MAY1210-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-05-11 22:16:20,2023-05-11
14,83,1,0,1683843380,0.0,99,17,0,,EURUSD-23MAY1210-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-05-11 22:16:20,2023-05-11
15,83,75,0,1683843380,0.0,25,17,0,,EURUSD-23MAY1210-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-05-11 22:16:20,2023-05-11
16,83,78,0,1683843380,0.0,22,17,0,,EURUSD-23MAY1210-B1.093,between,1.09399,1.092,,1.092 to 1.09399,finalized,2023-05-11 22:16:20,2023-05-11
17,100,1,0,1683843380,0.0,99,0,0,,EURUSD-23MAY1210-B1.095,between,1.09599,1.094,,1.094 to 1.09599,finalized,2023-05-11 22:16:20,2023-05-11
18,88,1,0,1683843380,0.0,99,12,0,,EURUSD-23MAY1210-B1.095,between,1.09599,1.094,,1.094 to 1.09599,finalized,2023-05-11 22:16:20,2023-05-11
