,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,8,0,0,1680610544,0.0,100,92,0,,EURUSDH-23APR0415-T1.0837,greater,,1.0837,,1.08371 or above,finalized,2023-04-04 12:15:44,2023-04-04
1,7,0,0,1680610544,0.0,100,93,0,,EURUSDH-23APR0415-T1.0837,greater,,1.0837,,1.08371 or above,finalized,2023-04-04 12:15:44,2023-04-04
2,6,0,0,1680610544,0.0,100,94,0,,EURUSDH-23APR0415-T1.0837,greater,,1.0837,,1.08371 or above,finalized,2023-04-04 12:15:44,2023-04-04
3,6,2,0,1680610544,0.0,98,94,0,,EURUSDH-23APR0415-T1.0837,greater,,1.0837,,1.08371 or above,finalized,2023-04-04 12:15:44,2023-04-04
4,90,0,0,1680610544,0.0,100,10,0,,EURUSDH-23APR0415-T1.0945,greater,,1.0945,,1.09451 or above,finalized,2023-04-04 12:15:44,2023-04-04
5,90,83,0,1680610544,0.0,17,10,0,,EURUSDH-23APR0415-T1.0945,greater,,1.0945,,1.09451 or above,finalized,2023-04-04 12:15:44,2023-04-04
6,90,84,0,1680610544,0.0,16,10,0,,EURUSDH-23APR0415-T1.0945,greater,,1.0945,,1.09451 or above,finalized,2023-04-04 12:15:44,2023-04-04
7,95,0,0,1680610544,0.0,100,5,0,,EURUSDH-23APR0415-T1.0957,greater,,1.0957,,1.09571 or above,finalized,2023-04-04 12:15:44,2023-04-04
8,10,0,0,1680610545,0.0,100,90,0,,EURUSDH-23APR0415-T1.0849,greater,,1.0849,,1.08491 or above,finalized,2023-04-04 12:15:45,2023-04-04
9,9,0,0,1680610545,0.0,100,91,0,,EURUSDH-23APR0415-T1.0849,greater,,1.0849,,1.08491 or above,finalized,2023-04-04 12:15:45,2023-04-04
10,9,5,0,1680610545,0.0,95,91,0,,EURUSDH-23APR0415-T1.0849,greater,,1.0849,,1.08491 or above,finalized,2023-04-04 12:15:45,2023-04-04
11,17,0,0,1680610545,0.0,100,83,0,,EURUSDH-23APR0415-T1.0861,greater,,1.0861,,1.08611 or above,finalized,2023-04-04 12:15:45,2023-04-04
12,15,0,0,1680610545,0.0,100,85,0,,EURUSDH-23APR0415-T1.0861,greater,,1.0861,,1.08611 or above,finalized,2023-04-04 12:15:45,2023-04-04
13,15,11,0,1680610545,0.0,89,85,0,,EURUSDH-23APR0415-T1.0861,greater,,1.0861,,1.08611 or above,finalized,2023-04-04 12:15:45,2023-04-04
14,25,0,0,1680610545,0.0,100,75,0,,EURUSDH-23APR0415-T1.0873,greater,,1.0873,,1.08731 or above,finalized,2023-04-04 12:15:45,2023-04-04
15,23,0,0,1680610545,0.0,100,77,0,,EURUSDH-23APR0415-T1.0873,greater,,1.0873,,1.08731 or above,finalized,2023-04-04 12:15:45,2023-04-04
16,23,16,0,1680610545,0.0,84,77,0,,EURUSDH-23APR0415-T1.0873,greater,,1.0873,,1.08731 or above,finalized,2023-04-04 12:15:45,2023-04-04
17,23,19,0,1680610545,0.0,81,77,0,,EURUSDH-23APR0415-T1.0873,greater,,1.0873,,1.08731 or above,finalized,2023-04-04 12:15:45,2023-04-04
18,38,0,0,1680610545,0.0,100,62,0,,EURUSDH-23APR0415-T1.0885,greater,,1.0885,,1.08851 or above,finalized,2023-04-04 12:15:45,2023-04-04
19,36,0,0,1680610545,0.0,100,64,0,,EURUSDH-23APR0415-T1.0885,greater,,1.0885,,1.08851 or above,finalized,2023-04-04 12:15:45,2023-04-04
20,34,0,0,1680610545,0.0,100,66,0,,EURUSDH-23APR0415-T1.0885,greater,,1.0885,,1.08851 or above,finalized,2023-04-04 12:15:45,2023-04-04
21,34,25,0,1680610545,0.0,75,66,0,,EURUSDH-23APR0415-T1.0885,greater,,1.0885,,1.08851 or above,finalized,2023-04-04 12:15:45,2023-04-04
22,34,28,0,1680610545,0.0,72,66,0,,EURUSDH-23APR0415-T1.0885,greater,,1.0885,,1.08851 or above,finalized,2023-04-04 12:15:45,2023-04-04
23,49,0,0,1680610545,0.0,100,51,0,,EURUSDH-23APR0415-T1.0897,greater,,1.0897,,1.08971 or above,finalized,2023-04-04 12:15:45,2023-04-04
24,46,0,0,1680610545,0.0,100,54,0,,EURUSDH-23APR0415-T1.0897,greater,,1.0897,,1.08971 or above,finalized,2023-04-04 12:15:45,2023-04-04
25,46,38,0,1680610545,0.0,62,54,0,,EURUSDH-23APR0415-T1.0897,greater,,1.0897,,1.08971 or above,finalized,2023-04-04 12:15:45,2023-04-04
26,46,40,0,1680610545,0.0,60,54,0,,EURUSDH-23APR0415-T1.0897,greater,,1.0897,,1.08971 or above,finalized,2023-04-04 12:15:45,2023-04-04
27,61,0,0,1680610545,0.0,100,39,0,,EURUSDH-23APR0415-T1.0909,greater,,1.0909,,1.09091 or above,finalized,2023-04-04 12:15:45,2023-04-04
28,59,0,0,1680610545,0.0,100,41,0,,EURUSDH-23APR0415-T1.0909,greater,,1.0909,,1.09091 or above,finalized,2023-04-04 12:15:45,2023-04-04
29,59,52,0,1680610545,0.0,48,41,0,,EURUSDH-23APR0415-T1.0909,greater,,1.0909,,1.09091 or above,finalized,2023-04-04 12:15:45,2023-04-04
30,59,55,0,1680610545,0.0,45,41,0,,EURUSDH-23APR0415-T1.0909,greater,,1.0909,,1.09091 or above,finalized,2023-04-04 12:15:45,2023-04-04
31,73,0,0,1680610545,0.0,100,27,0,,EURUSDH-23APR0415-T1.0921,greater,,1.0921,,1.09211 or above,finalized,2023-04-04 12:15:45,2023-04-04
32,73,67,0,1680610545,0.0,33,27,0,,EURUSDH-23APR0415-T1.0921,greater,,1.0921,,1.09211 or above,finalized,2023-04-04 12:15:45,2023-04-04
