,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,18,0,0,1680007958,0.0,100,82,0,,EURUSDH-23MAR2815-T1.0795,greater,,1.0795,,1.07951 or above,finalized,2023-03-28 12:52:38,2023-03-28
1,17,0,0,1680007958,0.0,100,83,0,,EURUSDH-23MAR2815-T1.0795,greater,,1.0795,,1.07951 or above,finalized,2023-03-28 12:52:38,2023-03-28
2,17,9,0,1680007958,0.0,91,83,0,,EURUSDH-23MAR2815-T1.0795,greater,,1.0795,,1.07951 or above,finalized,2023-03-28 12:52:38,2023-03-28
3,17,10,0,1680007958,0.0,90,83,0,,EURUSDH-23MAR2815-T1.0795,greater,,1.0795,,1.07951 or above,finalized,2023-03-28 12:52:38,2023-03-28
4,68,0,0,1680007958,0.0,100,32,0,,EURUSDH-23MAR2815-T1.0843,greater,,1.0843,,1.08431 or above,finalized,2023-03-28 12:52:38,2023-03-28
5,66,0,0,1680007958,0.0,100,34,0,,EURUSDH-23MAR2815-T1.0843,greater,,1.0843,,1.08431 or above,finalized,2023-03-28 12:52:38,2023-03-28
6,66,56,0,1680007958,0.0,44,34,0,,EURUSDH-23MAR2815-T1.0843,greater,,1.0843,,1.08431 or above,finalized,2023-03-28 12:52:38,2023-03-28
7,66,57,0,1680007958,0.0,43,34,0,,EURUSDH-23MAR2815-T1.0843,greater,,1.0843,,1.08431 or above,finalized,2023-03-28 12:52:38,2023-03-28
8,79,0,0,1680007958,0.0,100,21,0,,EURUSDH-23MAR2815-T1.0855,greater,,1.0855,,1.08551 or above,finalized,2023-03-28 12:52:38,2023-03-28
9,89,0,0,1680007958,0.0,100,11,0,,EURUSDH-23MAR2815-T1.0867,greater,,1.0867,,1.08671 or above,finalized,2023-03-28 12:52:38,2023-03-28
10,88,0,0,1680007958,0.0,100,12,0,,EURUSDH-23MAR2815-T1.0867,greater,,1.0867,,1.08671 or above,finalized,2023-03-28 12:52:38,2023-03-28
11,88,80,0,1680007958,0.0,20,12,0,,EURUSDH-23MAR2815-T1.0867,greater,,1.0867,,1.08671 or above,finalized,2023-03-28 12:52:38,2023-03-28
12,88,81,0,1680007958,0.0,19,12,0,,EURUSDH-23MAR2815-T1.0867,greater,,1.0867,,1.08671 or above,finalized,2023-03-28 12:52:38,2023-03-28
13,94,0,0,1680007958,0.0,100,6,0,,EURUSDH-23MAR2815-T1.0879,greater,,1.0879,,1.08791 or above,finalized,2023-03-28 12:52:38,2023-03-28
14,94,88,0,1680007958,0.0,12,6,0,,EURUSDH-23MAR2815-T1.0879,greater,,1.0879,,1.08791 or above,finalized,2023-03-28 12:52:38,2023-03-28
