,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,9,0,0,1684243030,0.0,100,91,0,,EURUSDH-23MAY1615-T1.08360,greater,,1.0836,,1.08361 or above,finalized,2023-05-16 13:17:10,2023-05-16
1,8,0,0,1684243030,0.0,100,92,0,,EURUSDH-23MAY1615-T1.08360,greater,,1.0836,,1.08361 or above,finalized,2023-05-16 13:17:10,2023-05-16
2,8,2,0,1684243030,0.0,98,92,0,,EURUSDH-23MAY1615-T1.08360,greater,,1.0836,,1.08361 or above,finalized,2023-05-16 13:17:10,2023-05-16
3,8,3,0,1684243030,0.0,97,92,0,,EURUSDH-23MAY1615-T1.08360,greater,,1.0836,,1.08361 or above,finalized,2023-05-16 13:17:10,2023-05-16
4,18,0,0,1684243030,0.0,100,82,0,,EURUSDH-23MAY1615-T1.08480,greater,,1.0848,,1.08481 or above,finalized,2023-05-16 13:17:10,2023-05-16
5,16,0,0,1684243030,0.0,100,84,0,,EURUSDH-23MAY1615-T1.08480,greater,,1.0848,,1.08481 or above,finalized,2023-05-16 13:17:10,2023-05-16
6,16,11,0,1684243030,0.0,89,84,0,,EURUSDH-23MAY1615-T1.08480,greater,,1.0848,,1.08481 or above,finalized,2023-05-16 13:17:10,2023-05-16
7,32,0,0,1684243030,0.0,100,68,0,,EURUSDH-23MAY1615-T1.08600,greater,,1.086,,1.08601 or above,finalized,2023-05-16 13:17:10,2023-05-16
8,30,0,0,1684243030,0.0,100,70,0,,EURUSDH-23MAY1615-T1.08600,greater,,1.086,,1.08601 or above,finalized,2023-05-16 13:17:10,2023-05-16
9,28,0,0,1684243030,0.0,100,72,0,,EURUSDH-23MAY1615-T1.08600,greater,,1.086,,1.08601 or above,finalized,2023-05-16 13:17:10,2023-05-16
10,28,22,0,1684243030,0.0,78,72,0,,EURUSDH-23MAY1615-T1.08600,greater,,1.086,,1.08601 or above,finalized,2023-05-16 13:17:10,2023-05-16
11,44,0,0,1684243030,0.0,100,56,0,,EURUSDH-23MAY1615-T1.08720,greater,,1.0872,,1.08721 or above,finalized,2023-05-16 13:17:10,2023-05-16
12,44,38,0,1684243030,0.0,62,56,0,,EURUSDH-23MAY1615-T1.08720,greater,,1.0872,,1.08721 or above,finalized,2023-05-16 13:17:10,2023-05-16
13,65,0,0,1684243030,0.0,100,35,0,,EURUSDH-23MAY1615-T1.08840,greater,,1.0884,,1.08841 or above,finalized,2023-05-16 13:17:10,2023-05-16
14,63,0,0,1684243030,0.0,100,37,0,,EURUSDH-23MAY1615-T1.08840,greater,,1.0884,,1.08841 or above,finalized,2023-05-16 13:17:10,2023-05-16
15,61,0,0,1684243030,0.0,100,39,0,,EURUSDH-23MAY1615-T1.08840,greater,,1.0884,,1.08841 or above,finalized,2023-05-16 13:17:10,2023-05-16
16,61,51,0,1684243030,0.0,49,39,0,,EURUSDH-23MAY1615-T1.08840,greater,,1.0884,,1.08841 or above,finalized,2023-05-16 13:17:10,2023-05-16
17,61,54,0,1684243030,0.0,46,39,0,,EURUSDH-23MAY1615-T1.08840,greater,,1.0884,,1.08841 or above,finalized,2023-05-16 13:17:10,2023-05-16
18,61,56,0,1684243030,0.0,44,39,0,,EURUSDH-23MAY1615-T1.08840,greater,,1.0884,,1.08841 or above,finalized,2023-05-16 13:17:10,2023-05-16
19,80,0,0,1684243030,0.0,100,20,0,,EURUSDH-23MAY1615-T1.08960,greater,,1.0896,,1.08961 or above,finalized,2023-05-16 13:17:10,2023-05-16
20,79,0,0,1684243030,0.0,100,21,0,,EURUSDH-23MAY1615-T1.08960,greater,,1.0896,,1.08961 or above,finalized,2023-05-16 13:17:10,2023-05-16
21,77,0,0,1684243030,0.0,100,23,0,,EURUSDH-23MAY1615-T1.08960,greater,,1.0896,,1.08961 or above,finalized,2023-05-16 13:17:10,2023-05-16
22,77,72,0,1684243030,0.0,28,23,0,,EURUSDH-23MAY1615-T1.08960,greater,,1.0896,,1.08961 or above,finalized,2023-05-16 13:17:10,2023-05-16
23,90,0,0,1684243030,0.0,100,10,0,,EURUSDH-23MAY1615-T1.09080,greater,,1.0908,,1.09081 or above,finalized,2023-05-16 13:17:10,2023-05-16
24,89,0,0,1684243030,0.0,100,11,0,,EURUSDH-23MAY1615-T1.09080,greater,,1.0908,,1.09081 or above,finalized,2023-05-16 13:17:10,2023-05-16
25,89,82,0,1684243030,0.0,18,11,0,,EURUSDH-23MAY1615-T1.09080,greater,,1.0908,,1.09081 or above,finalized,2023-05-16 13:17:10,2023-05-16
26,89,84,0,1684243030,0.0,16,11,0,,EURUSDH-23MAY1615-T1.09080,greater,,1.0908,,1.09081 or above,finalized,2023-05-16 13:17:10,2023-05-16
27,96,0,0,1684243030,0.0,100,4,0,,EURUSDH-23MAY1615-T1.09200,greater,,1.092,,1.09201 or above,finalized,2023-05-16 13:17:10,2023-05-16
