,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,95,0,1627567701,0.0,5,0,0,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-29 14:08:21,2021-07-29
1,99,95,0,1627568104,0.0,5,1,0,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-29 14:15:04,2021-07-29
2,99,97,0,1627568104,0.0,3,1,0,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-29 14:15:04,2021-07-29
3,99,97,0,1627568104,0.0,3,1,0,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-29 14:15:04,2021-07-29
4,99,97,0,1627568104,0.0,3,1,0,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-29 14:15:04,2021-07-29
5,99,97,0,1627653303,0.0,3,1,0,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 13:55:03,2021-07-30
6,99,97,0,1627653303,0.0,3,1,0,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 13:55:03,2021-07-30
7,99,97,0,1627653303,0.0,3,1,0,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 13:55:03,2021-07-30
8,99,97,0,1627653303,0.0,3,1,0,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 13:55:03,2021-07-30
9,99,97,0,1627653724,0.0,3,1,0,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 14:02:04,2021-07-30
10,99,97,0,1627653724,0.0,3,1,0,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 14:02:04,2021-07-30
11,99,97,0,1627653725,0.0,3,1,0,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 14:02:05,2021-07-30
12,99,97,0,1627653725,0.0,3,1,0,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 14:02:05,2021-07-30
13,99,97,468,1627654761,468.0,3,1,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 14:19:21,2021-07-30
14,99,96,468,1627654803,0.0,4,1,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 14:20:03,2021-07-30
15,99,96,468,1627654803,0.0,4,1,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 14:20:03,2021-07-30
16,98,96,468,1627654803,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 14:20:03,2021-07-30
17,98,96,468,1627654803,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 14:20:03,2021-07-30
18,98,96,468,1627654803,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 14:20:03,2021-07-30
19,98,96,468,1627654803,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 14:20:03,2021-07-30
20,98,96,468,1627664495,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:01:35,2021-07-30
21,98,96,468,1627664495,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:01:35,2021-07-30
22,98,96,468,1627664495,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:01:35,2021-07-30
23,98,96,468,1627664495,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:01:35,2021-07-30
24,98,96,468,1627664495,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:01:35,2021-07-30
25,98,96,468,1627664496,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:01:36,2021-07-30
26,98,96,468,1627664523,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:02:03,2021-07-30
27,98,96,468,1627664524,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:02:04,2021-07-30
28,98,96,468,1627664524,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:02:04,2021-07-30
29,98,96,468,1627664524,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:02:04,2021-07-30
30,98,96,468,1627664524,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:02:04,2021-07-30
31,98,96,468,1627664624,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:03:44,2021-07-30
32,98,96,468,1627664624,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:03:44,2021-07-30
33,98,96,468,1627664624,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:03:44,2021-07-30
34,98,96,468,1627664624,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:03:44,2021-07-30
35,98,96,468,1627664624,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:03:44,2021-07-30
36,98,96,468,1627664644,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:04:04,2021-07-30
37,98,96,468,1627664644,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:04:04,2021-07-30
38,98,96,468,1627664644,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:04:04,2021-07-30
39,98,96,468,1627664644,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:04:04,2021-07-30
40,98,96,468,1627664644,0.0,4,2,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 17:04:04,2021-07-30
41,97,96,468,1627671838,0.0,4,3,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-30 19:03:58,2021-07-30
42,97,96,468,1627739704,0.0,4,3,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-31 13:55:04,2021-07-31
43,97,96,468,1627739704,0.0,4,3,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-31 13:55:04,2021-07-31
44,97,96,468,1627739704,0.0,4,3,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-31 13:55:04,2021-07-31
45,97,96,468,1627739705,0.0,4,3,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-31 13:55:05,2021-07-31
46,97,96,468,1627739705,0.0,4,3,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-31 13:55:05,2021-07-31
47,97,96,468,1627739705,0.0,4,3,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-31 13:55:05,2021-07-31
48,97,96,468,1627739705,0.0,4,3,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-31 13:55:05,2021-07-31
49,97,96,468,1627739706,0.0,4,3,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-31 13:55:06,2021-07-31
50,97,96,468,1627739706,0.0,4,3,3,,FED-21SEP-T0.25,greater,,0.25,,>0.25%,finalized,2021-07-31 13:55:06,2021-07-31
