,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,69,0,0,1640619674,0.0,100,31,0,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 15:41:14,2021-12-27
1,68,0,0,1640619674,0.0,100,32,0,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 15:41:14,2021-12-27
2,67,0,0,1640619674,0.0,100,33,0,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 15:41:14,2021-12-27
3,66,0,0,1640619674,0.0,100,34,0,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 15:41:14,2021-12-27
4,65,0,0,1640619674,0.0,100,35,0,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 15:41:14,2021-12-27
5,65,61,0,1640619674,0.0,39,35,0,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 15:41:14,2021-12-27
6,65,61,0,1640619674,0.0,39,35,0,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 15:41:14,2021-12-27
7,65,61,0,1640619674,0.0,39,35,0,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 15:41:14,2021-12-27
8,65,61,0,1640619674,0.0,39,35,0,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 15:41:14,2021-12-27
9,65,61,0,1640619674,0.0,39,35,0,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 15:41:14,2021-12-27
10,100,61,133,1640629671,133.0,39,0,31,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 18:27:51,2021-12-27
11,100,60,133,1640629694,0.0,40,0,31,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 18:28:14,2021-12-27
12,100,59,133,1640629694,0.0,41,0,31,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 18:28:14,2021-12-27
13,100,58,133,1640629694,0.0,42,0,31,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 18:28:14,2021-12-27
14,100,57,133,1640629694,0.0,43,0,31,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 18:28:14,2021-12-27
15,100,0,133,1640629695,0.0,100,0,31,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 18:28:15,2021-12-27
16,74,0,133,1640629695,0.0,100,26,31,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 18:28:15,2021-12-27
17,73,0,133,1640629695,0.0,100,27,31,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 18:28:15,2021-12-27
18,72,0,133,1640629695,0.0,100,28,31,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 18:28:15,2021-12-27
19,71,0,133,1640629695,0.0,100,29,31,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 18:28:15,2021-12-27
20,70,0,133,1640629695,0.0,100,30,31,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 18:28:15,2021-12-27
21,70,66,133,1640629695,0.0,34,30,31,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 18:28:15,2021-12-27
22,70,66,133,1640629695,0.0,34,30,31,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 18:28:15,2021-12-27
23,70,66,133,1640629695,0.0,34,30,31,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 18:28:15,2021-12-27
24,70,66,133,1640629695,0.0,34,30,31,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 18:28:15,2021-12-27
25,70,66,133,1640629695,0.0,34,30,31,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 18:28:15,2021-12-27
26,100,66,290,1640629712,157.0,34,0,26,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 18:28:32,2021-12-27
27,100,65,290,1640629755,0.0,35,0,26,,FED-22JAN-T0.25,greater,,0.25,,>0.25%,finalized,2021-12-27 18:29:15,2021-12-27
