,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,48,0,0,1667406415,0.0,100,52,0,,FED-23DEC-T3.00,greater,,3.0,,>3.00%,active,2022-11-02 16:26:55,2022-11-02
1,65,0,0,1667406423,0.0,100,35,0,,FED-23DEC-T3.25,greater,,3.25,,>3.25%,active,2022-11-02 16:27:03,2022-11-02
2,65,0,0,1667406433,0.0,100,35,0,,FED-23DEC-T3.50,greater,,3.5,,>3.50%,active,2022-11-02 16:27:13,2022-11-02
3,57,0,0,1667417151,0.0,100,43,0,,FED-23DEC-T4.50,greater,,4.5,,>4.50%,active,2022-11-02 19:25:51,2022-11-02
4,57,47,0,1667417151,0.0,53,43,0,,FED-23DEC-T4.50,greater,,4.5,,>4.50%,active,2022-11-02 19:25:51,2022-11-02
5,53,47,0,1667417152,0.0,53,47,0,,FED-23DEC-T4.50,greater,,4.5,,>4.50%,active,2022-11-02 19:25:52,2022-11-02
6,100,43,0,1667417209,0.0,57,0,0,,FED-23DEC-T6.00,greater,,6.0,,>6.00%,active,2022-11-02 19:26:49,2022-11-02
7,57,43,0,1667417209,0.0,57,43,0,,FED-23DEC-T6.00,greater,,6.0,,>6.00%,active,2022-11-02 19:26:49,2022-11-02
8,57,47,0,1667417209,0.0,53,43,0,,FED-23DEC-T6.00,greater,,6.0,,>6.00%,active,2022-11-02 19:26:49,2022-11-02
9,53,47,0,1667417209,0.0,53,47,0,,FED-23DEC-T6.00,greater,,6.0,,>6.00%,active,2022-11-02 19:26:49,2022-11-02
10,100,47,0,1667417258,0.0,53,0,0,,FED-23DEC-T6.25,greater,,6.25,,>6.25%,active,2022-11-02 19:27:38,2022-11-02
11,57,47,0,1667417258,0.0,53,43,0,,FED-23DEC-T6.25,greater,,6.25,,>6.25%,active,2022-11-02 19:27:38,2022-11-02
12,55,47,0,1667417258,0.0,53,45,0,,FED-23DEC-T6.25,greater,,6.25,,>6.25%,active,2022-11-02 19:27:38,2022-11-02
13,53,47,0,1667417258,0.0,53,47,0,,FED-23DEC-T6.25,greater,,6.25,,>6.25%,active,2022-11-02 19:27:38,2022-11-02
14,100,47,0,1667417266,0.0,53,0,0,,FED-23DEC-T4.00,greater,,4.0,,>4.00%,active,2022-11-02 19:27:46,2022-11-02
15,57,47,0,1667417266,0.0,53,43,0,,FED-23DEC-T4.00,greater,,4.0,,>4.00%,active,2022-11-02 19:27:46,2022-11-02
16,55,47,0,1667417266,0.0,53,45,0,,FED-23DEC-T4.00,greater,,4.0,,>4.00%,active,2022-11-02 19:27:46,2022-11-02
17,53,47,0,1667417266,0.0,53,47,0,,FED-23DEC-T4.00,greater,,4.0,,>4.00%,active,2022-11-02 19:27:46,2022-11-02
18,100,47,0,1667417318,0.0,53,0,0,,FED-23DEC-T5.25,greater,,5.25,,>5.25%,active,2022-11-02 19:28:38,2022-11-02
19,55,47,0,1667417318,0.0,53,45,0,,FED-23DEC-T5.25,greater,,5.25,,>5.25%,active,2022-11-02 19:28:38,2022-11-02
20,53,47,0,1667417319,0.0,53,47,0,,FED-23DEC-T5.25,greater,,5.25,,>5.25%,active,2022-11-02 19:28:39,2022-11-02
21,53,0,0,1667417324,0.0,100,47,0,,FED-23DEC-T3.25,greater,,3.25,,>3.25%,active,2022-11-02 19:28:44,2022-11-02
22,53,45,0,1667417324,0.0,55,47,0,,FED-23DEC-T3.25,greater,,3.25,,>3.25%,active,2022-11-02 19:28:44,2022-11-02
23,53,47,0,1667417324,0.0,53,47,0,,FED-23DEC-T3.25,greater,,3.25,,>3.25%,active,2022-11-02 19:28:44,2022-11-02
24,48,47,0,1667417378,0.0,53,52,0,,FED-23DEC-T3.00,greater,,3.0,,>3.00%,active,2022-11-02 19:29:38,2022-11-02
25,57,0,0,1667417382,0.0,100,43,0,,FED-23DEC-T4.25,greater,,4.25,,>4.25%,active,2022-11-02 19:29:42,2022-11-02
26,57,43,0,1667417382,0.0,57,43,0,,FED-23DEC-T4.25,greater,,4.25,,>4.25%,active,2022-11-02 19:29:42,2022-11-02
27,57,45,0,1667417382,0.0,55,43,0,,FED-23DEC-T4.25,greater,,4.25,,>4.25%,active,2022-11-02 19:29:42,2022-11-02
