,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,95,0,0,1667402273,0.0,100,5,0,,FED-23JUN-T5.50,greater,,5.5,,>5.50%,active,2022-11-02 15:17:53,2022-11-02
1,97,0,0,1667402284,0.0,100,3,0,,FED-23JUN-T5.75,greater,,5.75,,>5.75%,active,2022-11-02 15:18:04,2022-11-02
2,99,0,0,1667402291,0.0,100,1,0,,FED-23JUN-T6.00,greater,,6.0,,>6.00%,active,2022-11-02 15:18:11,2022-11-02
3,88,0,0,1667408222,0.0,100,12,0,,FED-23JUN-T4.25,greater,,4.25,,>4.25%,active,2022-11-02 16:57:02,2022-11-02
4,88,0,0,1667408227,0.0,100,12,0,,FED-23JUN-T4.00,greater,,4.0,,>4.00%,active,2022-11-02 16:57:07,2022-11-02
5,88,0,0,1667408233,0.0,100,12,0,,FED-23JUN-T3.75,greater,,3.75,,>3.75%,active,2022-11-02 16:57:13,2022-11-02
6,48,0,0,1667408239,0.0,100,52,0,,FED-23JUN-T3.50,greater,,3.5,,>3.50%,active,2022-11-02 16:57:19,2022-11-02
7,18,0,0,1667408243,0.0,100,82,0,,FED-23JUN-T3.25,greater,,3.25,,>3.25%,active,2022-11-02 16:57:23,2022-11-02
8,18,0,0,1667408249,0.0,100,82,0,,FED-23JUN-T3.00,greater,,3.0,,>3.00%,active,2022-11-02 16:57:29,2022-11-02
9,88,47,0,1667417148,0.0,53,12,0,,FED-23JUN-T4.25,greater,,4.25,,>4.25%,active,2022-11-02 19:25:48,2022-11-02
10,55,47,0,1667417148,0.0,53,45,0,,FED-23JUN-T4.25,greater,,4.25,,>4.25%,active,2022-11-02 19:25:48,2022-11-02
11,53,47,0,1667417148,0.0,53,47,0,,FED-23JUN-T4.25,greater,,4.25,,>4.25%,active,2022-11-02 19:25:48,2022-11-02
12,55,0,0,1667417201,0.0,100,45,0,,FED-23JUN-T5.75,greater,,5.75,,>5.75%,active,2022-11-02 19:26:41,2022-11-02
13,55,47,0,1667417201,0.0,53,45,0,,FED-23JUN-T5.75,greater,,5.75,,>5.75%,active,2022-11-02 19:26:41,2022-11-02
14,53,47,0,1667417201,0.0,53,47,0,,FED-23JUN-T5.75,greater,,5.75,,>5.75%,active,2022-11-02 19:26:41,2022-11-02
15,53,0,0,1667417208,0.0,100,47,0,,FED-23JUN-T6.50,greater,,6.5,,>6.50%,active,2022-11-02 19:26:48,2022-11-02
16,53,43,0,1667417208,0.0,57,47,0,,FED-23JUN-T6.50,greater,,6.5,,>6.50%,active,2022-11-02 19:26:48,2022-11-02
17,53,45,0,1667417208,0.0,55,47,0,,FED-23JUN-T6.50,greater,,6.5,,>6.50%,active,2022-11-02 19:26:48,2022-11-02
18,53,47,0,1667417208,0.0,53,47,0,,FED-23JUN-T6.50,greater,,6.5,,>6.50%,active,2022-11-02 19:26:48,2022-11-02
19,100,43,0,1667417269,0.0,57,0,0,,FED-23JUN-T4.75,greater,,4.75,,>4.75%,active,2022-11-02 19:27:49,2022-11-02
20,57,43,0,1667417269,0.0,57,43,0,,FED-23JUN-T4.75,greater,,4.75,,>4.75%,active,2022-11-02 19:27:49,2022-11-02
21,57,45,0,1667417269,0.0,55,43,0,,FED-23JUN-T4.75,greater,,4.75,,>4.75%,active,2022-11-02 19:27:49,2022-11-02
22,55,45,0,1667417269,0.0,55,45,0,,FED-23JUN-T4.75,greater,,4.75,,>4.75%,active,2022-11-02 19:27:49,2022-11-02
23,55,47,0,1667417269,0.0,53,45,0,,FED-23JUN-T4.75,greater,,4.75,,>4.75%,active,2022-11-02 19:27:49,2022-11-02
24,53,47,0,1667417269,0.0,53,47,0,,FED-23JUN-T4.75,greater,,4.75,,>4.75%,active,2022-11-02 19:27:49,2022-11-02
25,18,0,36,1667417317,36.0,100,82,82,,FED-23JUN-T3.00,greater,,3.0,,>3.00%,active,2022-11-02 19:28:37,2022-11-02
26,18,0,64,1667417317,28.0,100,82,82,,FED-23JUN-T3.00,greater,,3.0,,>3.00%,active,2022-11-02 19:28:37,2022-11-02
27,18,0,93,1667417317,29.0,100,82,82,,FED-23JUN-T3.00,greater,,3.0,,>3.00%,active,2022-11-02 19:28:37,2022-11-02
28,100,47,0,1667417321,0.0,53,0,0,,FED-23JUN-T4.50,greater,,4.5,,>4.50%,active,2022-11-02 19:28:41,2022-11-02
