,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,95,0,0,1667402205,0.0,100,5,0,,FED-23MAY-T5.50,greater,,5.5,,>5.50%,finalized,2022-11-02 15:16:45,2022-11-02
1,97,0,0,1667402226,0.0,100,3,0,,FED-23MAY-T5.75,greater,,5.75,,>5.75%,finalized,2022-11-02 15:17:06,2022-11-02
2,99,0,0,1667402239,0.0,100,1,0,,FED-23MAY-T6.00,greater,,6.0,,>6.00%,finalized,2022-11-02 15:17:19,2022-11-02
3,48,0,0,1667406342,0.0,100,52,0,,FED-23MAY-T3.00,greater,,3.0,,>3.00%,finalized,2022-11-02 16:25:42,2022-11-02
4,38,0,0,1667406350,0.0,100,62,0,,FED-23MAY-T3.25,greater,,3.25,,>3.25%,finalized,2022-11-02 16:25:50,2022-11-02
5,28,0,0,1667406356,0.0,100,72,0,,FED-23MAY-T3.50,greater,,3.5,,>3.50%,finalized,2022-11-02 16:25:56,2022-11-02
6,18,0,0,1667406363,0.0,100,82,0,,FED-23MAY-T3.25,greater,,3.25,,>3.25%,finalized,2022-11-02 16:26:03,2022-11-02
7,18,0,0,1667406370,0.0,100,82,0,,FED-23MAY-T3.00,greater,,3.0,,>3.00%,finalized,2022-11-02 16:26:10,2022-11-02
8,98,0,0,1667406544,0.0,100,2,0,,FED-23MAY-T5.00,greater,,5.0,,>5.00% :: 25+ bp hike,finalized,2022-11-02 16:29:04,2022-11-02
9,98,0,0,1667406549,0.0,100,2,0,,FED-23MAY-T4.75,greater,,4.75,,>4.75% :: Pause or hike,finalized,2022-11-02 16:29:09,2022-11-02
10,49,0,0,1667406554,0.0,100,51,0,,FED-23MAY-T4.50,greater,,4.5,,">4.50% :: Hike, pause, or 25 bp cut",finalized,2022-11-02 16:29:14,2022-11-02
11,94,0,0,1667406561,0.0,100,6,0,,FED-23MAY-T4.25,greater,,4.25,,>4.25%,finalized,2022-11-02 16:29:21,2022-11-02
12,94,0,0,1667406568,0.0,100,6,0,,FED-23MAY-T4.00,greater,,4.0,,>4.00%,finalized,2022-11-02 16:29:28,2022-11-02
13,88,0,0,1667406574,0.0,100,12,0,,FED-23MAY-T3.75,greater,,3.75,,>3.75%,finalized,2022-11-02 16:29:34,2022-11-02
14,98,0,0,1667406588,0.0,100,2,0,,FED-23MAY-T5.25,greater,,5.25,,>5.25% :: 50+ bp hike,finalized,2022-11-02 16:29:48,2022-11-02
15,95,2,0,1667406605,0.0,98,5,0,,FED-23MAY-T5.50,greater,,5.5,,>5.50%,finalized,2022-11-02 16:30:05,2022-11-02
16,97,2,0,1667406609,0.0,98,3,0,,FED-23MAY-T5.75,greater,,5.75,,>5.75%,finalized,2022-11-02 16:30:09,2022-11-02
17,99,2,0,1667406613,0.0,98,1,0,,FED-23MAY-T6.00,greater,,6.0,,>6.00%,finalized,2022-11-02 16:30:13,2022-11-02
18,100,2,0,1667406617,0.0,98,0,0,,FED-23MAY-T6.25,greater,,6.25,,>6.25%,finalized,2022-11-02 16:30:17,2022-11-02
19,100,2,0,1667406621,0.0,98,0,0,,FED-23MAY-T6.50,greater,,6.5,,>6.50%,finalized,2022-11-02 16:30:21,2022-11-02
20,100,52,0,1667406626,0.0,48,0,0,,FED-23MAY-T6.50,greater,,6.5,,>6.50%,finalized,2022-11-02 16:30:26,2022-11-02
21,100,53,0,1667406636,0.0,47,0,0,,FED-23MAY-T6.25,greater,,6.25,,>6.25%,finalized,2022-11-02 16:30:36,2022-11-02
22,99,22,0,1667406643,0.0,78,1,0,,FED-23MAY-T6.00,greater,,6.0,,>6.00%,finalized,2022-11-02 16:30:43,2022-11-02
23,97,12,0,1667406650,0.0,88,3,0,,FED-23MAY-T5.75,greater,,5.75,,>5.75%,finalized,2022-11-02 16:30:50,2022-11-02
24,94,0,0,1667406665,0.0,100,6,0,,FED-23MAY-T5.25,greater,,5.25,,>5.25% :: 50+ bp hike,finalized,2022-11-02 16:31:05,2022-11-02
25,94,2,0,1667406683,0.0,98,6,0,,FED-23MAY-T5.25,greater,,5.25,,>5.25% :: 50+ bp hike,finalized,2022-11-02 16:31:23,2022-11-02
26,88,0,0,1667406705,0.0,100,12,0,,FED-23MAY-T4.75,greater,,4.75,,>4.75% :: Pause or hike,finalized,2022-11-02 16:31:45,2022-11-02
27,94,0,0,1667406740,0.0,100,6,0,,FED-23MAY-T5.00,greater,,5.0,,>5.00% :: 25+ bp hike,finalized,2022-11-02 16:32:20,2022-11-02
28,88,0,0,1667406744,0.0,100,12,0,,FED-23MAY-T5.00,greater,,5.0,,>5.00% :: 25+ bp hike,finalized,2022-11-02 16:32:24,2022-11-02
29,100,82,0,1667406758,0.0,18,0,0,,FED-23MAY-T6.50,greater,,6.5,,>6.50%,finalized,2022-11-02 16:32:38,2022-11-02
30,100,65,0,1667406767,0.0,35,0,0,,FED-23MAY-T6.25,greater,,6.25,,>6.25%,finalized,2022-11-02 16:32:47,2022-11-02
31,99,58,0,1667406776,0.0,42,1,0,,FED-23MAY-T6.00,greater,,6.0,,>6.00%,finalized,2022-11-02 16:32:56,2022-11-02
32,100,82,0,1667406804,0.0,18,0,0,,FED-23MAY-T6.25,greater,,6.25,,>6.25%,finalized,2022-11-02 16:33:24,2022-11-02
33,18,0,0,1667408142,0.0,100,82,0,,FED-23MAY-T3.50,greater,,3.5,,>3.50%,finalized,2022-11-02 16:55:42,2022-11-02
34,18,0,0,1667408153,0.0,100,82,0,,FED-23MAY-T3.75,greater,,3.75,,>3.75%,finalized,2022-11-02 16:55:53,2022-11-02
35,45,0,0,1667408162,0.0,100,55,0,,FED-23MAY-T4.00,greater,,4.0,,>4.00%,finalized,2022-11-02 16:56:02,2022-11-02
36,75,0,0,1667408175,0.0,100,25,0,,FED-23MAY-T4.25,greater,,4.25,,>4.25%,finalized,2022-11-02 16:56:15,2022-11-02
37,58,0,0,1667408182,0.0,100,42,0,,FED-23MAY-T4.25,greater,,4.25,,>4.25%,finalized,2022-11-02 16:56:22,2022-11-02
38,25,0,0,1667408193,0.0,100,75,0,,FED-23MAY-T4.25,greater,,4.25,,>4.25%,finalized,2022-11-02 16:56:33,2022-11-02
39,88,1,0,1667408205,0.0,99,12,0,,FED-23MAY-T5.00,greater,,5.0,,>5.00% :: 25+ bp hike,finalized,2022-11-02 16:56:45,2022-11-02
40,97,22,0,1667409237,0.0,78,3,0,,FED-23MAY-T5.75,greater,,5.75,,>5.75%,finalized,2022-11-02 17:13:57,2022-11-02
41,97,65,0,1667409242,0.0,35,3,0,,FED-23MAY-T5.75,greater,,5.75,,>5.75%,finalized,2022-11-02 17:14:02,2022-11-02
42,78,0,0,1667409261,0.0,100,22,0,,FED-23MAY-T4.75,greater,,4.75,,>4.75% :: Pause or hike,finalized,2022-11-02 17:14:21,2022-11-02
43,25,0,0,1667409310,0.0,100,75,0,,FED-23MAY-T4.00,greater,,4.0,,>4.00%,finalized,2022-11-02 17:15:10,2022-11-02
44,100,85,0,1667412966,0.0,15,0,0,,FED-23MAY-T6.50,greater,,6.5,,>6.50%,finalized,2022-11-02 18:16:06,2022-11-02
45,100,85,0,1667412974,0.0,15,0,0,,FED-23MAY-T6.25,greater,,6.25,,>6.25%,finalized,2022-11-02 18:16:14,2022-11-02
46,97,66,0,1667413000,0.0,34,3,0,,FED-23MAY-T5.75,greater,,5.75,,>5.75%,finalized,2022-11-02 18:16:40,2022-11-02
47,95,50,0,1667413012,0.0,50,5,0,,FED-23MAY-T5.50,greater,,5.5,,>5.50%,finalized,2022-11-02 18:16:52,2022-11-02
48,94,50,0,1667413257,0.0,50,6,0,,FED-23MAY-T5.25,greater,,5.25,,>5.25% :: 50+ bp hike,finalized,2022-11-02 18:20:57,2022-11-02
49,94,2,0,1667414936,0.0,98,6,0,,FED-23MAY-T5.25,greater,,5.25,,>5.25% :: 50+ bp hike,finalized,2022-11-02 18:48:56,2022-11-02
50,100,85,28,1667417144,28.0,15,0,15,,FED-23MAY-T6.25,greater,,6.25,,>6.25%,finalized,2022-11-02 19:25:44,2022-11-02
51,100,85,57,1667417144,29.0,15,0,15,,FED-23MAY-T6.25,greater,,6.25,,>6.25%,finalized,2022-11-02 19:25:44,2022-11-02
52,100,85,93,1667417144,36.0,15,0,15,,FED-23MAY-T6.25,greater,,6.25,,>6.25%,finalized,2022-11-02 19:25:44,2022-11-02
53,55,0,0,1667417145,0.0,100,45,0,,FED-23MAY-T4.75,greater,,4.75,,>4.75% :: Pause or hike,finalized,2022-11-02 19:25:45,2022-11-02
54,55,43,0,1667417145,0.0,57,45,0,,FED-23MAY-T4.75,greater,,4.75,,>4.75% :: Pause or hike,finalized,2022-11-02 19:25:45,2022-11-02
55,53,43,0,1667417145,0.0,57,47,0,,FED-23MAY-T4.75,greater,,4.75,,>4.75% :: Pause or hike,finalized,2022-11-02 19:25:45,2022-11-02
56,53,47,0,1667417146,0.0,53,47,0,,FED-23MAY-T4.75,greater,,4.75,,>4.75% :: Pause or hike,finalized,2022-11-02 19:25:46,2022-11-02
57,18,0,28,1667417147,28.0,100,82,82,,FED-23MAY-T3.25,greater,,3.25,,>3.25%,finalized,2022-11-02 19:25:47,2022-11-02
58,18,0,57,1667417147,29.0,100,82,82,,FED-23MAY-T3.25,greater,,3.25,,>3.25%,finalized,2022-11-02 19:25:47,2022-11-02
59,18,0,93,1667417147,36.0,100,82,82,,FED-23MAY-T3.25,greater,,3.25,,>3.25%,finalized,2022-11-02 19:25:47,2022-11-02
60,25,0,28,1667417154,28.0,100,75,75,,FED-23MAY-T4.25,greater,,4.25,,>4.25%,finalized,2022-11-02 19:25:54,2022-11-02
61,25,0,64,1667417154,36.0,100,75,75,,FED-23MAY-T4.25,greater,,4.25,,>4.25%,finalized,2022-11-02 19:25:54,2022-11-02
62,25,0,93,1667417154,29.0,100,75,75,,FED-23MAY-T4.25,greater,,4.25,,>4.25%,finalized,2022-11-02 19:25:54,2022-11-02
63,18,0,28,1667417204,28.0,100,82,82,,FED-23MAY-T3.75,greater,,3.75,,>3.75%,finalized,2022-11-02 19:26:44,2022-11-02
64,18,0,57,1667417204,29.0,100,82,82,,FED-23MAY-T3.75,greater,,3.75,,>3.75%,finalized,2022-11-02 19:26:44,2022-11-02
65,18,0,93,1667417204,36.0,100,82,82,,FED-23MAY-T3.75,greater,,3.75,,>3.75%,finalized,2022-11-02 19:26:44,2022-11-02
66,94,47,0,1667417212,0.0,53,6,0,,FED-23MAY-T5.25,greater,,5.25,,>5.25% :: 50+ bp hike,finalized,2022-11-02 19:26:52,2022-11-02
67,57,47,0,1667417212,0.0,53,43,0,,FED-23MAY-T5.25,greater,,5.25,,>5.25% :: 50+ bp hike,finalized,2022-11-02 19:26:52,2022-11-02
