,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,65,0,0,1667406445,0.0,100,35,0,,FED-23NOV-T3.00,greater,,3.0,,>3.00%,active,2022-11-02 16:27:25,2022-11-02
1,100,1,0,1667406454,0.0,99,0,0,,FED-23NOV-T6.50,greater,,6.5,,>6.50%,active,2022-11-02 16:27:34,2022-11-02
2,100,1,0,1667406457,0.0,99,0,0,,FED-23NOV-T6.25,greater,,6.25,,>6.25%,active,2022-11-02 16:27:37,2022-11-02
3,100,1,0,1667406463,0.0,99,0,0,,FED-23NOV-T6.00,greater,,6.0,,>6.00%,active,2022-11-02 16:27:43,2022-11-02
4,100,1,0,1667406466,0.0,99,0,0,,FED-23NOV-T5.75,greater,,5.75,,>5.75%,active,2022-11-02 16:27:46,2022-11-02
5,100,1,0,1667406475,0.0,99,0,0,,FED-23NOV-T5.50,greater,,5.5,,>5.50%,active,2022-11-02 16:27:55,2022-11-02
6,99,0,0,1667406487,0.0,100,1,0,,FED-23NOV-T5.00,greater,,5.0,,>5.00%,active,2022-11-02 16:28:07,2022-11-02
7,94,0,0,1667406493,0.0,100,6,0,,FED-23NOV-T4.75,greater,,4.75,,>4.75%,active,2022-11-02 16:28:13,2022-11-02
8,94,0,0,1667406499,0.0,100,6,0,,FED-23NOV-T4.50,greater,,4.5,,>4.50%,active,2022-11-02 16:28:19,2022-11-02
9,94,0,0,1667406504,0.0,100,6,0,,FED-23NOV-T4.25,greater,,4.25,,>4.25%,active,2022-11-02 16:28:24,2022-11-02
10,94,0,0,1667406509,0.0,100,6,0,,FED-23NOV-T4.00,greater,,4.0,,>4.00%,active,2022-11-02 16:28:29,2022-11-02
11,94,0,0,1667406515,0.0,100,6,0,,FED-23NOV-T3.75,greater,,3.75,,>3.75%,active,2022-11-02 16:28:35,2022-11-02
12,94,0,0,1667406521,0.0,100,6,0,,FED-23NOV-T3.50,greater,,3.5,,>3.50%,active,2022-11-02 16:28:41,2022-11-02
13,94,0,0,1667406526,0.0,100,6,0,,FED-23NOV-T3.25,greater,,3.25,,>3.25%,active,2022-11-02 16:28:46,2022-11-02
14,90,0,0,1667408192,0.0,100,10,0,,FED-23NOV-T5.00,greater,,5.0,,>5.00%,active,2022-11-02 16:56:32,2022-11-02
15,94,47,0,1667417140,0.0,53,6,0,,FED-23NOV-T3.75,greater,,3.75,,>3.75%,active,2022-11-02 19:25:40,2022-11-02
16,57,47,0,1667417140,0.0,53,43,0,,FED-23NOV-T3.75,greater,,3.75,,>3.75%,active,2022-11-02 19:25:40,2022-11-02
17,53,47,0,1667417140,0.0,53,47,0,,FED-23NOV-T3.75,greater,,3.75,,>3.75%,active,2022-11-02 19:25:40,2022-11-02
18,100,43,0,1667417141,0.0,57,0,0,,FED-23NOV-T5.25,greater,,5.25,,>5.25%,active,2022-11-02 19:25:41,2022-11-02
19,100,45,0,1667417141,0.0,55,0,0,,FED-23NOV-T5.25,greater,,5.25,,>5.25%,active,2022-11-02 19:25:41,2022-11-02
20,100,47,0,1667417141,0.0,53,0,0,,FED-23NOV-T5.25,greater,,5.25,,>5.25%,active,2022-11-02 19:25:41,2022-11-02
21,57,47,0,1667417141,0.0,53,43,0,,FED-23NOV-T5.25,greater,,5.25,,>5.25%,active,2022-11-02 19:25:41,2022-11-02
22,55,47,0,1667417141,0.0,53,45,0,,FED-23NOV-T5.25,greater,,5.25,,>5.25%,active,2022-11-02 19:25:41,2022-11-02
23,53,47,0,1667417141,0.0,53,47,0,,FED-23NOV-T5.25,greater,,5.25,,>5.25%,active,2022-11-02 19:25:41,2022-11-02
24,53,1,0,1667417142,0.0,99,47,0,,FED-23NOV-T6.25,greater,,6.25,,>6.25%,active,2022-11-02 19:25:42,2022-11-02
25,53,43,0,1667417142,0.0,57,47,0,,FED-23NOV-T6.25,greater,,6.25,,>6.25%,active,2022-11-02 19:25:42,2022-11-02
26,53,47,0,1667417142,0.0,53,47,0,,FED-23NOV-T6.25,greater,,6.25,,>6.25%,active,2022-11-02 19:25:42,2022-11-02
27,53,1,0,1667417153,0.0,99,47,0,,FED-23NOV-T5.75,greater,,5.75,,>5.75%,active,2022-11-02 19:25:53,2022-11-02
28,53,43,0,1667417153,0.0,57,47,0,,FED-23NOV-T5.75,greater,,5.75,,>5.75%,active,2022-11-02 19:25:53,2022-11-02
29,53,47,0,1667417153,0.0,53,47,0,,FED-23NOV-T5.75,greater,,5.75,,>5.75%,active,2022-11-02 19:25:53,2022-11-02
30,94,45,0,1667417264,0.0,55,6,0,,FED-23NOV-T4.75,greater,,4.75,,>4.75%,active,2022-11-02 19:27:44,2022-11-02
31,94,47,0,1667417264,0.0,53,6,0,,FED-23NOV-T4.75,greater,,4.75,,>4.75%,active,2022-11-02 19:27:44,2022-11-02
32,57,47,0,1667417264,0.0,53,43,0,,FED-23NOV-T4.75,greater,,4.75,,>4.75%,active,2022-11-02 19:27:44,2022-11-02
33,55,47,0,1667417264,0.0,53,45,0,,FED-23NOV-T4.75,greater,,4.75,,>4.75%,active,2022-11-02 19:27:44,2022-11-02
34,53,47,0,1667417264,0.0,53,47,0,,FED-23NOV-T4.75,greater,,4.75,,>4.75%,active,2022-11-02 19:27:44,2022-11-02
