,no_ask,no_bid,open_interest,ts,volume,yes_ask,yes_bid,yes_price,discriminator,market_ticker,strike_type,cap_strike,floor_strike,custom_strike,subtitle,status,time_stamp,date
0,100,1,0,1683144865,0.0,99,0,0,,FEDDECISION-23JUN-C25,custom,,,{'Cut': '25'},Cut 25bps,active,2023-05-03 20:14:25,2023-05-03
1,100,0,0,1683144865,0.0,100,0,0,,FEDDECISION-23JUN-C25,custom,,,{'Cut': '25'},Cut 25bps,active,2023-05-03 20:14:25,2023-05-03
2,100,1,0,1683144865,0.0,99,0,0,,FEDDECISION-23JUN-C>25,custom,,,{'Cut': '>25'},Cut >25bps,active,2023-05-03 20:14:25,2023-05-03
3,100,0,0,1683144865,0.0,100,0,0,,FEDDECISION-23JUN-C>25,custom,,,{'Cut': '>25'},Cut >25bps,active,2023-05-03 20:14:25,2023-05-03
4,100,1,0,1683144865,0.0,99,0,0,,FEDDECISION-23JUN-C>25,custom,,,{'Cut': '>25'},Cut >25bps,active,2023-05-03 20:14:25,2023-05-03
5,26,0,0,1683144865,0.0,100,74,0,,FEDDECISION-23JUN-H0,custom,,,{'Hike': '0'},Hike 0bps,active,2023-05-03 20:14:25,2023-05-03
6,24,0,0,1683144865,0.0,100,76,0,,FEDDECISION-23JUN-H0,custom,,,{'Hike': '0'},Hike 0bps,active,2023-05-03 20:14:25,2023-05-03
7,24,18,0,1683144865,0.0,82,76,0,,FEDDECISION-23JUN-H0,custom,,,{'Hike': '0'},Hike 0bps,active,2023-05-03 20:14:25,2023-05-03
8,24,20,0,1683144865,0.0,80,76,0,,FEDDECISION-23JUN-H0,custom,,,{'Hike': '0'},Hike 0bps,active,2023-05-03 20:14:25,2023-05-03
9,84,0,0,1683144865,0.0,100,16,0,,FEDDECISION-23JUN-H25,custom,,,{'Hike': '25'},Hike 25bps,active,2023-05-03 20:14:25,2023-05-03
10,84,1,0,1683144865,0.0,99,16,0,,FEDDECISION-23JUN-H25,custom,,,{'Hike': '25'},Hike 25bps,active,2023-05-03 20:14:25,2023-05-03
11,81,77,0,1683144865,0.0,23,19,0,,FEDDECISION-23JUN-H25,custom,,,{'Hike': '25'},Hike 25bps,active,2023-05-03 20:14:25,2023-05-03
12,100,1,0,1683144865,0.0,99,0,0,,FEDDECISION-23JUN-H>25,custom,,,{'Hike': '>25'},Hike >25bps,active,2023-05-03 20:14:25,2023-05-03
13,100,21,0,1683145129,0.0,79,0,0,,FEDDECISION-23JUN-C25,custom,,,{'Cut': '25'},Cut 25bps,active,2023-05-03 20:18:49,2023-05-03
14,100,22,0,1683145129,0.0,78,0,0,,FEDDECISION-23JUN-C25,custom,,,{'Cut': '25'},Cut 25bps,active,2023-05-03 20:18:49,2023-05-03
15,100,21,0,1683145626,0.0,79,0,0,,FEDDECISION-23JUN-C>25,custom,,,{'Cut': '>25'},Cut >25bps,active,2023-05-03 20:27:06,2023-05-03
16,100,22,0,1683145626,0.0,78,0,0,,FEDDECISION-23JUN-C>25,custom,,,{'Cut': '>25'},Cut >25bps,active,2023-05-03 20:27:06,2023-05-03
17,100,21,0,1683145632,0.0,79,0,0,,FEDDECISION-23JUN-H>25,custom,,,{'Hike': '>25'},Hike >25bps,active,2023-05-03 20:27:12,2023-05-03
18,100,22,0,1683145632,0.0,78,0,0,,FEDDECISION-23JUN-H>25,custom,,,{'Hike': '>25'},Hike >25bps,active,2023-05-03 20:27:12,2023-05-03
19,100,21,0,1683146149,0.0,79,0,0,,FEDDECISION-23JUN-C>25,custom,,,{'Cut': '>25'},Cut >25bps,active,2023-05-03 20:35:49,2023-05-03
20,100,20,0,1683146149,0.0,80,0,0,,FEDDECISION-23JUN-H0,custom,,,{'Hike': '0'},Hike 0bps,active,2023-05-03 20:35:49,2023-05-03
21,100,18,0,1683146149,0.0,82,0,0,,FEDDECISION-23JUN-H0,custom,,,{'Hike': '0'},Hike 0bps,active,2023-05-03 20:35:49,2023-05-03
22,28,18,0,1683146149,0.0,82,72,0,,FEDDECISION-23JUN-H0,custom,,,{'Hike': '0'},Hike 0bps,active,2023-05-03 20:35:49,2023-05-03
23,26,18,0,1683146149,0.0,82,74,0,,FEDDECISION-23JUN-H0,custom,,,{'Hike': '0'},Hike 0bps,active,2023-05-03 20:35:49,2023-05-03
24,24,18,0,1683146149,0.0,82,76,0,,FEDDECISION-23JUN-H0,custom,,,{'Hike': '0'},Hike 0bps,active,2023-05-03 20:35:49,2023-05-03
25,24,20,0,1683146149,0.0,80,76,0,,FEDDECISION-23JUN-H0,custom,,,{'Hike': '0'},Hike 0bps,active,2023-05-03 20:35:49,2023-05-03
26,83,77,0,1683146149,0.0,23,17,0,,FEDDECISION-23JUN-H25,custom,,,{'Hike': '25'},Hike 25bps,active,2023-05-03 20:35:49,2023-05-03
27,100,77,0,1683146149,0.0,23,0,0,,FEDDECISION-23JUN-H25,custom,,,{'Hike': '25'},Hike 25bps,active,2023-05-03 20:35:49,2023-05-03
28,100,75,0,1683146149,0.0,25,0,0,,FEDDECISION-23JUN-H25,custom,,,{'Hike': '25'},Hike 25bps,active,2023-05-03 20:35:49,2023-05-03
29,100,73,0,1683146149,0.0,27,0,0,,FEDDECISION-23JUN-H25,custom,,,{'Hike': '25'},Hike 25bps,active,2023-05-03 20:35:49,2023-05-03
30,100,0,0,1683146149,0.0,100,0,0,,FEDDECISION-23JUN-H25,custom,,,{'Hike': '25'},Hike 25bps,active,2023-05-03 20:35:49,2023-05-03
31,81,0,0,1683146149,0.0,100,19,0,,FEDDECISION-23JUN-H25,custom,,,{'Hike': '25'},Hike 25bps,active,2023-05-03 20:35:49,2023-05-03
32,81,1,0,1683146149,0.0,99,19,0,,FEDDECISION-23JUN-H25,custom,,,{'Hike': '25'},Hike 25bps,active,2023-05-03 20:35:49,2023-05-03
33,81,77,0,1683146149,0.0,23,19,0,,FEDDECISION-23JUN-H25,custom,,,{'Hike': '25'},Hike 25bps,active,2023-05-03 20:35:49,2023-05-03
34,100,21,0,1683146149,0.0,79,0,0,,FEDDECISION-23JUN-H>25,custom,,,{'Hike': '>25'},Hike >25bps,active,2023-05-03 20:35:49,2023-05-03
35,100,21,0,1683147392,0.0,79,0,0,,FEDDECISION-23JUN-C25,custom,,,{'Cut': '25'},Cut 25bps,active,2023-05-03 20:56:32,2023-05-03
36,100,22,0,1683147392,0.0,78,0,0,,FEDDECISION-23JUN-C25,custom,,,{'Cut': '25'},Cut 25bps,active,2023-05-03 20:56:32,2023-05-03
37,100,21,0,1683147392,0.0,79,0,0,,FEDDECISION-23JUN-C>25,custom,,,{'Cut': '>25'},Cut >25bps,active,2023-05-03 20:56:32,2023-05-03
38,100,22,0,1683147392,0.0,78,0,0,,FEDDECISION-23JUN-C>25,custom,,,{'Cut': '>25'},Cut >25bps,active,2023-05-03 20:56:32,2023-05-03
39,100,21,0,1683147392,0.0,79,0,0,,FEDDECISION-23JUN-H>25,custom,,,{'Hike': '>25'},Hike >25bps,active,2023-05-03 20:56:32,2023-05-03
40,97,22,0,1683147558,0.0,78,3,0,,FEDDECISION-23JUN-C>25,custom,,,{'Cut': '>25'},Cut >25bps,active,2023-05-03 20:59:18,2023-05-03
41,24,21,0,1683147558,0.0,79,76,0,,FEDDECISION-23JUN-H0,custom,,,{'Hike': '0'},Hike 0bps,active,2023-05-03 20:59:18,2023-05-03
42,81,78,0,1683147558,0.0,22,19,0,,FEDDECISION-23JUN-H25,custom,,,{'Hike': '25'},Hike 25bps,active,2023-05-03 20:59:18,2023-05-03
43,100,21,0,1683148151,0.0,79,0,0,,FEDDECISION-23JUN-C25,custom,,,{'Cut': '25'},Cut 25bps,active,2023-05-03 21:09:11,2023-05-03
44,100,22,0,1683148151,0.0,78,0,0,,FEDDECISION-23JUN-C25,custom,,,{'Cut': '25'},Cut 25bps,active,2023-05-03 21:09:11,2023-05-03
45,97,22,1397,1683148151,1397.0,78,3,3,,FEDDECISION-23JUN-C>25,custom,,,{'Cut': '>25'},Cut >25bps,active,2023-05-03 21:09:11,2023-05-03
46,97,21,1397,1683148151,0.0,79,3,3,,FEDDECISION-23JUN-C>25,custom,,,{'Cut': '>25'},Cut >25bps,active,2023-05-03 21:09:11,2023-05-03
47,97,22,1397,1683148151,0.0,78,3,3,,FEDDECISION-23JUN-C>25,custom,,,{'Cut': '>25'},Cut >25bps,active,2023-05-03 21:09:11,2023-05-03
48,24,20,0,1683148151,0.0,80,76,0,,FEDDECISION-23JUN-H0,custom,,,{'Hike': '0'},Hike 0bps,active,2023-05-03 21:09:11,2023-05-03
49,24,21,0,1683148151,0.0,79,76,0,,FEDDECISION-23JUN-H0,custom,,,{'Hike': '0'},Hike 0bps,active,2023-05-03 21:09:11,2023-05-03
50,81,77,0,1683148151,0.0,23,19,0,,FEDDECISION-23JUN-H25,custom,,,{'Hike': '25'},Hike 25bps,active,2023-05-03 21:09:11,2023-05-03
51,81,78,0,1683148151,0.0,22,19,0,,FEDDECISION-23JUN-H25,custom,,,{'Hike': '25'},Hike 25bps,active,2023-05-03 21:09:11,2023-05-03
52,100,21,0,1683148151,0.0,79,0,0,,FEDDECISION-23JUN-H>25,custom,,,{'Hike': '>25'},Hike >25bps,active,2023-05-03 21:09:11,2023-05-03
53,100,22,0,1683148151,0.0,78,0,0,,FEDDECISION-23JUN-H>25,custom,,,{'Hike': '>25'},Hike >25bps,active,2023-05-03 21:09:11,2023-05-03
